CODE_SEC;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9
7708;45,87573581;45,08126223;45,02255399;44,29289061;42,1254843;41,39788595;40,16958501;42,45513274;44,14312801;47,08860966;45,38005914;44,60340135;42,98889402;43,26241094;43,64089489;44,23387219;44,13077024;44,13077024;44,61946452;44,48561479;44,48324846;40,69529372;40,0431;43,62955551
7709;35,45193323;33,16397796;31,81016275;34,34872352;36,94779319;35,13435776;35,26953446;33,16328362;32,9565623;29,71234006;26,91871853;28,56845215;28,90635495;28,9749938;28,9749938;28,9749938;28,79635989;28,9077334;29,3450001;29,96471231;28,65854518;30,89985121;34,24847325;35,98678626
7710;21,76747532;22,34349761;24,78419601;24,64651915;24,03416154;26,30636645;25,70565488;21,55591262;26,67509883;28,19307077;30,17624593;29,18097798;28,79703005;28,3913307;28,25885144;27,29176494;27,03957708;26,7890962;29,06324117;28,19527429;28,16988027;28,59927678;26,70396004;23,52298383
7711;30,28907373;29,7082326;31,26686281;32,43088885;29,27575612;34,33271788;35,17228418;38,46479687;32,79953662;36,38098495;34,91333342;32,38805503;32,25959799;31,21852998;31,61722153;31,60870722;31,69391933;31,69391933;31,20464914;31,36300392;31,46609291;31,55495359;31,92194065;30,32344705
7712;45,00331044;46,26243138;46,43519124;44,55632619;45,79861677;43,935982;39,85628277;39,95257134;41,32703007;38,69996697;39,92415779;43,14348151;43,54341071;44,21254268;43,59230729;43,59230729;43,59230729;43,73130826;43,51831912;43,99147167;42,83064874;42,74136493;45,02422446;45,91085289
7713;35,06594214;34,14866595;32,92876773;33,24260385;32,5733024;30,86718439;31,6538895;32,56161919;32,15745861;30,79348854;31,9081052;31,2112367;32,70674144;32,79012332;32,36228308;32,08131204;32,33986112;32,08574343;32,10661481;32,02043589;32,18802893;30,58326381;31,18577586;34,03024237
7714;38,32241794;36,61260178;37,74308595;37,1434519;37,09303752;38,57678879;38,06243015;37,86829651;38,70593713;37,5066823;37,45930334;37,24411868;37,50577544;36,80284466;36,64041597;36,64041597;36,48464085;36,48464085;36,78789506;36,6294387;35,60214409;36,16734989;32,58664067;37,48948189
7715;42,84883793;44,62726013;45,24488566;45,15111843;44,57696009;45,18703388;44,12900571;44,65537498;44,09011164;45,8164187;47,04786656;47,13144028;46,3439039;45,82565462;45,59981273;45,31976429;45,31976429;44,98211988;44,50791468;44,30396457;43,95746246;44,55476913;44,11869013;43,38537832
7716;39,82800713;37,98841499;39,60353435;42,32543119;42,55655837;39,22401557;38,87229895;39,82509597;42,97276357;40,54853638;40,5076855;40,85903663;39,97059403;40,70412565;40,73418726;40,12905133;39,74296704;39,74296704;41,69513258;41,24628105;41,24475011;42,9693337;42,6591058;42,24048672
7801;24,9593;20,96319917;19,89712068;19,35169224;22,76000631;21,79301266;21,04651811;27,29353914;26,71216481;28,74543817;26,588489;24,89335687;24,87136211;26,16379436;25,35658504;25,95416148;25,67580708;25,67580708;26,06417395;25,60501663;23,72059748;22,335822;23,24508025;22,19427281
7802;24,59274629;28,07967909;27,42937819;25,380085;27,18601074;25,83795522;26,81797685;22,8505341;22,10315243;21,00422098;20,86762788;19,01391762;18,84948585;17,32250129;16,49814304;16,10592553;16,10592553;16,10592553;18,32092627;18,73698042;18,41893246;18,98810049;19,15379299;23,43736106
7803;33,29497442;32,06788151;32,02085532;31,1029944;29,74079914;27,2915265;30,7423639;27,70867654;23,63760028;26,06664484;25,00156019;22,3729768;24,32676955;22,3378688;22,1449789;23,2828689;22,97417703;22,97417703;23,14890039;23,14890039;24,30140733;24,35221523;29,52519252;34,88102443
7804;24,78158856;26,13762179;27,20608989;26,22361816;27,58410281;25,95450616;24,48065776;30,09581453;27,06064152;27,82225041;24,74364247;23,99670781;23,88497313;23,92614905;24,08516447;23,57001842;23,57001842;23,57001842;24,6598055;24,26632868;23,42727297;22,29852061;20,84463347;24,98661791
7805;36,86032227;40,06643024;40,04019924;41,49853979;39,77036459;37,58402419;36,06487314;37,48439918;39,20633841;37,6227345;36,63298618;38,68229395;38,57754999;36,33305961;36,85254686;36,85254686;37,06873604;37,06873604;37,20392581;37,20392581;37,93694101;37,59641999;38,3669196;40,63628415
7806;43,07346904;43,03742367;42,00573279;40,8190932;39,55779667;39,15929784;40,85640477;41,16601241;44,21111415;44,58155404;42,81532019;41,33181671;41,35890187;42,10704858;42,44188942;42,22732792;41,77540659;41,66704986;42,40965752;42,02451183;42,96609921;42,95111547;42,68728793;42,64832362
