CODE_SEC,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9
7501,10.3652227607348,11.9047094584915,11.1573081004471,10.1619743041739,10.1738590094641,9.58003756676549,10.3516815655068,10.6687523470926,7.30161621748436,6.80528878406593,7.49752479322469,5.06677342178397,5.93263790075596,6.87159470885064,7.30993481055593,7.68702445652359,7.26223128279196,6.74700843922363,7.21642030145171,7.21642030145171,9.11465565007209,8.96493718246906,11.1441821735832,10.5729225230163
7502,9.69476228851293,9.58845288751714,8.38621124788544,8.21154533873225,9.08472956425054,7.80183194053306,7.92407159374417,6.57219103721645,7.33489584446228,8.41138155479517,7.14627441952865,7.01677532037042,7.36060244424491,6.77636496843083,6.78129949971824,7.34488288954751,7.50882671534937,7.30805156216519,7.21867864339811,7.19907528731158,7.54028507210137,8.80451786583314,9.02950264348692,10.1135487561279
7503,11.2723679219763,10.3171857269786,10.7089883333204,10.3470593489773,10.1534094416529,10.4491760346481,10.3004156510683,10.2758677864046,8.101577265832,8.43973250147619,8.05141651238008,7.7448592041436,7.22855529893752,7.73074503902544,9.84671155955413,9.83212130798598,10.0247281841686,10.1039821055556,9.76571671473822,9.76571671473822,10.5207464598508,13.948427371647,15.5063638341389,13.4212462102288
7504,8.3473703848798,9.9147109535693,11.9463633070286,10.2700855171416,11.6768876672376,12.4444983094528,12.5928823479811,12.650717280064,10.8298552469363,8.58298501841481,10.8761016869007,10.0617934419598,10.2164209639415,10.0250104227834,10.1634277230293,7.02535685731688,7.0914796521645,7.09007444952011,8.33040457753099,8.29151595532421,8.31513287522843,9.22996541364473,10.5932899169811,9.07021114949548
7505,13.1584813693994,13.4832058693226,13.4295458597334,12.7556798798173,13.0986523038321,13.0945631947965,11.2120785046735,11.8448523641949,14.5064530831307,13.0364170709856,10.5610028955497,10.0687391735824,9.68505615789515,10.6316345040313,11.6514217495004,11.4823738614555,11.1343296209526,11.097868763025,13.7173573521615,13.7173573521615,14.0116703883462,12.9447791446236,13.9078581802749,14.3942861068324
7506,17.9668574339353,17.2394630167663,16.1979057846104,15.0861161323956,14.3715420677926,13.4744635057131,13.7653005505939,13.5937030430455,12.8229769030651,13.3675039159284,12.5239341979144,12.5095940798937,12.1260450991985,12.0946277380119,11.2070488326987,10.8752662488982,11.0837109653392,11.0613356476809,11.4838031197139,11.4838031197139,11.3068562764802,12.8353851688229,14.5679302433673,17.8132960586517
7507,14.2274808061201,13.9229223914149,14.0102953297053,14.1254982482495,14.3700523751133,14.4522861100005,12.4964004578481,12.5829430259398,15.0455645175208,15.5233834591444,15.1823201740322,14.0736671956456,13.926351856837,13.8216762854204,13.3146189377966,14.0759167650244,13.9873887227632,13.8898695614241,14.1285422606866,13.9086884309743,13.5662226486739,13.2745969172314,13.3687080011634,14.3897701684149
7508,10.4985796712461,11.4275034069674,11.4458249648796,11.3807685668951,11.9577112168431,12.2602506750363,11.1713732386066,7.95236552425104,8.93786364722484,8.38036934750522,8.1422338511864,7.39033228993941,6.56066596281663,6.11257856188587,5.78655227332098,5.74909419784811,5.8268492644081,5.79966119642843,5.79920407372989,5.41328007530803,5.40402382713014,5.28057071711296,5.26929470140127,8.2990117762551
7509,14.4218324696131,14.7566301008548,15.6230455255569,15.229319618644,13.9608767937733,14.4539249222489,14.9308525768171,13.5018502393607,13.9690382274418,12.6670304648472,12.1447653016079,11.0411177304146,11.5711395191388,10.8310375116225,10.746831105336,11.3240250776623,11.2706151739163,11.2610366976468,11.5388138465031,11.4578770838908,11.7802413350994,12.6429367803721,13.8231449075312,15.2478121003882
7510,11.6753641884072,11.1797057879647,11.1233791197428,11.7081772115475,13.7788953974913,11.751729552971,8.6940522791744,9.38664534822438,8.58786478502345,6.84004948712795,6.74359856192078,6.28615871399635,6.20331304779929,6.26531197312259,6.0777312715662,5.95077494385198,5.98045841066568,6.03970768430913,6.21170308753262,6.27058213832288,6.92053583434112,8.4183665788173,9.19273835666421,11.0000471280439
7511,14.778127908242,14.8574588224773,14.3489293451822,13.3757710408389,13.6461007072229,15.3760898414441,16.791630979683,16.4391810844605,15.8836016873726,16.714723503918,15.9745140883262,16.6803395645699,15.5349036242037,15.8481166476527,16.1653711614637,15.4273153467007,15.2467438260334,13.9069478671994,14.2405105328082,13.8684260352427,14.3683378712695,14.5642814574263,13.8815095573202,15.8765892803463
7512,24.9375883609416,26.0063391084496,27.7165950226565,27.7213260905279,28.5928967802805,30.5720136858233,26.4363752563945,24.158357031789,22.9437949964149,20.9006297391407,16.9650919111535,18.1868377306213,18.1485158741176,18.8630876032142,18.4606440869032,17.9110708014533,18.1984365276874,17.8320953130096,18.5404218508602,18.5822422635031,17.9968396393254,18.0269833079731,21.3075389742708,22.902032981114
7513,29.3852144984388,28.8001758019848,30.4097863536245,31.8269767911742,29.253002773769,27.3463921968206,27.5703395004525,26.5852477598143,31.9123107016428,30.5685968034404,29.9539796953282,28.9395901833667,28.6490766464214,30.1621702220372,29.9853961579978,29.2664842753755,29.5588783631599,29.5588783631599,30.3465713021516,30.3465713021516,29.9830735725081,29.3141942103019,30.4985768322655,28.9449830392829
7514,29.2516009144575,28.5761733969242,26.6165739461064,29.7152364468727,30.2212635239371,29.4866057502832,28.2912792712201,29.1977695456668,28.1475271984865,25.7671764240752,24.756282111281,24.5571478201362,24.1099184767667,23.0547272030716,22.6615242437369,22.0572223213722,22.6901806928768,23.7806561278363,24.8854671400154,24.9479967757107,24.9331258030273,24.6885843396879,26.6418491570984,29.2347801981286
