"hour","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","021","022","023","024","025","026","027","028","029","030","031","032","033","034","035","036","037","038","039","040","041","042","043","044","045","046","047","048","049","051","052","053","054","055","056","057","059","060","061","062","064","065","066","067","068","070","071","072","073","074","075","077","078","079"
"11am",7359.56379,5698.04945,6421.22957,1105.94298,3092.65686,5699.26926,1756.82742,0,11060.84206,2024.66555,3690.90356,1027.73684,3817.67698,2293.15667,730.84922,1350.70522,5863.24453,2775.97223,6758.15313,1332.2638,588.25353,9752.2285,7472.54932,1696.28612,15591.33994,2160.14524,9741.09241,8638.59097,3575.19911,2072.7324,1128.03266,5661.73129,5208.8057,1699.40303,4779.45429,1572.23229,1955.94854,882.01122,964.48333,4602.19458,2408.76168,947.90139,3339.50794,1572.68189,626.59677,0,2754.43184,0,0,0,896.60304,0,1663.59333,0,917.18279,883.43807,2025.6335,3060.91178,0,828.08061,0,1295.50952,737.25414,979.13013,728.43449,3014.3321,1411.42525,1951.33866,3138.82645,2710.29011,5104.73729,0,3327.63642,1212.86273
"12am",6321.24605,6912.91247,5682.34213,1359.13869,2000.51468,4765.82453,1506.74202,0,10498.4677,1335.52403,2919.1442,927.17565,3238.637,1738.45469,0,1145.60205,4638.60306,2364.46538,5173.80424,908.85946,656.22929,8745.87289,6504.18534,1428.59081,13530.97253,1541.1842,8381.01627,7905.54954,2627.67243,1766.3296,797.95067,4053.97328,5222.68915,1540.71211,3274.02904,1454.82488,1249.09715,882.05628,0,3560.86229,1849.02199,556.08604,3295.44613,1271.88696,0,0,1755.41225,0,0,0,619.48315,0,1611.14702,0,727.63879,707.59797,1224.22018,2456.91292,0,643.74752,0,1249.4187,0,976.36427,697.99021,1902.37301,1220.35434,1611.59602,2070.84625,2423.49081,2736.13621,0,2506.85784,1379.99951
"1pm",6070.48223,6529.72871,6610.77298,1541.94993,2416.39687,4460.9544,1453.87113,0,10985.59188,1324.73857,3718.50808,995.10148,3886.58329,1739.51414,759.90485,1263.74286,4835.37062,2808.03225,5838.35748,1282.73633,784.81276,9339.47759,7153.7206,1678.8139,14540.39628,2086.59651,9625.34302,9359.19997,3460.0554,2026.77458,781.30413,4775.54529,5060.40223,1665.71147,4146.56101,1416.49693,1815.28411,767.37157,1071.51497,3286.52831,1780.41253,749.32582,4024.29362,1742.53093,529.32801,716.82561,1903.68446,529.57611,0,0,705.05002,0,1718.71283,0,948.58491,612.61575,1544.30059,2664.11976,842.64593,835.23639,0,1203.32716,748.85661,835.51776,740.22706,2424.41767,1697.279,1643.00406,2469.50184,2403.02499,3964.88603,0,3142.03509,1447.0412
"2pm",6115.66889,6752.02785,6406.07204,1427.65277,2796.55033,4847.54035,1914.29775,0,12039.9314,1453.57685,4240.54927,937.49088,4385.73283,2507.11067,1127.63307,1205.46852,5182.01759,2813.80111,6220.14352,1624.12073,0,8778.25476,7509.16885,2042.8972,16093.30809,2176.70191,9568.96503,11108.93787,3751.69318,2618.18835,1064.06935,5561.32109,5448.43201,1803.02131,5061.2766,1559.79497,2143.56937,951.65337,1151.57171,3097.62784,2255.82906,875.16498,4793.45722,1593.27832,553.99543,776.33908,2198.53652,0,627.06721,0,935.39561,0,1731.28192,0,1226.21485,745.97959,1876.90859,2675.0557,896.86467,966.5344,391.06207,1283.63974,748.85661,889.94527,907.82831,2897.16447,1374.95568,1765.01493,3429.66952,2518.24295,4952.3291,560.7501,3409.83242,1473.52947
"3pm",5813.56829,7947.84156,6236.34172,1210.95121,2946.57564,4561.04274,1808.47073,0,12319.48897,1813.64428,4350.10876,1384.13432,4368.19135,2359.28673,1069.20453,1066.834,4998.55816,3011.68091,5360.1955,1799.12344,0,8519.5942,7591.53464,1905.54688,15641.31695,2270.71067,9596.9129,11854.84699,3941.04123,2312.23579,881.79296,6191.57173,5793.66038,1666.32931,4774.50457,2229.7048,1826.68817,1282.2348,1182.54183,3218.00366,2376.57192,743.0466,4233.72752,1352.8129,587.82507,838.00337,2160.6966,771.2681,0,0,1130.19181,541.98427,1544.23653,749.37366,1305.07714,629.99967,2048.94523,3020.08612,783.34867,798.28393,429.96124,1503.77631,787.68142,997.47028,793.44745,3304.09343,1506.93432,1211.53377,4063.67307,2708.6901,5137.40868,0,2996.30792,1427.60001
"4pm",5468.83766,5947.0919,5239.33942,928.69111,1646.43709,3338.16084,1973.32336,0,9454.78843,1912.09899,3581.37446,1142.85372,3743.58768,1731.48776,1361.71499,926.55352,4281.57542,2408.21814,4758.89088,1084.00109,0,7222.40071,5832.12816,1476.82403,13314.11495,2102.40144,9016.04418,9218.39838,3219.52391,1960.53248,716.15651,5573.44849,4428.08774,1456.53844,4293.98742,1464.95368,1669.14382,1390.39724,1103.34132,3432.87474,1812.09974,1037.7419,4128.74685,955.03095,511.6087,0,1510.35889,644.92809,0,0,845.47652,0,1352.60848,0,1390.71271,704.92355,1748.98505,2430.96208,687.98961,0,613.37428,1163.0009,0,719.96462,0,2806.29407,1270.87121,822.73276,3820.22591,2595.23122,4727.52995,0,2363.25282,0
"5pm",3578.87372,5124.66273,4555.4561,0,1161.02456,2786.43579,1838.06612,674.62231,6850.919,908.24691,1762.9817,581.95722,2211.3255,1625.31307,0,0,2268.02375,1416.98548,2676.4982,0,0,4902.12685,3510.16856,1202.31914,8650.89773,1195.16101,5710.36725,6632.44575,1917.01201,693.54299,503.18189,3230.92095,3043.76891,881.33329,3445.26625,1017.12418,868.14791,1243.57367,1007.2202,2418.71504,1096.2094,815.56429,2774.17753,970.85897,414.37046,0,563.59202,0,0,507.55289,0,0,0,0,1081.9558,0,1538.22549,1704.72464,643.13159,0,0,1185.73075,0,0,0,2273.20834,1179.90067,0,2726.42963,1886.35865,2570.99501,0,1344.03535,0
"6pm",3152.03694,4764.44035,3198.4154,0,903.54372,2112.20144,2100.55794,0,4617.05839,0,1252.51676,0,1642.38512,1354.77584,0,0,1463.31115,642.39307,1318.92449,0,0,3462.90946,1690.87353,966.86307,3734.1246,1019.14048,2487.633,5138.15373,1482.03824,0,582.93232,1857.76834,2555.1218,0,2495.2879,717.18571,659.17371,755.12973,0,1798.49163,0,0,2188.59584,996.54931,0,0,618.512,0,0,0,0,0,0,0,0,0,1188.43791,1082.91502,0,0,0,0,0,0,0,2242.97719,802.70736,0,1666.65093,1203.57108,1578.55596,0,0,0
"7pm",2224.50829,4438.57089,2203.07602,0,0,1647.94195,1606.25752,0,3004.04043,0,0,764.90058,905.6326,953.48588,0,0,1210.06905,0,1114.69081,0,0,2082.93933,690.26112,0,1926.93701,0,1754.90462,3819.78115,837.6147,0,0,1308.33068,1699.79556,0,1304.78942,616.96404,0,0,0,832.55753,0,0,981.11624,682.69272,0,0,691.30374,0,0,0,0,0,0,0,0,0,986.22334,796.44151,0,0,0,0,0,0,0,0,0,0,1065.56353,0,0,0,0,0
"8pm",1893.93111,4400.28374,1761.93148,0,0,1654.44639,1515.48645,0,1635.22582,511.21051,0,0,740.1233,810.5503,0,0,0,0,800.26861,0,0,1628.70794,0,0,1125.38251,910.2776,1357.00631,3122.11228,625.40917,0,0,806.38724,1408.53319,0,718.10223,0,798.48953,0,0,606.06165,0,0,807.72913,831.26571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1082.59688,0,0,0,0,0
"9pm",2147.61963,4528.05984,1565.86944,0,0,1486.29737,1494.1523,0,740.24468,596.38821,0,0,0,727.48035,0,0,0,0,731.39483,0,0,1112.19756,0,0,785.68241,893.34492,1277.05499,2601.77538,503.57269,0,0,0,997.82113,0,0,0,0,0,0,0,0,0,624.49497,792.27239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10pm",1979.84906,3662.65136,1133.57592,0,0,1016.58255,1461.84676,0,728.09357,0,0,0,0,0,0,0,0,0,0,0,0,680.6203,0,0,0,0,843.89108,1774.23882,0,0,0,0,738.46425,0,0,0,0,0,0,0,0,0,0,650.15766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11pm",1077.02517,1942.86236,847.20451,0,0,0,929.64677,0,683.42043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923.1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12pm",622.87108,1082.46035,690.34534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1am",0,0,669.0295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
