"district","hour","sex1","sex2"
"9109","5am",32600.22,33237.53
"9110","5am",28593.54,31868.54
"9111","5am",29574.86,29046.65
"9112","5am",23181.68,24340.86
"9113","5am",37090.46,40120.18
"9114","5am",18895.07,23123.68
"9201","5am",53099.37,57499.36
"9202","5am",36779.08,44125.65
"9203","5am",61684.94,76904.13
"9204","5am",40813.7,43654.9
"9205","5am",46806.09,53588.32
"9206","5am",43206.19,49059.71
"9207","5am",37776.3,45086.46
"9208","5am",40136.51,47998.59
"9209","5am",62415.93,66663.73
"9210","5am",53837.78,62523.61
"9211","5am",30484.48,41671.28
"9212","5am",35112.04,39659.62
"9302","5am",21727.78,24216.19
"9303","5am",47833.81,54290.86
"9304","5am",54906.24,61227.47
"9305","5am",39515.49,41658.19
"9306","5am",43802.65,49962.22
"9307","5am",34986.24,43764.91
"9308","5am",28591.39,30060.91
"9309","5am",41039.66,46834.77
"9310","5am",47943.31,55183.59
"9311","5am",56739.54,62524.8
"9312","5am",79552.56,81326.32
"9402","5am",48102.76,57701.53
"9403","5am",50610.14,60221.72
"9404","5am",28595.95,37665.86
"9405","5am",31633.37,32440.99
"9406","5am",34963.92,41307.71
"9407","5am",48360.42,59083.17
"9408","5am",33458.12,41044.66
"9409","5am",64166.89,76729.09
"9410","5am",20886.67,24134.98
"9411","5am",22827.32,25680.19
"9412","5am",17512.1,17535.54
"9413","5am",25518.76,30556.41
"9414","5am",14482.43,15662.27
"9501","5am",36037.99,37150.51
"9502","5am",26967.98,33290.33
"9503","5am",22795.15,27176.35
"9504","5am",26048.51,24316.34
"9505","5am",25063.66,31857.99
"9506","5am",22486.37,28735.96
"9507","5am",33768.04,35856.77
"9508","5am",43733.27,49253.81
"9509","5am",30035.67,33558.44
"9510","5am",34789.05,40040.51
"9511","5am",35661.87,42173.11
"9512","5am",30739.3,40673.44
"9513","5am",25199.63,26180.26
"7501","6am",44249.72,41364.48
"7502","6am",60872.98,73130.92
"7503","6am",39804.23,42078.9
"7504","6am",39650.3,41225.95
"7505","6am",59881.47,62367.69
"7506","6am",55023.73,62067.77
"7507","6am",64598,80365.85
"7508","6am",49782.19,59857.45
"7509","6am",82585.28,103117.51
"7510","6am",57697.53,74670.71
"7511","6am",60890.55,75620.58
"7512","6am",75127.61,80571.58
"7513","6am",69874.2,72635.76
"7514","6am",68097.15,79535.19
"7701","6am",46749.17,51975.99
