"district","hour","act1","act2","act3","act4","act5"
"7506","5am",114761.91,985.25154,0,0,1435.2376
"7507","5am",142249.69,1994.03198,0,0,1832.16277
"7508","5am",105892.02,2125.8769,0,0,1444.83993
"7509","5am",182988.53,2142.61925,0,0,454.23289
"7510","5am",129748.4,585.38,0,0,0
"7511","5am",133379.49,979.91992,0,0,0
"7512","5am",154262.48,926.05823,0,0,593.77231
"7513","5am",140949.04,291.86865,0,0,675.03508
"7514","5am",148954.11,0,0,0,1550.28621
"7701","5am",99394.52,2510.47225,87.21615,0,0
"7702","5am",111148.11,0,301.0163,0,769.93501
"7703","5am",74814.18,2757.96277,0,0,797.35414
"7704","5am",69744.93,1007.43339,72.09649,0,457.78986
"7705","5am",47749.07,455.22442,595.66484,0,0
"7706","5am",46495.74,399.46948,0,0,0
"7707","5am",50428.22,1179.36892,0,0,86.89713
"7708","5am",71410.53,615.03211,0,0,774.71047
"7709","5am",49980.59,1085.77661,0,0,0
"7710","5am",63284.1,600.80152,0,0,1190.98254
"7711","5am",76863.8,1217.30388,0,0,262.15094
"7712","5am",54220.28,579.7852,0,0,0
"7713","5am",28661.19,643.65697,0,0,0
"7714","5am",66348.48,766.6171,0,0,185.73248
"7715","5am",34125.32,0,0,0,0
"7716","5am",73560.14,1576.14663,0,0,161.07783
"7801","5am",77902.24,560.80902,0,0,105.95148
"7802","5am",63128.11,324.12623,0,0,366.72681
"7803","5am",88731.34,769.58767,0,0,546.58165
"7804","5am",45327.39,600.54252,0,0,406.96367
"7805","5am",81138.45,0,0,0,0
"7806","5am",81505.85,823.37886,0,0,167.66988
"7807","5am",47550.94,0,0,0,191.68779
"7808","5am",55518.97,169.92957,0,0,157.02489
"7809","5am",62317.9,268.04506,0,0,289.70849
"7810","5am",23658.95,0,0,0,0
"7811","5am",75220.12,0,0,0,1236.70196
"7812","5am",125212.31,145.08831,0,0,1169.57742
"7813","5am",36712.33,358.42377,0,0,0
"7814","5am",22663.62,0,0,0,0
"7815","5am",33913.74,393.29724,0,0,1902.36243
"7816","5am",104365.68,0,0,0,234.32818
"9101","5am",56643.58,1186.98492,0,0,0
"9102","5am",46093.25,387.51872,0,0,283.35454
"9103","5am",61986.47,242.07781,0,0,115.22525
"9104","5am",49419.09,125.54315,0,0,204.32359
"9105","5am",74249.44,1457.23211,0,0,0
"9106","5am",80126.4,913.21628,0,0,1064.4787
"9107","5am",85064.62,225.94276,0,0,0
"9108","5am",56096.07,0,0,0,0
"9109","5am",63580.96,1088.03187,0,0,1168.75629
"9110","5am",59889.66,572.42462,0,0,0
"9111","5am",57485.56,1135.94904,0,0,0
"9112","5am",47330.48,0,0,0,192.06403
"9113","5am",76585.81,624.83739,0,0,0
"9114","5am",41908.03,110.71747,0,0,0
"9201","5am",109266.11,309.71832,0,0,1022.89349
"9202","5am",79754.93,575.90518,0,0,243.28977
"9203","5am",137351.46,499.55038,0,0,738.06394
"9204","5am",83484.41,984.1834,0,0,0
"9205","5am",98850.94,505.19968,0,0,1038.27681
"9206","5am",91138.52,836.98181,0,0,290.40694
"9207","5am",82121.79,287.35374,0,0,453.62295
