"district","hour","cs1","cs2","cs3","cs4","cs5"
"9501","4am",7174.152,19052.988,21396.941,19108.647,4921.4152
"9502","4am",9930.804,21155.23,10300.447,13749.26,4167.8531
"9503","4am",5981.319,17371.824,8109.07,14886.328,3430.4425
"9504","4am",6252.829,13511.956,12192.882,12456.815,6391.3397
"9505","4am",9340.961,16180.239,19391.148,9178.231,1898.8585
"9506","4am",12470.328,19800.75,10968.72,5693.345,3056.7117
"9507","4am",18550.209,30816.785,12647.192,5706.559,1452.8484
"9508","4am",23760.532,26067.756,26564.935,12010.798,5431.0129
"9509","4am",8873.245,15737.245,15498.364,20066.327,3586.3214
"9510","4am",9783.176,16065.672,21116.563,19425.299,7479.2897
"9511","4am",5298.209,15094.457,21294.682,23195.436,12518.5361
"9512","4am",10990.061,12303.856,19251.136,17602.546,10639.1178
"9513","4am",8893.53,13545.721,6032.032,16807.837,5945.7303
"7501","5am",1796.75,5266.521,12919.119,24333.636,34105.5491
"7502","5am",18087.941,9243.993,12877.642,32634.201,51968.3135
"7503","5am",8342.55,7348.234,10124.774,18930.946,31417.6451
"7504","5am",8853.422,9859.946,12367.981,23728.564,24824.8196
"7505","5am",12915.684,15855.184,15501.546,29613.742,41331.2324
"7506","5am",11597.924,13310.767,25457.754,21818.087,40854.0269
"7507","5am",15422.547,17475.688,27834.706,34538.046,45967.8914
"7508","5am",10053.666,8318.524,19866.753,26828.527,38439.5543
"7509","5am",20020.837,21143.697,21541.278,54260.054,55366.3574
"7510","5am",19987.122,12039.499,11931.194,36443.125,46028.3445
"7511","5am",18367.054,15690.154,13267.956,33384.026,48399.9453
"7512","5am",20044.839,31291.918,12293.843,43270.526,43532.5575
"7513","5am",27131.721,29313.048,24022.036,30765.865,28938.8947
"7514","5am",21845.963,22812.715,20547.039,43943.836,38801.7808
"7701","5am",7341.273,23505.167,38673.429,21351.308,9499.9698
"7702","5am",12962.4,29352.079,19535.346,37470.357,11579.8817
"7703","5am",8500.764,21999.756,23548.573,21576.217,3625.0542
"7704","5am",14997.243,21779.686,20636.23,10442.506,3426.5876
"7705","5am",3000.367,19116.113,14532.639,11696.164,454.6749
"7706","5am",7622.431,15453.67,12030.911,10528.92,1259.2819
"7707","5am",11641.914,15865.23,12078.991,9534.894,2462.3127
"7708","5am",6583.308,14608.945,20736.605,22745.154,8126.263
"7709","5am",7154.919,17195.764,15417.875,8715.061,2582.7441
"7710","5am",5716.389,22835.206,14460.474,15928.052,5943.3154
"7711","5am",7115.361,23457.266,30316.599,5939.146,11514.8788
"7712","5am",14295.301,13044.343,12540.698,11593.431,3326.2958
"7713","5am",5899.246,8926.363,6951.445,5520.293,1950.6103
"7714","5am",10926.285,15807.005,16228.935,16153.811,7865.7962
"7715","5am",7035.93,12364.115,7696.135,5143.624,1885.5192
"7716","5am",10005.732,21239.535,21514.045,16124.64,5739.8088
"7801","5am",4147.11,24703.141,12613.066,24735.062,12370.6173
"7802","5am",16254.001,2782.314,13495.014,19707.449,11393.1568
"7803","5am",10658.426,13242.027,25352.257,22868.55,17109.0344
"7804","5am",7865.235,9407.5,9488.891,13667.97,5905.2964
"7805","5am",13304.058,16863.443,20919.909,15510.086,14218.5345
"7806","5am",11336.932,27391.212,20078.16,17667.302,5521.8425
"7807","5am",12757.213,10965.803,11492.734,9447.737,2367.6137
"7808","5am",9142.496,17050.908,13529.18,12236.34,3886.9965
"7809","5am",10047.378,11863.432,16631.763,17579.557,6488.9969
"7810","5am",4019.699,4336.065,3693.195,9649.978,1960.0109
"7811","5am",8948.886,12374.89,11536.855,28198.882,15397.31
"7812","5am",19960.755,11839.529,22316.732,38575.419,31059.5454
"7813","5am",8412.473,5988.238,8785.218,8174.962,5612.3543
"7814","5am",3120.35,2464.786,6324.474,7293.579,3460.427
"7815","5am",6029.32,8370.876,8456.536,9674.175,3678.4925
"7816","5am",11069.378,24301.392,22703.389,27760.993,18418.2793
