"idsec";"ZONAGE_SEC"
"MONTPELLIER_061";1
"CAEN_208";1
"RENNES_057";1
"NANCY_159";1
"STRASBOURG_006";2
"LYON_605";1
"LYON_704";1
"QUIMPER_027";1
"MONTPELLIER_078";1
"STRASBOURG_043";1
"LYON_601";1
"LYON_518";1
"NANTES_213";1
"CLERMONT FERRAND_114";2
"QUIMPER_001";1
"NICE_097";2
"NICE_082";1
"LYON_711";1
"STRASBOURG_008";2
"TOULOUSE_057";1
"NICE_101";1
"SAINT ETIENNE_026";2
"NICE_071";1
"GRENOBLE_306";2
"BEZIERS_129";2
"STRASBOURG_046";1
"VALENCIENNES_041";1
"NANCY_140";2
"BEZIERS_128";1
"LYON_522";2
"STRASBOURG_059";1
"BEZIERS_111";1
"ANGOULEME_017";1
"STRASBOURG_045";1
"RENNES_056";1
"LILLE_140";2
"BORDEAUX_023";2
"LYON_603";1
"CLERMONT FERRAND_210";2
"NANCY_168";1
"TOULOUSE_052";2
"GRENOBLE_803";1
"GRENOBLE_518";1
"RENNES_048";1
"NICE_045";2
"RENNES_068";1
"NICE_050";2
"CLERMONT FERRAND_214";1
"LYON_611";1
"BEZIERS_125";1
"NICE_102";1
"QUIMPER_010";1
"NANTES_053";2
"NANTES_216";1
"LILLE_127";2
"VALENCIENNES_034";1
"BORDEAUX_060";2
"TOULOUSE_048";2
"NANCY_150";1
"QUIMPER_005";1
"GRENOBLE_201";1
"RENNES_027";1
"NANTES_232";1
"VALENCIENNES_013";2
"NANTES_123";1
"NANTES_231";1
"LYON_406";2
"RENNES_055";1
"ANGOULEME_016";1
"CLERMONT FERRAND_222";1
"ANGERS_019";1
"NANCY_158";1
"LYON_508";1
"MARSEILLE_068";2
"LYON_514";1
"LA ROCHELLE_011";2
"STRASBOURG_005";1
"CLERMONT FERRAND_111";2
"LILLE_134";1
"NICE_041";2
"ANGOULEME_018";1
"BORDEAUX_069";2
"ANGERS_017";2
"LILLE_138";2
"LYON_613";1
"CAEN_127";1
"LYON_710";1
"GRENOBLE_515";1
"STRASBOURG_068";1
"RENNES_036";1
"GRENOBLE_304";2
"LILLE_141";2
"CLERMONT FERRAND_130";1
"LYON_212";2
"BORDEAUX_068";2
"MARSEILLE_081";1
"VALENCIENNES_011";2
"TOULOUSE_040";2
"QUIMPER_029";1
"STRASBOURG_048";1
"LYON_404";2
"MARSEILLE_065";1
"ANGERS_018";1
"TOULOUSE_053";2
"TOULOUSE_031";2
"VALENCIENNES_027";2
"LILLE_121";2
"MARSEILLE_097";2
"CLERMONT FERRAND_124";1
"LYON_608";1
"RENNES_021";2
"NANTES_049";2
"GRENOBLE_202";1
"LYON_308";1
"RENNES_058";1
"NANTES_223";1
"NICE_056";2
"TOULOUSE_063";1
"RENNES_033";1
"GRENOBLE_140";2
"LYON_243";2
"CLERMONT FERRAND_121";1
"SAINT ETIENNE_047";1
"LYON_614";2
"NANTES_226";1
"NANCY_162";1
"SAINT ETIENNE_051";1
"CLERMONT FERRAND_212";1
"CAEN_206";1
"CLERMONT FERRAND_122";1
"RENNES_070";1
"NICE_053";1
"BEZIERS_122";1
"STRASBOURG_065";1
"RENNES_050";1
"MARSEILLE_054";2
"LYON_607";1
"LYON_521";2
"NICE_043";1
"CLERMONT FERRAND_125";1
"RENNES_051";1
"LYON_227";2
"RENNES_060";1
"STRASBOURG_047";1
"CAEN_128";2
"LILLE_131";2
"BEZIERS_130";1
"BORDEAUX_063";2
"NICE_052";2
"GRENOBLE_804";1
"GRENOBLE_301";1
"CAEN_231";2
"RENNES_028";1
"MARSEILLE_130";1
"STRASBOURG_009";2
"LA ROCHELLE_016";2
"CLERMONT FERRAND_116";2
"LYON_618";1
"STRASBOURG_064";1
"CAEN_203";1
"NANTES_033";2
"BORDEAUX_057";2
"QUIMPER_006";2
"LYON_220";2
"MARSEILLE_096";2
"LYON_512";2
"MARSEILLE_102";1
"NANTES_207";1
"MONTPELLIER_077";1
"NICE_054";1
"NANTES_227";1
"NICE_074";2
"NICE_042";2
"SAINT ETIENNE_046";1
"LYON_617";1
"NANTES_132";2
"CLERMONT FERRAND_216";1
"STRASBOURG_013";2
"RENNES_041";2
"SAINT ETIENNE_045";1
"GRENOBLE_135";2
"TOULOUSE_050";2
"MARSEILLE_107";1
"NANCY_146";1
"SAINT ETIENNE_035";1
"RENNES_043";1
"LYON_218";2
"SAINT ETIENNE_017";2
"NANCY_133";1
"MARSEILLE_106";1
"SAINT ETIENNE_033";1
"TOULOUSE_042";2
"BORDEAUX_047";1
"CLERMONT FERRAND_113";2
"STRASBOURG_060";1
"SAINT ETIENNE_052";1
"QUIMPER_025";1
"NANTES_130";2
"VALENCIENNES_020";1
"NICE_040";2
"NANCY_155";1
"STRASBOURG_042";1
"NANCY_149";1
"LYON_257";2
"STRASBOURG_049";1
"LYON_612";1
"CLERMONT FERRAND_203";1
"QUIMPER_026";1
"RENNES_054";2
"BORDEAUX_074";2
"NANCY_161";1
