"hour","Duncan","Moran"
"min",0,-0.102109857684394
"max",0.9746,0.60940390760996
"4am",0.9449,0.030177753394244
"5am",0.9198,0.0228209786548371
"6am",0.8716,0.022159338963628
"7am",0.7666,0.0489629247250304
"8am",0.3494,0.143549959267781
"9am",0.2269,-0.00366241301056727
"10am",0.2302,0.0357977813524901
"11am",0.2282,0.0434946602797597
"12am",0.2189,0.0590651364830189
"1pm",0.2439,0.0566562788108937
"2pm",0.2383,0.0649121985368294
"3pm",0.2345,0.079253964753468
"4pm",0.2517,0.0763153494923594
"5pm",0.2726,0.100663249373976
"6pm",0.4008,0.278568296559209
"7pm",0.5113,0.367991031194252
"8pm",0.6579,0.32117570304876
"9pm",0.795,0.238568762675122
"10pm",0.8743,0.153791043075896
"11pm",0.9187,0.104774828600599
"12pm",0.9712,-0.0181331632188426
"1am",0.9711,-0.0181548399226883
"2am",0.9705,-0.0181688379142505
"3am",0.9706,-0.0180624702350584
