SECT_EGT;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h;h4;h5;h6;h7;h8;h9
7501;48526.0297682867;54282.7920266385;57783.554989233;60890.8664826611;60995.9468410409;63570.5950009435;58831.3373736887;54596.2660087163;43836.4680365655;37127.3297196332;33260.7486373796;35165.0837449351;33318.1116383415;27954.0015260422;22690.4079278364;20481.0726109102;20481.0726109102;19726.9175949726;16977.6088789986;16977.6088789986;16977.6088789986;18751.6402391245;20530.7535690982;35291.6443579261
7502;64509.3841229049;74404.8435119882;79731.8355445213;84281.0892521146;82695.4964095726;85220.2588654427;83765.3713944292;77057.4579875095;58168.2378014184;50151.5374552598;46048.8009537192;44673.0128336235;44422.1927948065;38662.3087859334;39603.0860102025;38613.1900731823;38354.4872093193;37000.1278544794;35557.9943999471;35557.9943999471;35557.9943999471;36153.5624691382;43124.4811275574;58686.7635706525
7503;78627.6799390914;84279.6787703243;84655.6186043007;82086.0031054769;78698.0902876641;82805.303928903;81109.5064289395;77163.4962755818;50530.4068739098;36207.962862511;29401.1223727342;30155.2467480067;28422.1882252288;23365.2243271824;18768.8003176944;18117.683102278;16936.8480238097;16397.4143894813;16621.3940456029;16621.3940456029;16765.8506970978;18547.9946365018;25119.945957317;54439.183795099
7504;32784.9087171422;30171.5096435035;32078.62880714;37440.8954213211;34454.053066823;36360.5959860617;34026.1240705128;33665.1751872001;30420.3587921633;27855.3665496683;27740.3732087629;30396.000059015;28907.3876952107;28145.0678777671;26094.7379522099;25068.7577766626;24190.4973626769;24729.9309970053;23009.3495235234;23009.3495235234;22988.3958846818;24567.7526530473;22447.6208039655;24260.293977542
7505;23179.2043480664;24904.9039335249;26538.6019662558;25842.6599867322;26292.7601239346;23398.6083609121;27327.8236391232;27110.9204120781;27251.4622463906;23368.9730613216;21993.7143331868;25928.3048614118;25739.7115897579;27513.0310256852;24182.1223157121;24413.2994260896;24413.2994260896;24413.2994260896;23537.2050251581;23537.2050251581;23537.2050251581;23147.1058782729;22433.1998033499;22807.0938087602
7506;44480.5651518348;43259.9893466811;47852.9995671742;48410.93925376;47739.8653511114;44058.9519994524;44912.3283317383;43058.1948023227;38130.1389245329;36650.24519657;36387.9213082926;34676.4632038809;33460.1225396592;32555.5703811978;35393.7497518033;35661.1152158724;35250.6716948344;35250.6716948344;35181.2344512769;35181.2344512769;35469.7836014562;36873.5779546685;37232.0433837776;39248.0465424782
7507;45636.2730983272;50061.8489406241;46764.6524217129;44054.8322704912;40918.8942742416;45734.6236385303;45177.5162688732;41957.459437144;34377.7138733455;30386.8758385249;36098.7003011582;40201.7712939013;38614.265699999;39082.7583805513;39815.8691156483;39016.9863494921;39016.9863494921;38611.1703856055;41651.3932447333;42144.670033863;40957.7726716835;41265.1826895887;43176.8484165901;45017.6169869873
7508;26235.0823476247;26731.5428644428;30113.5056243347;28800.8591293467;29154.9015174663;28359.2278224199;25846.383688644;24072.5795766074;25913.0610348845;25912.1755156777;22900.1653351631;27670.2412620926;26556.5104485755;26110.6030921269;27162.2434822367;25452.2678097442;25104.2618526171;25579.9884504106;25994.7708068328;25994.7708068328;25994.7708068328;27155.8670236202;26093.5157372964;25379.1604335093
7509;51741.7297151989;53158.1009835879;53742.6523614388;54392.586757497;55236.8154642889;53059.4529731267;51285.7051751165;50356.3033208384;44552.078475708;40937.7010313115;38471.3813263503;34856.3605045245;33416.8776272949;33768.4589939739;35959.1324525936;35195.9436311545;35195.9436311545;35195.9436311545;33749.1600871538;34957.9509093921;34957.9509093921;32340.1592590916;36820.8611142863;44715.8336928895
7510;43820.7123877621;42170.0040413433;43552.2312341047;44357.2721152828;45603.0063334993;45433.6526184146;46086.6719994121;42423.6766103998;38514.1820698177;36463.5940295988;36876.7569007648;41760.0679288652;39149.6330299227;37167.6117036314;37416.314799991;36623.8374303363;36623.8374303363;36623.8374303363;35806.2663857852;36010.1320387031;36619.9378898208;35550.4983653185;36691.3126610376;38619.399627611
7511;41915.3537925722;41723.2761397556;39505.2344378613;41430.2287988975;41019.428884939;40029.3813633884;31760.836459033;30940.5782998488;29849.205858597;32718.7731603065;35139.5643796198;33226.3801200059;33628.6287133078;31397.8221241561;30595.8217860832;34168.8709622372;35984.0097930132;35984.0097930132;37199.3223659555;36706.0455768258;36960.6041407487;36219.1321772868;38311.0087684815;34783.9507941707
7512;28892.0625120494;29212.1247257986;27572.200714736;29529.5934734202;30898.1610140406;29905.4370770795;32129.3185297693;30021.3832559179;28639.8969731707;31180.9405815696;31355.8015179065;30306.6912001027;30368.4110895588;30045.2088812578;30968.7406282221;32301.2603738821;32649.2663310093;34975.1728998316;33734.9677929624;33396.9362471694;33962.6674972652;34185.512634168;32269.084096142;33121.1196658479
7513;24041.2987940731;26108.0969983664;25919.1602262472;23725.9921126868;23211.8146309766;23555.1159367777;22324.4089466687;21417.2664694256;18758.5417292845;22413.9039956955;25755.1229604263;25239.1039572917;24230.0045027718;25631.8375818195;26016.814908098;26717.6581869125;26151.9269368168;26151.9269368168;24141.8585390327;24141.8585390327;24676.7027073143;24157.5777110051;22699.2156174268;20982.4719389804
7514;27857.1949455951;27931.8708423137;25532.213821907;24039.3050977582;21514.1621518912;24620.9662325288;27745.3821971566;25678.6463935492;27128.3035352662;31383.3407565258;31997.5338963828;33824.7230076361;35341.3516640759;36083.4449011372;36718.5973900676;37149.8350618582;36560.5697620632;36560.5697620632;37220.1425384582;37220.1425384582;37539.8252290794;39286.7494087196;34036.9477078089;26041.424450975
7701;30748.8844057365;31245.4486423869;31799.7929187326;33340.4348605538;29520.7805200519;33844.6501579209;34568.5311041213;34190.6974696167;33898.2349847325;31737.8474474451;36992.3321754293;38298.6464992194;36790.1744432251;39197.6120812815;39197.6120812815;37797.6848768642;37797.6848768642;37797.6848768642;34863.3565177858;35387.3936272135;31153.1248825958;29010.8049820877;28339.6487833577;31051.5061649823
7702;26255.4144183618;26115.0556782059;26323.3103764687;25046.1400316579;22172.7118971032;22545.4321336583;22371.3244769556;21910.3857411652;16447.544506135;20092.467521599;17730.2486178368;19430.6630369759;21650.2992818792;23028.1532295759;23028.1532295759;25525.7026544662;25525.7026544662;25525.7026544662;25525.7026544662;25525.7026544662;25242.5099410765;23900.9606382633;24756.5224682688;22868.3077299145
7703;17828.9818055004;18406.7419373531;17688.0188612191;18606.1758411181;21177.7447847332;19521.248090932;20596.7104758922;21368.7572270021;18917.0923128473;19027.1433538661;18720.6103958233;17932.8645915589;18114.5331022171;17293.3897783738;17566.4765132196;18033.7617290915;18033.7617290915;18033.7617290915;20197.054659015;20045.2506660107;20796.2481023211;19249.7023894196;17157.8196944886;17675.9009825777
7704;15568.4920231902;15562.7777703172;15474.738614309;15177.8112568748;16550.4704046893;15340.4697546562;13395.2617679314;13369.8860453664;15071.0611505102;19040.7794128223;16797.1831587335;17607.5953111566;17607.5953111566;18032.8371116901;17711.6493716391;17711.6493716391;17711.6493716391;17711.6493716391;17955.3461636902;17812.8875038141;17393.8686041495;15207.6867343051;13450.5866735109;13953.9612147213
7705;6322.61310557852;5331.47076463919;5624.20688379724;5247.13316377931;4386.05526697529;5314.50070488424;4941.70928672879;4273.76746752216;5636.28784418554;5812.80639498128;8650.20013022913;9201.34315615733;9201.34315615733;9001.08163234317;10115.6226129775;10480.2973257056;10480.2973257056;10480.2973257056;10480.2973257056;10252.8646917444;9888.18997901636;9080.33790912148;7559.83156181963;7239.58988948658
7706;6631.43583864674;6775.37086827198;6407.0242949036;6790.60125965797;6418.54893119426;6503.34708838864;6518.16782910574;7139.08577677067;7531.81207657329;8813.30645365102;9076.48175605015;9311.14481780764;9807.43601215157;10007.6975359657;10007.6975359657;10007.6975359657;10007.6975359657;10130.137191497;9655.17257791602;9655.17257791602;9252.62219742795;9055.51823553792;7638.96069003697;6761.38866902304
7707;6431.96150305935;6373.72468838633;6467.01752552048;6394.68095552414;6132.68128258882;6152.63566487282;6001.13372979081;5351.65283775701;6362.94013692176;6722.79021107657;6935.50155117833;7057.8384586532;7057.8384586532;7057.8384586532;7057.8384586532;7057.8384586532;7057.8384586532;7057.8384586532;7363.27329775069;6991.21561654533;6991.21561654533;6538.95034454893;5623.25609601614;6091.56724578274
7708;11687.6710274594;8654.70638040559;8751.99043157381;7904.34924156307;8607.87465006849;9230.62427049295;9325.00911094447;9200.1170317305;12769.6259835941;14280.0070354993;16720.7867292415;17498.9102762702;18235.0863493436;18836.1054237298;18836.1054237298;19199.6858325119;19199.6858325119;19199.6858325119;18424.1578269891;18424.1578269891;17555.9007505418;17643.8437501136;13860.0493017893;11316.1940098211
7709;11566.0728960103;12322.1627350958;10378.2815171379;9178.55344069908;9382.82784402994;9434.49241265989;10450.9876612147;11281.5151188788;14023.9373385467;15036.4325695134;15795.0420173525;17021.3345294214;17211.3502425644;17211.3502425644;17211.3502425644;17211.3502425644;17211.3502425644;17211.3502425644;16872.8237326267;16872.8237326267;16872.8237326267;15155.3511317556;13622.9113474514;11853.4337479081
7710;22906.1240664336;23300.6448486601;22985.8199847822;22773.5155587726;21531.8317179743;20486.0018995644;21143.2512354398;22570.8891007362;20927.3980465402;23536.3315061111;25546.5137725188;25318.0241889676;26547.6510546663;27000.5313939908;27045.4618814143;27505.2130377989;28094.4783375939;27972.0386820626;27555.9851165732;27555.9851165732;27911.2857877023;27136.3501155982;24868.7362575076;23567.956285458
7711;12599.6403131464;12974.5856377029;13664.7983125494;14573.0122762458;13145.7344208124;11861.2448410171;12413.9953221844;10755.4603858803;16795.0026309504;17305.8085506194;17549.3807379359;17222.2906729701;17939.3514845175;18275.4956081086;18910.2162320913;18910.2162320913;18910.2162320913;18910.2162320913;17982.2841435673;18327.2010553341;19449.3826643147;19193.9208702843;13130.4867890697;12327.4088401821
7712;8317.82245232442;8589.93669616375;8589.93669616375;8331.83409433717;7858.8048466041;8560.39598745756;7351.47099330584;8373.27594391587;7152.90993983819;9810.98271813304;9622.54331400356;8104.40056983352;8661.63813504581;8919.7407368724;8919.7407368724;8919.7407368724;8919.7407368724;8743.96249509166;9887.30060656092;9542.38369479413;9542.38369479413;8406.92687342323;8825.19441960762;8614.35224915332
7713;4484.58769254718;4946.88863186287;4513.65717485562;4281.55366984313;4322.51349749491;4558.69128356728;4827.75666412331;4401.86613966837;5448.17425936667;6009.63139476961;6720.83130548744;7130.87815722608;6741.7367236006;6425.74862294469;6425.74862294469;6425.74862294469;6550.50640047345;6550.50640047345;6425.74862294469;6425.74862294469;6170.89665313627;5580.95601930402;4783.07498603533;4816.39184471814
7714;12543.749669284;12121.4872090196;12253.8713788829;12785.6821795323;13076.0541034657;13592.3375243853;13994.8855779023;14060.5145853183;13994.4005901768;14737.7813064585;16742.4379920902;16887.3869229587;17019.0902767355;17753.766966111;17753.766966111;17753.766966111;18038.1442715656;18038.1442715656;17810.2636643862;17810.2636643862;17655.4243050589;16090.064498904;14136.1632034262;12145.1191432462
7715;3686.14844544528;3337.74059517137;3477.1788974519;4211.12385539989;3913.73831101525;3397.25660929573;3538.40558882145;3656.94740435981;4091.94727563428;4804.44182771206;4705.69928574224;5043.06637526293;5043.06637526293;5165.80810374029;5320.35793339182;5320.35793339182;5320.35793339182;5442.81362590613;5730.17819081184;5637.78189013481;5512.01112423882;4491.77413831773;3841.5924977157;4084.53565232496
7716;17442.4522537501;17800.9986549119;17460.5069158894;14245.4676880424;16301.4638504709;17119.1120316729;17361.162820391;19648.0317701242;16644.5063333579;18468.2661094361;20307.0082101014;21963.4405088663;21849.0701050389;21726.8204708522;21726.8204708522;21726.8204708522;21849.0701050389;21849.0701050389;20427.8716099727;20427.8716099727;19838.1483602312;16397.9356277614;13618.9865465672;16360.6381623443
7801;8394.84949454241;9350.38895640453;8839.301921334;10860.2583742532;11979.157514317;12625.2293340288;10772.3335696337;10200.2840863254;10940.5687998342;12465.3683030189;13919.7599710153;16810.5951788131;16375.1724118777;16886.3893005414;19186.8074604231;18021.3734088379;18021.3734088379;18021.3734088379;17437.3717012409;17437.3717012409;17437.3717012409;17044.5163850882;12754.0865065422;9784.39791557816
