SECT_EGT;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h;h4;h5;h6;h7;h8;h9
7802;12914.7228060987;9133.11320366348;9297.34871897091;11104.1005918673;10400.4935302363;10552.0615960254;10179.8353175933;13398.9985999263;17096.0660541501;17263.13457787;18125.3037790242;17757.0017358941;18779.3318231952;18779.3318231952;19914.3838604552;21079.0321893516;21079.0321893516;21079.0321893516;19942.2711665455;19942.2711665455;19942.2711665455;17490.3986360508;14883.430366141;13549.6236122416
7803;23834.0695423003;23599.1068456326;21145.3376920013;23813.7881569911;23577.3167024459;25084.2323279347;21506.0169488884;21388.8964096259;25762.9616766597;27268.7837673648;28773.4650441636;28933.6011430823;30204.6383516314;29944.1473655501;30680.0707491371;29876.159999272;30564.5778368525;30564.5778368525;31225.9667999905;31225.9667999905;31225.9667999905;29419.1002602838;23940.8299134731;21864.0664951797
7804;8927.68808829325;8790.57873256511;8912.34471994586;8538.42243771776;9016.48532195542;7881.7119383261;8112.82585464234;8559.06912279689;10674.1095304063;11054.2882114016;12707.5827441925;14815.0896568167;14815.0896568167;13542.5317596503;13542.5317596503;13542.5317596503;13542.5317596503;13542.5317596503;13542.5317596503;13542.5317596503;13542.5317596503;13052.3022291361;11879.4427618557;10693.9784691134
7805;22976.1735243914;20077.4303351806;20145.4130625409;20254.5495548606;20288.1997534453;22535.1401536192;20195.7443058785;20272.0713181771;24020.1128558888;23890.4189489534;24101.1911164027;24704.5713327993;23927.074531414;25036.0329447897;24418.4520414198;24418.4520414198;24418.4520414198;24418.4520414198;24418.4520414198;24418.4520414198;23621.3400047405;22247.3500421494;20571.278999263;21248.7691061397
7806;14233.981341433;13900.0248313066;13705.7743807367;12220.0036767672;13987.95952627;13098.8547162314;11987.4158689085;13232.913289872;12865.5029537814;15842.4308091018;16086.8913754879;15978.9203554218;17159.1548762913;17002.1218646448;17734.4225693423;18020.7297575126;18020.7297575126;18020.7297575126;17228.9733534777;17973.6196252187;17395.892994716;16525.0753470574;14188.9461009125;13132.0735266271
7807;8001.6622389322;8938.98038525661;8973.53139073162;8869.85840849434;8413.11093048748;7957.19400730272;8656.7852142003;8160.56559034766;8347.7575322647;8676.49804700906;9141.5905359856;9141.5905359856;9274.4907460551;9274.4907460551;9276.65730462882;9276.65730462882;9276.65730462882;9276.65730462882;9455.6736466765;9455.6736466765;8532.71585734012;8315.95286800661;7669.73318592843;7321.97207145388
7808;5148.32674234611;4674.05820550355;5145.21557665899;4986.33899344532;3667.38918073349;4010.96532935632;4674.92531188654;5802.00937644893;5272.29356101213;7314.53178768181;8828.52463549294;9620.45048795965;9951.05110721632;9951.05110721632;10591.640258368;10591.640258368;10591.640258368;10591.640258368;10443.5683844147;10443.5683844147;10443.5683844147;9457.29339753108;7463.86481255684;5668.17144061508
7809;10399.3225805719;12519.4120191814;12496.6971414326;11452.507374651;9922.53276529469;11348.0720983637;11368.9549626027;11827.9491617055;12375.5896906951;13596.2141605059;15282.6629285072;16526.177397232;16526.177397232;16133.6201692689;16133.6201692689;16547.0386958404;16547.0386958404;16547.0386958404;17011.6750183755;17011.6750183755;16776.044731096;14600.2651486434;13220.7794352992;11240.4875245717
7810;5783.66967696167;5414.80540658057;4940.72396941574;3916.15878607494;3849.23155295601;3619.60939528493;3991.37354191516;5209.26407369353;5378.61513800713;5587.83102931047;5983.740390619;6112.8983168073;6382.8238113068;6382.8238113068;7000.0695218005;7000.0695218005;7000.0695218005;7000.0695218005;7000.0695218005;7000.0695218005;7000.0695218005;6481.86950569433;5751.22964018278;5414.93545458243
7811;16451.2200996938;14453.4725731283;15019.0411860282;14650.1072960012;13841.3305928907;14237.3102489683;13834.9732888301;16428.7805768675;20270.1491017622;24735.4812732107;25861.4584850487;26968.2553738811;26372.4434945023;26578.8710282198;27973.4444565569;27380.5240252234;27380.5240252234;27683.2172496695;26362.8942477046;26362.8942477046;26303.2069391284;25858.3080414548;20835.530759941;16946.408842729
7812;46292.2238957083;47044.2193338445;49732.8633021099;47483.8393114633;50927.7857479272;52533.7861542648;48681.3919598555;43849.7980854714;33354.0156614815;30190.4227109044;32998.827690079;33333.3643520493;35168.0611977521;35200.2390295475;33726.7810401014;33726.7810401014;33667.9995442501;33365.3063198041;33388.2580351832;33533.3463417884;33247.1371852841;33404.4455909831;38040.4227856969;41700.6409403278
7813;7681.51142629037;7783.32737964888;7716.67532248401;8408.78157759485;8224.72761415833;8883.51754973804;8567.14402677149;8231.402655907;8256.50753357323;11095.9028087125;11777.9892524799;10769.9903316082;11019.5947456506;11184.1310874402;11130.6473364923;11130.6473364923;11130.6473364923;11130.6473364923;11313.7393825033;11313.7393825033;11313.7393825033;10253.5979140198;8951.83971678434;8404.21103536891
7814;5043.6948526286;4509.47725399574;3673.51080828484;3633.59690655174;3502.22667895573;3871.51618507821;3885.39055728302;3844.32365432424;4539.93768056456;6308.09519356436;7427.93028276926;7322.39648475334;7403.04724840256;7517.31565525234;7497.32797124837;7497.32797124837;7628.01071106723;7739.23964175247;7652.55331724517;7652.55331724517;7538.28491039539;6689.31266108543;5072.28823384423;4864.98795521885
7815;7231.85914011713;7634.12399797794;7544.62816597908;8611.92763418049;7106.52398684753;6830.47546370266;6504.86276721182;6550.71311368606;7860.31958527554;7991.52797168865;8912.02792977368;9165.05701393235;9788.29244870687;9607.93744252405;9796.21012948792;9796.21012948792;9796.21012948792;9684.98119880269;10872.85371409;10872.85371409;10872.85371409;10341.3397271102;9230.81072345098;8197.33104891833
7816;36024.3907685309;36028.9484455201;36167.4795251643;35146.3639679855;36788.2058554396;35785.2611191337;34903.5480501146;35122.9145917701;32171.3394300147;30508.5645066443;32996.0196703238;33458.2688840191;32684.5141419039;33509.8040218561;33851.3934460948;33851.3934460948;33851.3934460948;33851.3934460948;32886.9611250978;32886.9611250978;32405.2042097617;31717.080013619;30497.6804203485;32198.1916014706
9101;21484.6819856978;23423.2543991638;22133.7515780117;20524.6091987689;20889.4249673334;21442.6550870695;19203.3189974134;18002.1223836021;15182.992615439;12684.999432795;14046.1941665906;14055.9305335376;14421.1929676215;14453.2340693324;14956.442436638;14956.442436638;15101.1002019547;15276.8784437354;14761.216590367;14761.216590367;14890.8595071995;14889.4640570555;15502.1786811397;17727.5267386833
9102;11197.0139441593;10002.7690268068;9408.82618655022;9743.87565843697;10083.5775268537;9730.99408693735;9513.42894957724;9566.84320663393;11476.5834388256;10687.4723998304;12073.4453898847;11450.860440768;11992.130907754;12420.3031457139;12356.3645866564;12744.2202482014;12744.2202482014;12744.2202482014;12605.4404728293;12605.4404728293;12311.8065563365;13415.5106930451;11625.5790630516;10678.2514628587
9103;10685.4379238751;12270.2624613805;12035.2425750062;11514.4425844806;9602.64638718615;10477.0280423402;11608.847399923;11813.2703235008;11309.1622464767;13469.3111617318;15520.2447815637;16464.8774020456;16115.7763883062;16115.7763883062;16115.7763883062;15673.9902449688;15673.9902449688;15943.1835550942;15582.3396408521;15345.0678927171;15345.0678927171;13590.2593512959;12139.7572666703;11619.9359180908
9104;5274.61478342353;5064.25897505627;6817.42951678355;7532.19884067714;7477.38110876609;7912.90302852187;9036.81916081327;9295.03613907706;7623.62689363864;11019.7438498778;11981.9283046761;12184.3546845024;11972.8531091263;11972.8531091263;11636.8922398705;11211.2060816966;11211.2060816966;11211.2060816966;11531.3216727289;11531.3216727289;11376.8628812888;10395.0078300206;8212.35069975233;5707.80246327667
9105;14767.9607117253;14984.7648313228;13560.6775580051;14527.9212497527;14233.9381276014;13603.9422107855;14163.555552821;15730.7243259738;17087.3404770806;17169.8536552422;20247.7726299885;21153.4988286441;19584.874501966;19960.8006897023;22643.9750554805;22908.6591324503;22908.6591324503;22908.6591324503;22838.2523688197;22838.2523688197;22063.1176650763;21734.9316673154;15446.9340942246;13850.0236709154
9106;15251.7041246431;15685.1537219747;16213.4120587983;15422.0788627893;18018.8131698887;17065.3537046206;16738.5940693092;18801.4478200886;17451.275396553;20710.2820346563;21526.5357375871;23652.2353992306;22774.7869111356;21735.1904724777;22337.9827898215;22337.9827898215;22337.9827898215;22337.9827898215;23089.4582294901;23089.4582294901;23089.4582294901;21611.943015514;20058.6030861149;18105.0115569899
9107;11572.3560236928;11663.5214346222;11367.9571322947;12119.0842343122;12019.7736509825;12943.4088656856;12130.2776651952;11429.2705501283;14602.0666434773;19041.3128954051;21735.318333699;22948.9646910329;23156.4142058866;23156.4142058866;24254.6583431961;24466.2228657897;24466.2228657897;24466.2228657897;23624.5134059708;23624.5134059708;22705.0228174449;21722.4750981604;15979.9118746478;11296.7528600374
9108;8728.56951624035;7437.5973869756;9097.02079421528;9544.9838124077;8933.4536005502;9067.99257285832;8418.38780647811;7956.80262614143;9375.13732240617;11333.4547483501;13147.7020387897;14237.1384301531;14531.9842450711;15256.1358410381;15276.653815132;15276.653815132;15276.653815132;15276.653815132;14795.3118110465;14795.3118110465;14795.3118110465;13138.3750904709;10492.2690346307;10053.4129364036
9109;17734.23173739;18435.9416482568;18346.4529735217;17298.5917237251;17239.2127840545;18042.8152875914;18286.1053503836;19303.9885580007;19979.9869267913;18632.3653207154;19718.1816917177;21414.8196784907;22647.4540411132;21654.3470594809;20548.79092803;20888.1876092224;20888.1876092224;20888.1876092224;21316.2532192588;21364.4503780843;20720.1586610862;19927.6751830653;20190.1961933613;16913.6424162084
9110;11959.4603502097;12086.1124968939;10883.5012638708;10156.1630504621;10628.8369320126;10954.2799879125;12086.7877068209;11043.8039004974;11298.9234161324;12315.9878429663;14552.0222991768;14087.6871952425;14634.5660028767;15276.5684608467;15276.5684608467;15276.5684608467;15276.5684608467;15276.5684608467;15190.6561996974;15190.6561996974;15190.6561996974;13832.709020569;11149.8205030159;11493.4414705302
9111;18601.6393073256;18771.2742266489;19062.8983867868;18666.5491728111;18682.7357956349;18550.2606910364;17285.8492389877;18703.0606493766;17898.8363521957;16418.7304586065;15670.8099076654;16838.2257961729;17744.892006733;16360.7254497618;17129.2273127598;18034.6485651337;19269.5420581347;19269.5420581347;18611.8159864635;18611.8159864635;18507.1102026618;17078.543781709;15390.7557629054;16759.0368373687
9112;11892.9531992686;10441.4160656324;10631.419945955;10808.2434154291;10281.5382597029;11315.986732844;12314.8198471336;12679.6850586633;13654.1555048868;14157.114363738;14685.9020936311;15023.0096923667;16304.7195507812;16304.7195507812;16542.1687146825;16694.4689344824;15844.2757895743;15844.2757895743;15425.3983829837;15425.3983829837;15148.3012030551;13797.0573935994;12269.6933954335;11880.6929510908
9113;23022.2301067494;23122.0251953338;24892.8122660131;25052.6873791691;24205.3466926904;22553.8298239974;22414.9192485713;22981.3473901197;21406.3237660128;23537.5624212883;22733.4006577002;23054.4367055905;25293.2558693425;26060.3781821339;24498.4406506472;25291.0192617526;25291.0192617526;25291.0192617526;25300.5700379676;25422.6125465039;25223.8728365947;24419.6761037676;21276.3913752214;20394.4762534194
9114;13921.2926879038;14751.9094679336;13071.6273651587;12896.1085063123;13325.8766168794;13802.0981861393;14853.1990231264;14760.4314429878;12893.4792045443;14062.1127256557;13958.707373261;14456.7987547502;15435.0505250875;15565.8922341428;15565.8922341428;16399.2606877048;16327.3594437372;16327.3594437372;15626.5276639536;15626.5276639536;15626.5276639536;14675.3042449139;14375.9678645166;14582.5224652085
9201;24889.0957387271;25862.900554613;25632.8385545918;27607.432361548;26878.1517182062;29979.8800634402;29141.9074001771;27149.3974548792;25598.6349304814;27575.9477425205;28391.9341907737;32525.1699430282;34764.0402935386;34537.0568178248;34242.7049116907;34537.3815942822;34992.9276732169;34992.9276732169;34577.4697404029;34577.4697404029;34744.1674526459;32937.0967774197;30648.1863777722;27498.104639399
9202;21546.9540482432;24252.5210877954;22316.684621554;21496.9243967569;21751.8600024686;24303.7370762128;23345.9231294796;18975.8501635911;18904.770370555;21337.4989368046;21223.469378558;21783.3206285025;22472.3538192871;22472.3538192871;22818.1766458329;23398.1672369083;23843.6548013981;23843.6548013981;23769.3050273329;23769.3050273329;23260.0002458314;23825.7404163413;21405.6055906301;19326.7700524421
9203;45238.233907285;42613.2914228742;45461.3016178114;44047.6801789313;44439.0273578301;43621.1835576912;44934.4527643187;44218.8683402188;43189.8603692838;38360.2733829016;37706.838164032;41396.8707522384;42515.860162356;42516.143983918;43514.0825229097;43770.4164799925;43770.4164799925;43770.4164799925;43375.7787462412;43084.7599433329;42350.6405700804;40015.7909045049;39407.7008641784;41298.0700298734
9204;43968.2751153815;44533.4398230689;44152.6404647336;41696.1043378784;40495.7011601176;41146.9478986209;41499.2245479534;37823.4648060676;33217.6915601965;28071.7589149531;25213.7421791204;27015.2379743037;26739.1732388203;26091.7313077719;26138.1745051343;25746.1471468433;25746.1471468433;25746.1471468433;25040.6803285079;25040.6803285079;25326.0291257219;25195.8239306119;25168.433020119;35648.6929513996
9205;49165.7904726084;55790.6853050476;53816.6790788439;56299.5982066931;56838.7429903943;54522.3603292256;53198.2619062256;47504.3612055732;40652.0409954166;31366.7473094451;26543.7126999483;26247.735810246;25755.2011182439;26371.9083302963;25432.2281484023;24941.7863029781;24941.7863029781;25352.2298240161;23935.3394627078;23935.3394627078;24619.1783163241;25195.0123483552;27062.7035299142;35168.4657071676
9206;28194.6143143055;27553.2777058166;29333.44291996;28091.8374523343;28709.574219387;26644.2494127681;25415.5689677356;24672.0181578756;21493.4037629174;21078.4526090193;22361.2454466773;21447.201593703;21147.6037444921;23146.8704120315;22659.4905101067;22659.4905101067;22659.4905101067;22659.4905101067;23158.548620157;23158.548620157;23158.548620157;22810.6005428054;21817.5064650343;22848.8976043524
9207;24340.5504117091;21822.3157994453;19758.7663226389;20940.0336428431;19563.7251553898;20287.6921999769;23172.4417530458;21941.1080712675;21988.5395709751;23894.3568763614;26015.4863433943;26147.9266417586;26722.1211703321;27830.4974588493;28886.6925120118;29114.254026687;29114.254026687;29114.254026687;29562.570865994;29562.570865994;29562.570865994;29349.5460206324;25672.5944900879;24169.520657209
9208;21595.3928580299;23139.1877841424;22734.0952586502;25345.3799278826;24511.7021349671;26259.7637146977;24799.8217451125;23780.1078199768;22335.4787129656;22422.0457978679;23203.5338818103;23460.2716184095;23567.1430576789;23292.942413791;22926.7955561425;23443.1220119266;23443.1220119266;23443.1220119266;23022.9285835161;23022.9285835161;22876.279041412;22729.6294993079;21471.2924470165;20512.6336322642
9209;37471.836196992;37533.5283427895;36691.5105244325;34530.9144731057;33968.8935236804;34303.0561142672;35225.317497867;38045.4258041278;37566.6046489599;37731.2956170256;37287.7897081758;36182.1184965012;37785.7177387653;36872.8816817593;38294.6156497695;38142.3154299696;38401.0182938326;38401.0182938326;38360.1217138028;38360.1217138028;38158.4956484771;37003.7323617216;36245.4702713653;34173.4263912316
9210;25991.2084122315;26406.246871671;26024.2333485296;24256.3299703692;24667.6157380153;24699.4764197911;27725.0186459267;26888.7544026798;25316.7518603809;26695.0140925392;30420.1910393378;29094.7448433122;28044.2999121571;27617.4727944713;29592.8887024786;31708.0304300385;31708.0304300385;31708.0304300385;30611.9579406894;30745.6438987394;30066.1711932479;29271.5614539681;24036.8094416991;25955.3405682107
9211;16499.0570317241;17300.5217996708;16138.8032058817;16101.7878209593;15123.2832387723;14670.2737520284;14296.3497360221;14788.4680683614;13718.5351110293;13074.822201261;15837.5446622673;18231.3904419676;19569.382054302;18520.2988276389;17579.7918751126;17315.6425174484;17315.6425174484;17315.6425174484;18830.2676776571;18830.2676776571;18526.4019739281;18941.3906065269;18474.4885766302;17569.35869823
