MODP;MODE
01;03
10;03
11;03
12;03
13;02
14;02
15;02
16;02
17;02
18;02
21;02
22;02
31;01
32;01
33;01
37;01
38;01
39;01
41;01
42;01
51;01
61;02
71;02
81;02
82;02
91;02
92;01
93;03
94;03
95;02
96;02
