"ENQUETE";"modo_des";"MODP";"MODE"
"BOGOTA";"A pie";1;"03"
"BOGOTA";"Bicicleta";2;"03"
"BOGOTA";"Patineta";3;"03"
"BOGOTA";"Moto";4;"02"
"BOGOTA";"TransMilenio";5;"04"
"BOGOTA";"Alimentador";6;"04"
"BOGOTA";"Auto";7;"02"
"BOGOTA";"Bicitaxi";8;"03"
"BOGOTA";"Cable";9;"01"
"BOGOTA";"Intermunicipal";10;"01"
"BOGOTA";"SITP Provisional";11;"01"
"BOGOTA";"SITP Zonal";12;"01"
"BOGOTA";"Transporte Escolar";13;"01"
"BOGOTA";"Transporte informal";14;"01"
"BOGOTA";"Transporte publico individual";15;"02"
"BOGOTA";"Otro";16;"99"
"SANTIAGO";"NA";1;"02"
"SANTIAGO";"NA";2;"01"
"SANTIAGO";"NA";3;"01"
"SANTIAGO";"NA";4;"01"
"SANTIAGO";"NA";5;"01"
"SANTIAGO";"NA";6;"01"
"SANTIAGO";"NA";7;"02"
"SANTIAGO";"NA";8;"03"
"SANTIAGO";"NA";9;"03"
"SANTIAGO";"NA";10;"02"
"SANTIAGO";"NA";11;"01"
"SANTIAGO";"NA";12;"01"
"SANTIAGO";"NA";13;"01"
"SANTIAGO";"NA";14;"01"
"SANTIAGO";"NA";15;"01"
"SANTIAGO";"NA";16;"01"
"SANTIAGO";"NA";17;"02"
"SANTIAGO";"NA";18;"02"
"SAO PAULO";"NA";1;"01"
"SAO PAULO";"NA";2;"01"
"SAO PAULO";"NA";3;"01"
"SAO PAULO";"NA";4;"01"
"SAO PAULO";"NA";5;"01"
"SAO PAULO";"NA";6;"01"
"SAO PAULO";"NA";7;"01"
"SAO PAULO";"NA";8;"01"
"SAO PAULO";"NA";9;"02"
"SAO PAULO";"NA";10;"02"
"SAO PAULO";"NA";11;"02"
"SAO PAULO";"NA";12;"02"
"SAO PAULO";"NA";13;"02"
"SAO PAULO";"NA";14;"03"
"SAO PAULO";"NA";15;"03"
"SAO PAULO";"NA";16;"03"
"SAO PAULO";"NA";17;"NA"
