"IDH";"KREVI"
"P02008";"6"
"011141";"2"
"011146";"1"
"011169";"2"
"011188";"8"
"011159";"1"
"011158";"4"
"P07075";"6"
"015465";"7"
"011184";"3"
"011185";"9"
"017884";"7"
"012685";"8"
"011190";"7"
"011195";"2"
"011196";"2"
"011213";"3"
"011208";"5"
"011214";"4"
"011266";"2"
"011254";"5"
"011256";"4"
"011260";"1"
"001124";"2"
"001125";"4"
"011265";"8"
"011269";"2"
"011303";"5"
"011282";"2"
"011293";"2"
"011276";"7"
"011289";"2"
"011300";"3"
"011306";"6"
"001134";"5"
"001136";"1"
"011340";"9"
"015742";"5"
"020271";"3"
"015621";"8"
"016968";"9"
"001139";"2"
"001140";"2"
"011391";"4"
"011385";"1"
"011388";"1"
"001138";"5"
"011373";"3"
"011411";"4"
"001141";"2"
"015843";"5"
"019515";"5"
"011412";"1"
"011413";"2"
"008946";"1"
"P02590";"2"
"011424";"3"
"011445";"7"
"011452";"2"
"011441";"3"
"009298";"1"
"011492";"2"
"011476";"5"
"011477";"3"
"011494";"4"
"011485";"1"
"011482";"2"
"013861";"7"
"011483";"3"
"011496";"4"
"011548";"4"
"011517";"3"
"011530";"2"
"P03920";"6"
"011531";"1"
"001153";"4"
"P01031";"1"
"011512";"1"
"011556";"1"
"011606";"4"
"P00875";"5"
"001158";"2"
"P00876";"5"
"011600";"7"
"011583";"1"
"011585";"4"
"011576";"1"
"011604";"1"
"011617";"3"
"011603";"1"
"011639";"1"
"011644";"1"
"P03027";"5"
"011629";"2"
"011637";"5"
"032016";"2"
"P02592";"4"
"001169";"1"
"011665";"1"
"011657";"1"
"011713";"1"
"011714";"1"
"011711";"6"
"011724";"1"
"011725";"2"
"011765";"1"
"011749";"6"
"011736";"6"
"011738";"9"
"011750";"7"
"011739";"1"
"011756";"6"
"011763";"5"
"011764";"1"
"011770";"9"
"011771";"6"
"011776";"1"
"011799";"2"
"011781";"6"
"011784";"6"
"001178";"2"
"011832";"3"
"P01068";"2"
"P00373";"2"
"P02595";"4"
"011807";"4"
"011809";"1"
"011817";"2"
"011819";"2"
"011820";"7"
"011802";"2"
"011863";"6"
"011865";"9"
"011847";"1"
"011846";"1"
"011852";"1"
"011855";"1"
"001187";"3"
"011883";"6"
"011884";"7"
"011882";"9"
"014555";"8"
"011879";"9"
"011880";"6"
"001188";"1"
"001189";"3"
"011893";"5"
"011894";"7"
"001190";"1"
"011923";"6"
"P03223";"6"
"011918";"7"
"011919";"7"
"011907";"3"
"019909";"6"
"001193";"3"
"031737";"1"
"011916";"1"
"011917";"1"
"P00871";"3"
"031919";"1"
"011967";"2"
"011945";"1"
"011968";"1"
"011970";"5"
"011985";"8"
"011974";"6"
"011975";"9"
"001199";"1"
"011982";"2"
"011983";"2"
"011999";"2"
"011973";"6"
"012025";"3"
"001203";"3"
"012012";"3"
"012019";"7"
"010210";"1"
"012036";"2"
"030947";"1"
"012037";"2"
"001209";"1"
"012043";"1"
"012044";"9"
"012072";"5"
"012097";"4"
"001208";"5"
"012052";"1"
"012055";"1"
"001205";"6"
"012056";"2"
"012059";"1"
"012101";"1"
"012104";"2"
"012105";"5"
"001210";"5"
"001211";"2"
"012103";"9"
"012118";"7"
"012120";"9"
"012158";"7"
"012159";"8"
"001213";"1"
"016591";"6"
"017739";"5"
"012141";"4"
"P02594";"3"
"P03225";"5"
"012155";"2"
"010577";"1"
"001218";"4"
"012161";"6"
"012166";"1"
"012169";"7"
"001219";"1"
"033361";"9"
"016422";"6"
"001220";"1"
"001221";"5"
"012206";"2"
"P03642";"1"
"012218";"4"
"012225";"7"
"012261";"1"
"012262";"1"
"010244";"5"
"001224";"2"
"001225";"2"
"012259";"6"
"012293";"7"
"012278";"2"
"008749";"2"
"P01643";"5"
"012279";"2"
"P04799";"1"
"P01027";"2"
"012334";"1"
"P02896";"2"
"P02897";"1"
"P08278";"4"
"008975";"5"
"012379";"8"
"012351";"5"
"012423";"5"
"P00393";"4"
"P02902";"5"
"012386";"9"
"012387";"6"
"012393";"1"
"012461";"5"
"011057";"4"
"031306";"2"
"012439";"1"
"012462";"1"
"012463";"2"
"P00641";"4"
"P00848";"5"
"012483";"9"
"012541";"3"
"001254";"5"
"012520";"2"
"012540";"4"
"009999";"3"
"001258";"3"
"030711";"1"
"008265";"2"
"001255";"1"
"012562";"2"
"P02092";"9"
"P00657";"1"
"012588";"9"
"012596";"7"
"012597";"3"
"P01645";"7"
"009093";"2"
"009329";"8"
"006660";"6"
"007356";"5"
"P00648";"5"
"P00860";"6"
"P00956";"1"
"009094";"5"
"P02596";"6"
"P05936";"2"
"012689";"9"
"030917";"2"
"008098";"3"
"012701";"4"
"P00863";"1"
"012707";"8"
"012702";"5"
"P00872";"2"
"P00685";"2"
"006387";"1"
"001274";"5"
"012739";"8"
"012743";"2"
"012744";"1"
"012799";"2"
"012804";"3"
"001279";"1"
"001280";"1"
"012781";"1"
"031290";"2"
"010185";"2"
"012783";"6"
"012782";"1"
"012787";"7"
"018066";"2"
"013954";"9"
"012818";"2"
"012819";"1"
"012821";"9"
"009330";"6"
"P02102";"3"
"012815";"7"
"010211";"3"
"012875";"2"
"012874";"8"
"012852";"1"
"012869";"4"
"012871";"1"
"001284";"1"
"012857";"1"
"012858";"5"
"P01593";"1"
"P01644";"1"
"012895";"8"
"012880";"4"
"012892";"3"
"012881";"7"
"012901";"7"
"001288";"3"
"012923";"2"
"012914";"4"
"012934";"8"
"012909";"4"
"012931";"4"
"012924";"7"
"012922";"8"
"012917";"8"
"012908";"2"
"009795";"6"
"012947";"3"
"012952";"9"
"P02599";"5"
"P02601";"1"
"P02602";"8"
"001297";"2"
"012979";"9"
"012985";"2"
"012987";"1"
"012994";"9"
"012992";"5"
"012995";"9"
"001298";"1"
"001300";"2"
"013045";"9"
"001305";"7"
"013040";"3"
"013041";"2"
"013042";"4"
"013038";"1"
"013113";"2"
"013079";"7"
"018716";"7"
"008593";"8"
"013080";"9"
"015158";"7"
"013112";"3"
"013111";"1"
"013110";"4"
"013105";"2"
"013063";"3"
"014473";"9"
"013591";"7"
"013125";"9"
"001312";"2"
"013128";"2"
"013149";"8"
"013142";"5"
"013144";"9"
"013152";"2"
"013179";"8"
"013174";"9"
"013178";"6"
"013187";"5"
"013189";"5"
"013173";"1"
"013155";"4"
"030992";"9"
"013156";"5"
"013197";"2"
"013235";"3"
"012716";"2"
"013194";"2"
"013201";"1"
"013223";"2"
"013193";"1"
"013207";"5"
"013196";"1"
"013264";"9"
"013251";"7"
"032975";"7"
"013263";"1"
"013265";"3"
"013297";"9"
"013260";"1"
"033021";"6"
"013275";"1"
"013307";"8"
"013308";"9"
"013298";"7"
"013310";"2"
"013311";"3"
"013325";"1"
"013324";"1"
"001335";"2"
"014029";"1"
"014646";"4"
"013377";"8"
"013385";"3"
"013348";"1"
"P00102";"8"
"P03121";"6"
"001340";"2"
"013437";"8"
"013387";"6"
"013416";"6"
