"ENQUETE";"propia";"OCC_LOG"
"BOGOTA";"1";"1"
"BOGOTA";"2";"1"
"BOGOTA";"3";"2"
"BOGOTA";"4";"2"
"BOGOTA";"5";"3"
"BOGOTA";"6";"3"
"BOGOTA";"7";"3"
"BOGOTA";"8";"NA"
"SANTIAGO";"1";"1"
"SANTIAGO";"2";"1"
"SANTIAGO";"3";"2"
"SANTIAGO";"4";"2"
"SANTIAGO";"5";"3"
"SANTIAGO";"6";"3"
"SANTIAGO";"7";"3"
"SAO PAULO";"1";"2"
"SAO PAULO";"2";"1"
"SAO PAULO";"3";"3"
"SAO PAULO";"4";"3"
"SAO PAULO";"5";"NA"
