"district","hour","occ1","occ2","occ3","occ4","occ5"
"7501","4am",52135.24,8785.7185,6269.2876,14901.23,1411.586
"7502","4am",70072.07,18599.4645,6249.7738,28918.371,8619.664
"7503","4am",47839.39,8231.1029,4841.5585,12914.442,5798.14
"7504","4am",50798.6,6919.5601,8822.3402,10466.181,4898.679
"7505","4am",72249.68,11346.6239,10439.7218,18717.193,9325.145
"7506","4am",70518.32,9934.6127,7445.2183,23336.086,5628.301
"7507","4am",81900.67,19252.582,9818.8633,26118.077,8003.924
"7508","4am",60845.6,12451.1443,5945.8048,23171.07,6062.492
"7509","4am",103505.63,20302.5794,7528.0792,38648.081,14392.217
"7510","4am",65983.24,12588.2438,6207.4454,30910.502,15836.765
"7511","4am",76809.22,12766.4739,9193.1271,25294.562,10573.97
"7512","4am",91610.55,12953.7656,12840.1782,25519.373,13196.482
"7513","4am",75063.67,13701.9491,13905.4696,25703.984,13181.058
"7514","4am",83651.4,11428.4348,14333.323,28535.46,12505.215
"7701","4am",64927.25,10277.4153,6049.5264,12925.853,6130.742
"7702","4am",70597.57,6993.0955,7577.6663,17897.614,9750.542
"7703","4am",51763.74,5228.5049,4352.1741,13932.716,4380.93
"7704","4am",38307.51,4245.2846,4027.8843,15110.131,8974.308
"7705","4am",31997.73,3765.0154,3225.3704,8932.868,1730.66
"7706","4am",26816.3,2129.2843,3524.4131,11868.622,3395.102
"7707","4am",28920.34,1624.6848,3664.3658,12825.369,5645.816
"7708","4am",44903.42,4607.2577,3907.0631,15659.017,3899.473
"7709","4am",32808.06,3007.2627,1842.5047,11314.38,2562.894
"7710","4am",39762.01,2990.7645,4428.6756,13251.438,4589.943
"7711","4am",46240.73,7013.3795,4551.6502,15319.373,5409.742
"7712","4am",29798.41,3467.2985,3707.4341,12748.595,5674.142
"7713","4am",13821.55,1539.7748,2141.2742,8317.495,3728.538
"7714","4am",35487.05,6263.7263,3280.6341,17262.345,4596.742
"7715","4am",18960.09,969.2264,2037.2901,9085.381,3309.43
"7716","4am",51492.85,5687.3323,4477.5662,9617.941,4602.456
"7801","4am",50659.47,5891.3523,2516.2775,15719.966,3170.988
"7802","4am",32117.18,5725.53,3318.1216,15090.967,7243.042
"7803","4am",52181.81,8447.7699,4777.8861,18429.868,6210.175
"7804","4am",24620.77,2582.124,3040.2089,12561.2,3772.585
"7805","4am",47228.58,4896.7946,5082.286,14799.549,9131.242
"7806","4am",45040.77,5408.1778,4861.7492,19034.515,7407.039
"7807","4am",21650.68,4305.4427,4890.0778,12294.109,5462.067
"7808","4am",35415.41,3561.1455,2982.6056,9298.202,5143.282
"7809","4am",39117.49,3785.3785,3657.8538,12255.951,3790.94
"7810","4am",12258.11,1284.0852,1323.904,6025.143,2767.701
"7811","4am",44685.51,3059.7396,2550.2621,20786.385,5374.93
"7812","4am",69486.03,11563.4143,5479.6885,30075.145,9777.609
"7813","4am",20659.78,2729.9255,2395.1966,7307.107,3816.352
"7814","4am",13495.92,1275.6675,905.3433,5360.325,1626.361
"7815","4am",20489.47,1499.372,1382.8836,8483.791,4503.511
"7816","4am",72048.71,8087.5417,5005.8643,13233.82,6492.111
"9101","4am",33736.66,5491.9846,5086.9284,8039.239,4957.47
"9102","4am",28268.37,1994.3959,1940.9893,11337.079,3223.287
"9103","4am",38130.19,2330.6167,3545.0156,15135.235,3972.301
"9104","4am",30435.5,2008.9646,1726.4978,11726.878,4090.597
"9105","4am",46966.94,5417.5626,4178.4734,13492.202,5043.004
"9106","4am",45975.06,6189.1201,5497.6947,17265.822,6896.613
"9107","4am",49313.25,5301.6569,4790.7421,20568.931,5315.982
"9108","4am",31529.38,4199.9122,3209.8286,12563.404,4383.102
"9109","4am",39318.46,2939.0287,3655.1651,16170.361,3137.773
"9110","4am",35053.39,4100.4518,4697.102,11374.553,6220.171
"9111","4am",34586.35,4950.7345,3298.1345,10819.568,4229.037
"9112","4am",28581.61,2635.1573,2893.5466,10977.491,2434.738
"9113","4am",45756.86,6290.8541,3700.5949,17732.871,3607.424
"9114","4am",22658.25,4041.6272,1874.9395,10242.347,3201.58
"9201","4am",63534.44,8245.6776,9237.332,20160.014,9286.999
"9202","4am",47245.01,5944.1049,6558.8638,15456.108,5370.04
"9203","4am",80913.82,8074.922,9811.3166,27526.284,12240.794
"9204","4am",50804.98,6553.5631,6805.4994,13819.671,6846.414
"9205","4am",65111.6,7747.2957,6383.5773,15707.793,5444.155
"9206","4am",57524.94,5402.8076,4951.4474,17288.936,6736.251
"9207","4am",48683.56,6657.226,3766.1547,18005.378,5750.446
"9208","4am",51489.39,7223.0987,5110.8879,18033.481,6278.24
"9209","4am",82006.2,9971.865,7554.9897,24202.128,5434.996
"9210","4am",67272.96,8352.9714,5727.9577,26212.577,8064.717
"9211","4am",42337.5,4735.5405,4744.453,15390.717,4373.921
"9212","4am",43186.02,6063.147,2819.8593,16753.302,4973.555
"9302","4am",26081.01,2906.6868,2209.7895,11339.312,3337.455
"9303","4am",53211.42,7656.8008,10005.179,18101.828,12657.838
"9304","4am",65035.19,7638.7381,12698.0332,20500.061,9563.599
"9305","4am",41493.42,6964.8386,8151.8608,14992.345,9343.918
"9306","4am",54690.56,6135.3828,6080.2178,21688.521,5013.857
"9307","4am",38209.27,5393.4668,6204.0157,14417.103,14993.281
"9308","4am",31480.76,4104.5286,5365.5796,11537.648,6792.441
"9309","4am",47828.31,6055.0819,8304.9862,13886.471,10922.826
"9310","4am",55890.87,7426.2184,9543.4078,18583.499,12634.869
"9311","4am",57364.13,11586.969,13242.5182,20527.131,15518.948
"9312","4am",82124.68,12867.4113,19696.143,23563.172,22975.571
"9402","4am",56588.04,9909.4694,9232.0799,20297.319,10068.44
"9403","4am",61236.13,12241.4657,8042.6419,19268.186,7914.871
"9404","4am",37211.44,5141.416,5104.7825,12301.244,6329.792
"9405","4am",36573.38,3993.1563,3500.2162,13112.18,3759.356
"9406","4am",43619.73,7707.2709,6378.0881,13875.282,5788.887
