"variable","CODE_SEC","RES_SEC","W_IND"
"h7","003","012",47.09582
"h7","003","013",104.01239
"h7","003","014",60.54472
"h7","003","015",38.31137
"h7","003","016",21.14288
"h7","003","020",26.98352
"h7","003","028",51.44195
"h7","003","035",249.1869
"h7","003","038",60.85685
"h7","003","039",37.50611
"h7","003","041",51.4667
"h7","003","042",20.61635
"h7","003","046",52.09525
"h7","003","053",180.4343
"h7","003","057",23.19742
"h7","006","002",19.63369
"h7","006","007",55.60485
"h7","006","010",47.38675
"h7","006","011",34.93357
"h7","006","012",63.31429
"h7","006","013",66.87162
"h7","006","014",88.2186
"h7","006","022",148.73291
"h7","006","025",53.90245
"h7","006","027",26.56533
"h7","006","037",117.5361
"h7","006","038",66.70137
"h7","006","039",30.8699
"h7","006","065",56.92761
"h7","009","005",47.58125
"h7","009","006",140.54768
"h7","009","007",53.19088
"h7","009","010",53.11253
"h7","009","011",57.31356
"h7","009","013",147.75238
"h7","009","014",86.60845
"h7","009","015",67.71709
"h7","009","017",121.89558
"h7","009","018",95.91082
"h7","009","020",85.45114
"h7","009","021",20.8422
"h7","009","022",46.76122
"h7","009","024",43.13703
"h7","009","025",104.5391
"h7","009","026",70.32438
"h7","009","028",47.64195
"h7","009","030",107.1409
"h7","009","032",47.70793
"h7","009","034",23.57009
"h7","009","035",33.24292
"h7","009","038",39.28466
"h7","009","042",28.35333
"h7","009","046",78.1308
"h7","009","048",40.40793
"h7","009","049",34.20997
"h7","009","052",40.90296
"h7","009","053",48.96102
"h7","009","054",71.13016
"h7","009","063",27.11861
"h7","009","067",115.4509
"h7","009","073",155.2316
"h7","009","080",63.69139
"h7","017","002",37.31206
"h7","017","005",38.88597
"h7","017","010",53.11253
"h7","017","018",156.1446
"h7","017","020",71.85699
"h7","017","021",20.8422
"h7","017","022",47.58125
"h7","017","025",47.58125
"h7","017","040",49.61467
"h7","017","047",56.69001
"h7","017","048",115.61692
"h7","017","049",61.14029
"h7","017","055",55.34931
"h7","017","057",47.71641
"h7","019","002",21.40786
"h7","019","014",77.80946
"h7","019","015",49.61783
"h7","019","020",128.17671
"h7","019","021",61.56517
"h7","019","023",47.58125
"h7","019","038",48.15804
"h7","019","047",40.19349
"h7","019","048",21.85929
"h7","019","063",17.85631
"h7","019","079",110.38024
"h7","025","001",97.74363
"h7","025","002",43.01491
"h7","025","003",198.20164
"h7","025","005",21.09193
"h7","025","006",121.49641
"h7","025","007",55.60485
"h7","025","010",24.2678
"h7","025","015",48.43709
"h7","025","017",189.50093
"h7","025","018",382.389
"h7","025","020",318.19321
"h7","025","021",75.21802
"h7","025","022",148.56717
"h7","025","024",32.09109
"h7","025","031",68.27689
"h7","025","046",114.0266
"h7","025","049",69.53275
"h7","025","051",32.9148
"h7","025","052",122.70888
"h7","025","053",76.05452
"h7","025","054",42.30286
"h7","025","065",135.7668
"h7","060","029",38.556
"h7","060","037",118.4976
"h7","060","053",38.00889
"h7","060","054",129.3337
"h7","060","058",66.15846
"h7","060","061",476.16528
"h8","001","006",121.49641
"h8","001","010",103.96943
"h8","001","012",59.91865
"h8","001","015",13.85169
"h8","001","017",33.12514
"h8","001","020",41.40053
"h8","001","021",38.4195
"h8","001","022",185.41587
"h8","001","026",130.87888
"h8","001","027",45.3437
"h8","001","028",99.0293
"h8","001","038",52.66445
"h8","001","039",42.1055
"h8","001","045",42.16247
"h8","001","051",39.15356
"h8","001","053",61.77588
"h8","001","054",46.73358
"h8","001","061",76.46108
"h8","001","074",87.78898
"h8","002","005",24.01974
"h8","002","012",61.21404
"h8","002","013",40.16138
"h8","002","016",48.1566
"h8","002","019",30.93318
"h8","002","020",37.93914
"h8","002","021",35.33337
"h8","002","028",42.74124
"h8","002","039",38.70125
"h8","002","040",196.4928
"h8","002","059",143.7556
"h8","002","076",118.2819
"h8","003","004",66.11448
"h8","003","009",53.35661
"h8","003","010",74.2079
"h8","003","011",194.0859
"h8","003","012",204.68599
"h8","003","013",155.62989
"h8","003","014",161.21162
"h8","003","015",38.31137
"h8","003","016",21.14288
"h8","003","017",59.45268
"h8","003","018",244.97817
"h8","003","020",26.98352
"h8","003","025",38.051
"h8","003","026",46.50221
"h8","003","028",168.83745
"h8","003","029",28.19048
"h8","003","030",20.42586
"h8","003","033",68.82892
"h8","003","034",23.19365
"h8","003","035",304.26585
"h8","003","036",72.4874
"h8","003","038",60.85685
"h8","003","039",37.50611
"h8","003","041",51.4667
"h8","003","042",89.25685
"h8","003","044",27.94293
"h8","003","046",52.09525
"h8","003","049",35.86662
"h8","003","053",180.4343
"h8","003","057",23.19742
"h8","003","060",42.55514
"h8","003","069",32.6048
"h8","005","008",14.61914
"h8","005","010",19.60917
"h8","005","016",51.64835
"h8","005","021",37.44435
"h8","005","023",31.74037
"h8","005","027",26.13708
"h8","005","029",54.10825
"h8","005","038",41.28761
"h8","005","040",49.61467
"h8","005","052",71.95139
"h8","005","066",43.36955
"h8","005","068",59.33065
"h8","006","002",19.63369
"h8","006","004",36.14856
"h8","006","007",55.60485
"h8","006","010",88.90265
"h8","006","011",34.93357
"h8","006","012",63.31429
"h8","006","013",66.87162
"h8","006","014",88.2186
"h8","006","017",33.49252
"h8","006","020",56.89591
"h8","006","022",249.71883
"h8","006","023",45.08539
"h8","006","025",90.80048
"h8","006","027",53.13066
"h8","006","037",117.5361
"h8","006","038",66.70137
"h8","006","039",74.6885
"h8","006","054",44.32205
"h8","006","059",98.87531
"h8","006","065",56.92761
"h8","009","005",47.58125
"h8","009","006",365.84988
"h8","009","007",53.19088
"h8","009","008",26.60034
"h8","009","010",53.11253
"h8","009","011",57.31356
"h8","009","013",200.22795
"h8","009","014",187.27535
"h8","009","015",67.71709
"h8","009","017",37.41583
"h8","009","018",162.50004
"h8","009","020",85.45114
"h8","009","021",20.8422
"h8","009","022",100.16589
"h8","009","024",43.13703
"h8","009","025",104.5391
"h8","009","026",140.64876
"h8","009","028",47.64195
"h8","009","030",155.63609
"h8","009","032",89.40333
"h8","009","034",23.57009
"h8","009","035",73.88714
"h8","009","036",81.43241
"h8","009","038",39.28466
"h8","009","039",122.2548
"h8","009","042",28.35333
"h8","009","046",78.1308
"h8","009","047",40.19349
"h8","009","048",76.3571
"h8","009","049",100.04594
"h8","009","052",40.90296
"h8","009","054",71.13016
"h8","009","055",64.67206
"h8","009","057",43.10973
"h8","009","060",48.6291
"h8","009","063",27.11861
"h8","009","067",115.4509
"h8","009","073",155.2316
"h8","009","080",63.69139
"h8","017","002",37.31206
"h8","017","003",172.37084
"h8","017","005",38.88597
"h8","017","007",55.08331
"h8","017","010",53.11253
"h8","017","018",340.9125
"h8","017","019",30.6159
"h8","017","020",71.85699
"h8","017","021",20.8422
"h8","017","022",95.1625
"h8","017","023",73.02517
"h8","017","024",32.09109
"h8","017","025",47.58125
"h8","017","030",30.17713
"h8","017","040",49.61467
"h8","017","047",56.69001
"h8","017","048",156.02485
"h8","017","049",86.14968
"h8","017","055",55.34931
"h8","017","057",47.71641
"h8","017","064",38.42076
"h8","019","001",33.12573
"h8","019","002",40.7899
"h8","019","005",24.01974
"h8","019","014",77.80946
"h8","019","015",98.05492
"h8","019","020",185.07262
"h8","019","021",102.45907
"h8","019","022",53.40467
"h8","019","024",73.06013
"h8","019","038",96.17645
"h8","019","047",40.19349
"h8","019","048",54.63607
"h8","019","059",121.009
"h8","019","063",17.85631
"h8","019","073",83.67399
"h8","019","079",110.38024
"h8","022","001",84.68753
"h8","022","002",62.70379
"h8","022","003",95.57754
"h8","022","005",46.81461
"h8","022","006",284.78772
"h8","022","007",53.19088
"h8","022","008",20.40738
"h8","022","009",48.61359
"h8","022","017",107.31203
"h8","022","021",110.55139
"h8","022","029",38.556
"h8","022","036",41.75859
"h8","022","037",62.90187
"h8","022","039",100.36504
"h8","022","048",36.72776
"h8","022","050",17.6347
"h8","022","071",46.53307
"h8","023","002",23.63287
"h8","023","004",33.12543
"h8","023","006",63.01476
"h8","023","019",85.61715
"h8","023","020",71.38983
"h8","023","021",35.33337
"h8","023","022",202.24424
"h8","023","026",46.97672
"h8","023","040",124.9051
"h8","023","043",24.59754
"h8","023","059",121.009
"h8","023","060",53.16403
"h8","023","073",97.83388
"h8","025","001",146.43524
"h8","025","002",81.77899
"h8","025","003",366.50683
"h8","025","005",45.11167
"h8","025","006",243.00656
"h8","025","007",214.67859
"h8","025","008",12.24752
"h8","025","009",97.22718
"h8","025","010",24.2678
"h8","025","015",48.43709
"h8","025","017",240.99663
"h8","025","018",382.389
"h8","025","020",318.19321
"h8","025","021",75.21802
"h8","025","022",487.8862
"h8","025","024",32.09109
"h8","025","026",46.50221
"h8","025","028",213.32198
"h8","025","030",16.5391
"h8","025","031",68.27689
