"hour","Duncan","Moran"
"min",0.102,0.119456553654775
"max",0.3517,0.732379148944619
"4am",0.3462,0.717109795049636
"5am",0.3459,0.716975799357416
"6am",0.3422,0.712619051221843
"7am",0.3357,0.701066094833277
"8am",0.3242,0.691821075714644
"9am",0.2892,0.71292014462346
"10am",0.2711,0.723013390540024
"11am",0.2676,0.72029910402346
"12am",0.2645,0.704422592632626
"1pm",0.2681,0.684370060480957
"2pm",0.2692,0.70417794441816
"3pm",0.2718,0.698547785463937
"4pm",0.2766,0.714577254433368
"5pm",0.2894,0.732379148944619
"6pm",0.3133,0.727610999343333
"7pm",0.3351,0.730827299251539
"8pm",0.3468,0.716781435963289
"9pm",0.3511,0.706940324535754
"10pm",0.3514,0.708040619331584
"11pm",0.3514,0.712361140643893
"12pm",0.3512,0.70949635781712
"1am",0.3507,0.712988737261863
"2am",0.3517,0.714678108894605
"3am",0.351,0.715854128963701
