"district","hour","mode1","mode2","mode3"
"001","4am",1054.47821,436.4772,3801.2407
"002","4am",573.29074,327.2948,2512.2296
"003","4am",1737.38489,1859.1613,7341.9738
"004","4am",586.99459,1875.1355,2078.7417
"005","4am",688.30081,1722.5168,2695.041
"006","4am",2243.65368,2914.8894,5117.1849
"007","4am",854.77263,2764.7463,2995.7235
"008","4am",459.41557,1697.6416,856.5157
"009","4am",1387.46733,2436.7631,3741.3185
"010","4am",945.63615,2435.9547,1750.3336
"011","4am",1198.35049,3654.5237,1105.4707
"012","4am",1935.81411,3356.0291,2382.3838
"013","4am",1017.48997,3561.841,1742.9543
"014","4am",1900.65773,5436.6668,2432.4003
"015","4am",649.53809,2283.4556,864.1429
"016","4am",649.87481,3566.4402,708.3568
"017","4am",1761.48056,3218.8104,1544.9984
"018","4am",2708.34135,3658.9686,3255.9339
"019","4am",1056.51057,2542.795,1661.9261
"020","4am",1785.65359,1889.5748,2576.5352
"021","4am",1036.66335,2765.8758,1078.0785
"022","4am",3843.68092,4978.2826,3965.3725
"023","4am",546.72948,3729.8327,1541.9253
"024","4am",889.76735,3311.9947,1060.6182
"025","4am",1724.09211,2769.907,1775.7161
"026","4am",1380.54243,4513.5345,1711.9778
"027","4am",331.64778,4145.1082,1110.8183
"028","4am",2311.43421,3610.2971,2339.04
"029","4am",957.85446,4200.265,1005.9686
"030","4am",466.79597,2943.1605,619.6118
"031","4am",281.48291,5115.4645,1871.9142
"032","4am",484.32104,4567.2703,1508.8467
"033","4am",600.64725,7496.7671,1526.0086
"034","4am",54.67152,1640.2597,311.1977
"035","4am",334.50193,4444.1476,1485.9168
"036","4am",627.43271,4309.1395,877.3611
"037","4am",260.48572,5470.4687,1351.2268
"038","4am",365.04009,4438.3827,363.5893
"039","4am",606.05259,3558.4052,402.3473
"040","4am",531.03408,7352.4813,1423.2683
"041","4am",192.96493,4156.2612,875.6746
"042","4am",276.40546,2684.5529,549.9805
"043","4am",460.48976,4568.2654,941.3008
"044","4am",138.58146,2939.8548,1115.7055
"045","4am",572.44199,3515.4794,1211.9327
"046","4am",389.50016,4162.9712,1138.8497
"047","4am",56.69001,4877.211,1145.6506
"048","4am",518.92048,4014.997,677.0289
"049","4am",377.03713,3729.5718,600.883
"050","4am",61.76176,2407.4271,330.0282
"051","4am",186.78915,2648.8568,296.4188
"052","4am",211.61907,4526.6895,689.9219
"053","4am",188.37928,5509.1906,1176.6916
"054","4am",226.17955,5102.3565,601.8535
"055","4am",198.75425,3490.0448,776.6624
"056","4am",273.90712,3984.1285,2257.5747
"057","4am",167.13456,2806.0313,386.4617
"058","4am",298.42974,5130.7007,868.5404
"059","4am",385.7736,7400.6211,3081.6358
"060","4am",190.20865,4259.8673,1169.9855
"061","4am",262.41516,7014.3752,1476.2834
"062","4am",535.41628,6860.3497,1289.1109
"063","4am",165.92847,2664.1253,329.2078
"064","4am",255.22267,4654.3094,1535.8695
"065","4am",487.00207,4121.4038,2266.562
"066","4am",43.36955,4391.1561,1335.4104
"067","4am",354.88824,7402.7341,1849.5499
"068","4am",114.52172,5137.8067,2048.715
"069","4am",117.79894,3152.8278,805.676
"070","4am",142.26017,6504.8777,2525.1475
"071","4am",507.60823,6404.0758,1637.6789
"072","4am",59.77686,4855.0965,1217.5273
"073","4am",990.31618,4261.2946,5566.5482
"074","4am",342.21589,5288.7815,2994.7709
"075","4am",1054.94345,7377.1705,1516.397
"076","4am",292.7977,3685.5431,1550.6917
"077","4am",75.6673,5428.416,2344.8678
"078","4am",0,6024.4523,2141.2013
"079","4am",0,5743.4043,2337.9229
"080","4am",234.0877,4270.2988,2290.5328
"001","5am",1054.47821,566.8246,3763.7803
"002","5am",611.99199,327.2948,2512.2296
"003","5am",1737.38489,1951.294,7432.6915
"004","5am",586.99459,1845.8112,2078.7417
"005","5am",688.30081,1722.5168,2695.041
"006","5am",2243.65368,2914.8894,5117.1849
"007","5am",854.77263,2788.3456,2995.7235
"008","5am",444.79643,1697.6416,856.5157
"009","5am",1629.30738,2515.9958,3784.6265
"010","5am",945.63615,2397.355,1661.3158
"011","5am",1198.35049,3679.6657,1159.5307
"012","5am",1935.81411,3296.1104,2308.4234
"013","5am",1017.48997,3777.0296,1742.9543
"014","5am",1900.65773,5293.3716,2432.4003
"015","5am",649.53809,2239.688,864.1429
"016","5am",601.71821,3513.559,708.3568
"017","5am",1761.48056,3332.8161,1484.846
"018","5am",2708.34135,3598.2998,3158.0554
"019","5am",1056.51057,2542.795,1661.9261
"020","5am",1733.51459,1775.6229,2576.5352
"021","5am",1036.66335,2734.6583,1078.0785
"022","5am",3843.68092,5150.938,3965.3725
"023","5am",546.72948,3963.6484,1541.9253
"024","5am",799.04964,3377.0096,1060.6182
"025","5am",1724.09211,2813.4127,1775.7161
"026","5am",1380.54243,4513.5345,1711.9778
"027","5am",331.64778,4138.3385,1065.4746
"028","5am",2311.43421,3589.5072,2333.1924
"029","5am",1015.80799,4365.7039,1005.9686
"030","5am",466.79597,2943.1605,619.6118
"031","5am",281.48291,5004.9582,1871.9142
"032","5am",484.32104,4611.8019,1508.8467
"033","5am",600.64725,7535.3668,1526.0086
"034","5am",54.67152,1671.1077,311.1977
"035","5am",334.50193,4642.6064,1485.9168
"036","5am",627.43271,4370.1243,877.3611
"037","5am",260.48572,5496.4934,1271.179
"038","5am",365.04009,4408.3866,363.5893
"039","5am",606.05259,3563.4715,363.646
"040","5am",531.03408,7413.9619,1423.2683
"041","5am",192.96493,4156.2612,875.6746
"042","5am",276.40546,2641.0193,549.9805
"043","5am",460.48976,4597.3033,941.3008
"044","5am",115.86782,2939.8548,1115.7055
"045","5am",572.44199,3467.9966,1175.8655
"046","5am",389.50016,4250.7602,1138.8497
"047","5am",56.69001,4582.0148,1145.6506
"048","5am",518.92048,4014.997,677.0289
"049","5am",377.03713,3832.9614,600.883
"050","5am",61.76176,2389.7924,330.0282
"051","5am",186.78915,2591.4028,296.4188
"052","5am",211.61907,4488.1614,689.9219
"053","5am",188.37928,5509.1906,1176.6916
"054","5am",226.17955,5022.8265,601.8535
"055","5am",198.75425,3454.618,714.4875
"056","5am",273.90712,3874.3627,2257.5747
"057","5am",167.13456,2854.7195,386.4617
"058","5am",298.42974,4957.4628,868.5404
"059","5am",385.7736,7339.3695,3141.0257
"060","5am",190.20865,4377.1769,1194.9118
"061","5am",262.41516,6864.9026,1476.2834
"062","5am",535.41628,6834.9634,1289.1109
"063","5am",165.92847,2564.6145,329.2078
"064","5am",255.22267,4654.3094,1535.8695
"065","5am",487.00207,4068.0668,2266.562
"066","5am",43.36955,4391.1561,1335.4104
"067","5am",354.88824,7155.8879,1849.5499
"068","5am",114.52172,4929.9487,2048.715
"069","5am",117.79894,3003.2144,805.676
"070","5am",142.26017,6790.4952,2525.1475
"071","5am",507.60823,6222.652,1637.6789
"072","5am",59.77686,4705.6029,1217.5273
"073","5am",729.48778,4261.2946,5767.731
"074","5am",342.21589,5259.6477,2764.0721
"075","5am",1054.94345,7441.2827,1516.397
