"district","hour","age1","age2","age3","age4"
"029","10am",0,924.4299,2200.112,0
"030","10am",963.9049,0,999.7666,0
"031","10am",0,0,0,0
"032","10am",0,1347.0503,4580.8739,792.0855
"033","10am",1448.0603,852.3911,2771.3064,0
"034","10am",0,0,1228.7874,0
"035","10am",0,673.1603,2909.9781,0
"036","10am",0,0,941.81,0
"037","10am",0,698.0973,1183.8579,0
"038","10am",0,0,599.1406,0
"039","10am",0,0,724.2634,0
"040","10am",956.7891,747.5369,2564.8336,610.144
"041","10am",0,0,1753.7765,0
"042","10am",0,0,0,0
"043","10am",0,1031.1823,1983.5891,451.372
"044","10am",0,0,661.0958,0
"045","10am",0,0,0,0
"046","10am",0,0,0,0
"047","10am",0,0,1940.0572,0
"048","10am",0,0,0,0
"049","10am",0,0,0,0
"050","10am",0,0,0,0
"051","10am",0,0,0,0
"052","10am",0,0,477.3759,0
"053","10am",0,0,0,0
"054","10am",0,0,829.9769,0
"055","10am",0,0,0,0
"056","10am",0,0,0,0
"057","10am",0,0,0,0
"058","10am",0,0,0,0
"059","10am",0,0,1865.2776,0
"060","10am",1281.8901,0,1871.2633,0
"061","10am",0,0,0,0
"062","10am",0,0,0,0
"063","10am",0,0,0,0
"064","10am",0,0,0,0
"065","10am",0,0,778.7727,0
"066","10am",0,0,0,0
"067","10am",0,0,899.3487,0
"068","10am",0,0,0,0
"069","10am",0,0,0,0
"070","10am",0,0,1621.9621,0
"071","10am",0,0,772.4151,0
"072","10am",0,0,1255.3759,0
"073","10am",0,0,2351.5925,718.7212
"074","10am",0,0,2018.7984,0
"075","10am",1220.8755,0,3073.9782,0
"076","10am",0,0,0,0
"077","10am",0,0,0,0
"078","10am",0,0,2232.0278,0
"079","10am",0,0,0,0
"080","10am",0,0,0,0
"001","11am",3034.3351,1011.9322,2932.476,0
"002","11am",1205.0433,1443.4554,2571.9063,0
"003","11am",1213.5254,1314.272,3544.6505,0
"004","11am",0,0,863.8306,0
"005","11am",1516.2955,0,965.8824,0
"006","11am",1737.1628,1378.6971,2215.5732,0
"007","11am",0,0,1195.9078,0
"008","11am",0,0,0,0
"009","11am",3929.2077,1272.1993,5327.7747,531.6604
"010","11am",0,0,1360.7871,0
"011","11am",0,933.1225,2079.1468,0
"012","11am",0,0,0,0
"013","11am",0,986.4444,2462.547,0
"014","11am",0,747.429,1178.4228,0
"015","11am",0,0,0,0
"016","11am",0,0,816.1054,0
"017","11am",1933.8464,816.5017,2642.7016,0
"018","11am",0,0,2107.3744,0
"019","11am",1954.442,1267.9589,3504.0559,0
"020","11am",0,0,908.1845,0
"021","11am",0,0,0,0
"022","11am",2440.2138,1234.3542,5568.6184,509.0421
"023","11am",1669.6425,1774.2326,3845.4505,0
"024","11am",0,0,878.3425,0
"025","11am",9579.5578,2522.6002,3360.5851,0
"026","11am",0,0,1440.2855,0
"027","11am",1138.7005,2256.6693,6271.6312,0
"028","11am",1709.6139,2107.4448,4471.6034,0
"029","11am",0,792.2377,2295.9535,0
"030","11am",963.9049,0,651.1295,0
"031","11am",0,0,773.3982,0
"032","11am",0,1271.1145,3719.0529,0
"033","11am",1458.068,0,2543.7995,465.9081
"034","11am",0,0,1035.0622,0
"035","11am",0,808.9713,3228.7024,0
"036","11am",0,0,966.0004,0
"037","11am",0,698.0973,1088.6392,0
"038","11am",0,0,0,0
"039","11am",0,0,764.5433,0
"040","11am",861.6886,721.119,2519.8936,499.4934
"041","11am",0,0,2053.4935,0
"042","11am",0,0,0,0
"043","11am",0,925.05,1803.1358,0
"044","11am",0,0,789.7432,0
"045","11am",0,0,0,0
"046","11am",0,0,0,0
"047","11am",0,0,2060.3288,0
"048","11am",0,0,0,0
"049","11am",0,0,0,0
"050","11am",0,0,0,0
"051","11am",0,0,0,0
"052","11am",0,0,0,0
"053","11am",0,0,0,0
"054","11am",0,0,950.1205,0
"055","11am",0,0,0,0
"056","11am",0,0,0,0
"057","11am",0,0,626.7445,0
"058","11am",0,0,0,0
"059","11am",0,0,1558.1787,0
"060","11am",1317.8875,0,1412.4822,0
"061","11am",0,0,0,0
"062","11am",0,0,0,0
"063","11am",0,0,0,0
"064","11am",0,0,0,0
"065","11am",0,0,0,0
"066","11am",0,0,0,0
"067","11am",0,0,899.3487,0
"068","11am",0,0,0,0
"069","11am",0,0,0,0
"070","11am",0,0,1528.7145,0
"071","11am",0,0,940.591,0
"072","11am",0,0,1149.7943,0
"073","11am",0,0,1779.8092,0
"074","11am",0,0,2044.7342,0
"075","11am",1220.8755,0,2929.067,0
"076","11am",0,0,0,0
"077","11am",0,0,0,0
"078","11am",0,0,1986.539,0
"079","11am",0,0,0,0
"080","11am",0,0,0,0
