"district","hour","occ1","occ2","occ3","occ4","occ5"
"007","5am",3481.006,1731.27343,608.1767,1372.0771,448.14837
"008","5am",1358.83,311.83952,254.5353,1038.4567,236.44323
"009","5am",4099.028,1654.78866,890.5066,2095.4794,262.98253
"010","5am",3058.66,732.18158,570.2257,1357.596,133.44286
"011","5am",3870.153,584.56612,943.4406,1580.5858,522.83013
"012","5am",3474.274,766.20899,927.0419,2930.4552,465.53475
"013","5am",3904.449,629.38924,732.7219,1300.6214,462.07574
"014","5am",5402.713,1250.86595,946.4617,2459.5874,568.19002
"015","5am",2341.946,462.10652,449.3473,1310.5232,208.13689
"016","5am",2720.892,620.70397,169.5358,1537.9053,116.56799
"017","5am",3033.63,1284.86322,511.7027,1812.1486,615.83493
"018","5am",3733.857,2023.8894,2003.4597,1923.3596,1054.6672
"019","5am",2628.806,617.53841,835.9359,1030.6,754.0838
"020","5am",1700.83,978.18111,1409.175,1135.7454,1325.66898
"021","5am",2193.348,1418.12693,689.6932,903.2241,246.20209
"022","5am",3333.929,9734.3033,638.1721,1147.9719,193.08542
"023","5am",3690.769,1442.4833,566.1484,525.1897,334.90062
"024","5am",2057.207,600.33635,1433.5095,1216.8039,915.6191
"025","5am",2125.329,4401.70213,346.6177,512.6233,120.48687
"026","5am",3880.035,2243.37909,322.887,1311.7314,236.03751
"027","5am",3692.166,463.65677,418.6548,1233.0031,248.99163
"028","5am",4804.691,2443.06682,722.0626,1133.1176,53.56276
"029","5am",3754.502,768.39434,566.1291,1825.2813,287.19394
"030","5am",1832.549,696.62276,300.9818,1454.4669,287.66643
"031","5am",4390.334,448.33244,400.4112,2237.801,546.36876
"032","5am",3412.272,587.21753,733.7515,1835.6838,579.57375
"033","5am",5819.288,930.36918,760.3077,2856.1759,279.36979
"034","5am",1177.932,78.46962,229.9273,707.9915,188.83958
"035","5am",3797.719,658.45543,510.0343,1994.1218,40.64422
"036","5am",3374.86,815.74153,176.0372,1775.8569,341.88115
"037","5am",4711.561,757.32883,532.9686,2097.6521,610.47205
"038","5am",3091.951,353.44202,239.2111,1916.7081,236.99935
"039","5am",2686.02,726.49306,458.8212,1060.5252,243.66144
"040","5am",4757.285,1581.18199,978.7912,3164.8241,472.9933
"041","5am",3061.143,676.98927,258.4361,1575.4307,290.16457
"042","5am",1948.372,422.69002,286.8148,864.527,203.31725
"043","5am",3447.032,482.15512,358.146,2095.4282,380.81613
"044","5am",2121.053,311.16616,324.8392,1808.226,160.91679
"045","5am",3399.051,501.42458,585.6474,1532.9292,135.84465
"046","5am",3077.146,811.27079,496.6503,1585.4072,97.57956
"047","5am",3746.277,464.96203,470.2202,1632.1867,267.1309
"048","5am",2858.806,871.77279,619.0142,1327.1725,157.48689
"049","5am",2663.024,471.58839,620.219,1263.3911,363.58402
"050","5am",1951.759,99.34684,293.7522,580.0701,148.93746
"051","5am",1709.63,429.53558,0,1036.1452,159.24617
"052","5am",3473.009,574.02699,114.5999,1447.1107,239.811
"053","5am",3627.133,656.2619,653.8053,1946.1662,621.08429
"054","5am",3889.718,992.35257,252.9429,1574.9327,358.44995
"055","5am",2760.783,425.23773,302.2172,1130.0593,287.37755
"056","5am",2363.35,351.58512,564.1986,3500.5397,329.47404
"057","5am",2075.959,480.37313,130.5874,990.9837,247.25133
"058","5am",3657.24,638.47597,474.0847,1978.9131,344.16241
"059","5am",5087.966,680.22999,1114.6627,3632.2152,1055.06443
"060","5am",3652.258,494.3743,873.1531,1329.8682,387.65623
"061","5am",5145.6,776.30638,580.2187,2318.7741,1046.02444
"062","5am",5562.389,676.70959,827.8699,2088.2876,498.87948
"063","5am",2249.836,262.71391,141.8755,896.1021,92.1504
"064","5am",4171.956,514.37062,230.7342,2268.137,425.58843
"065","5am",4131.282,705.09481,395.1356,2214.7911,324.2671
"066","5am",3407.644,546.84576,736.8325,1784.9408,622.32046
"067","5am",6015.052,517.40807,840.3474,2376.0469,823.52292
"068","5am",3635.901,451.5673,994.1934,2162.9946,471.08505
"069","5am",2578.224,262.86931,244.8922,1122.078,157.35403
"070","5am",5913.129,577.88634,810.9594,3094.3407,485.87261
"071","5am",4797.495,507.88368,915.8922,2623.498,1225.31061
"072","5am",3333.581,397.55154,748.1228,2053.448,536.36075
"073","5am",4605.94,657.67764,1659.8654,4171.3002,1260.13309
"074","5am",3162.487,290.24269,1547.4118,3524.6764,1253.93763
"075","5am",4299.46,907.1663,1714.2138,3946.9444,1130.84482
"076","5am",1905.777,298.28755,942.923,2506.9141,353.53354
"077","5am",4346.454,157.43611,920.745,3065.1424,465.50958
"078","5am",4331.329,620.63779,896.1841,2611.5155,637.94036
