"district","hour","occ1","occ2","occ3","occ4","occ5"
"020","5am",25.96846,14.934973,21.515435,17.340682,20.2404551
"021","5am",40.24053,26.017842,12.653543,16.571113,4.5169772
"022","5am",22.15609,64.690669,4.241062,7.629007,1.2831761
"023","5am",56.26609,21.99078,8.63098,8.006561,5.1055883
"024","5am",33.0556,9.646319,23.033903,19.551837,14.7123417
"025","5am",28.31221,58.636517,4.617409,6.828824,1.6050451
"026","5am",48.53641,28.06304,4.039082,16.408806,2.9526575
"027","5am",60.96232,7.655558,6.912519,20.358436,4.1111657
"028","5am",52.473,26.681228,7.885792,12.375007,0.5849698
"029","5am",52.13499,10.66992,7.861266,25.345847,3.9879736
"030","5am",40.07948,15.235764,6.582742,31.810495,6.2915225
"031","5am",54.72016,5.587917,4.990637,27.891462,6.8098206
"032","5am",47.73411,8.214557,10.264413,25.679291,8.1076286
"033","5am",54.66425,8.739545,7.14205,26.829862,2.6242967
"034","5am",49.42732,3.292671,9.648002,29.708097,7.923915
"035","5am",54.24557,9.405197,7.28519,28.483489,0.5805509
"036","5am",52.04602,12.580108,2.71479,27.386703,5.2723829
"037","5am",54.0938,8.694952,6.119055,24.08331,7.0088781
"038","5am",52.95968,6.05384,4.097266,32.829837,4.0593818
"039","5am",51.89855,14.0371,8.865218,20.491177,4.7079595
"040","5am",43.4254,14.433328,8.934591,28.889112,4.3175722
"041","5am",52.21865,11.548455,4.408545,26.874561,4.9497866
"042","5am",52.29516,11.345188,7.698237,23.20429,5.4571255
"043","5am",50.96463,7.128699,5.295215,30.981062,5.6303949
"044","5am",44.8786,6.583854,6.873157,38.259607,3.4047808
"045","5am",55.22515,8.146758,9.515146,24.905845,2.2070986
"046","5am",50.71059,13.369538,8.184672,26.12711,1.6080865
"047","5am",56.92758,7.065458,7.14536,24.802341,4.0592609
"048","5am",49.00038,14.942322,10.61,22.747944,2.69935
"049","5am",49.48197,8.762641,11.524365,23.475223,6.7557989
"050","5am",63.49527,3.231983,9.55644,18.871027,4.8452815
"051","5am",51.27008,12.881338,0,31.072948,4.7756317
"052","5am",59.38232,9.814847,1.959456,24.743035,4.1003443
"053","5am",48.33309,8.744969,8.712234,25.933493,8.2762126
"054","5am",55.02971,14.039288,3.578505,22.281329,5.0711635
"055","5am",56.27733,8.668283,6.160563,23.03576,5.8580642
"056","5am",33.24379,4.945531,7.936234,49.239936,4.6345084
"057","5am",52.88859,12.238324,3.326938,25.246999,6.299149
"058","5am",51.56216,9.001651,6.683955,27.90001,4.8522265
"059","5am",43.97498,5.879186,9.633962,31.393014,9.1188572
"060","5am",54.20944,7.337859,12.959965,19.738859,5.7538723
"061","5am",52.14999,7.867765,5.880442,23.500476,10.6013226
"062","5am",57.61664,7.009531,8.575288,21.631017,5.1675211
"063","5am",61.76324,7.21211,3.894813,24.600095,2.5297436
"064","5am",54.81636,6.758442,3.031674,29.801612,5.5919114
"065","5am",53.16575,9.073913,5.085027,28.502296,4.1730152
"066","5am",48.00456,7.70359,10.379994,25.14503,8.7668265
"067","5am",56.89403,4.893961,7.948519,22.474103,7.7893827
"068","5am",47.12316,5.852546,12.885261,28.033529,6.1055059
"069","5am",59.06019,6.02163,5.609822,25.703795,3.6045585
"070","5am",54.33768,5.310388,7.452172,28.434914,4.4648432
"071","5am",47.64108,5.043492,9.095184,26.052406,12.1678346
"072","5am",47.15732,5.623821,10.583053,29.048371,7.5874364
"073","5am",37.28022,5.323206,13.434858,33.762271,10.1994468
"074","5am",32.34038,2.968094,15.824221,36.044224,12.8230801
"075","5am",35.83293,7.560583,14.286747,32.894961,9.4247834
"076","5am",31.72364,4.965306,15.695932,41.730189,5.884933
