"hour","mode1","mode2","mode3"
"4am",0.3854,0.3206,0.2496
"5am",0.3882,0.3203,0.2489
"6am",0.4168,0.3187,0.2469
"7am",0.4469,0.3093,0.2308
"8am",0.422,0.2937,0.2207
"9am",0.4189,0.2959,0.233
"10am",0.423,0.3018,0.2397
"11am",0.4184,0.303,0.2437
"12am",0.4276,0.3279,0.24
"1pm",0.4132,0.3255,0.246
"2pm",0.4244,0.322,0.2455
"3pm",0.4101,0.3187,0.2485
"4pm",0.4206,0.3131,0.236
"5pm",0.3984,0.3138,0.2287
"6pm",0.3852,0.3177,0.2336
"7pm",0.384,0.3157,0.234
"8pm",0.3855,0.3129,0.2359
"9pm",0.3826,0.3153,0.2393
"10pm",0.3801,0.3196,0.2466
"11pm",0.3827,0.3177,0.2488
"12pm",0.3802,0.3184,0.2498
"1am",0.3807,0.3193,0.2487
"2am",0.381,0.32,0.2478
"3am",0.3807,0.3203,0.2487
