"hour","cs1","cs2","cs3","cs4","cs5"
"4am",0.353588624576511,0.328221095561866,0.297525923570355,0.1695127264847,0.505560385124871
"5am",0.353924266519647,0.343528780879515,0.307733243519298,0.196824169570748,0.496989151713304
"6am",0.358524954898057,0.327230095844393,0.286040147174042,0.179259965845854,0.496185298041356
"7am",0.337168573668174,0.279425831468303,0.278574833696597,0.192467713976353,0.451616246735756
"8am",0.243621991269166,0.354842305959513,0.231599462031459,0.0789675482034716,0.378545074496987
"9am",0.256419825278169,0.370347931448459,0.287391989795396,0.103040282975498,0.450936749289606
"10am",0.281184522089853,0.386055589861665,0.252703062895963,0.130184884305024,0.433138904789286
"11am",0.255458962523072,0.320940798288701,0.258215028205805,0.107688655409865,0.409754091799902
"12am",0.331548403397469,0.322536419486903,0.290003382765281,0.0735597909118183,0.427903202834256
"1pm",0.277647213961332,0.371628204801104,0.236003104461808,0.0304520030339953,0.434025208429709
"2pm",0.249522885997129,0.337361914366136,0.213939106604701,0.0825096380355848,0.450916894092976
"3pm",0.287349151720406,0.341467854906271,0.231391803021892,0.0998062373854774,0.431730595237647
"4pm",0.302194519875392,0.334022071729252,0.234037777954897,0.0629544371384086,0.44217731947973
"5pm",0.301964280749126,0.333417651094107,0.165392351472473,0.111188250795088,0.422846645122031
"6pm",0.305512069417388,0.361747652635335,0.229477955209188,0.164264401737136,0.438113954891333
"7pm",0.310660646147872,0.329687031993826,0.209028467537698,0.145322436459464,0.45945747079023
"8pm",0.325323457095025,0.339397479679961,0.260394116373457,0.171478824597917,0.47720854349598
"9pm",0.34438883500605,0.348003630097993,0.249331169782932,0.16166641191777,0.47663837244249
"10pm",0.340041157217939,0.330611976722049,0.25187902090779,0.178056593893691,0.475881834499659
"11pm",0.353001854324474,0.337629765483188,0.255808447111604,0.179994583349075,0.488332932433819
"12pm",0.348341622892608,0.340112510130232,0.273057566799005,0.17332152917977,0.491291170247798
"1am",0.357919982252493,0.34973765397387,0.272926910243863,0.178794067307905,0.505102341550468
"2am",0.357773486018278,0.348375678729922,0.266657097595684,0.170201678693577,0.503890020560607
"3am",0.356971074673298,0.347415264726919,0.266833552740151,0.167300922086778,0.504335402681357
