"hour","7501","7502","7503","7504","7505","7506","7507","7508","7509","7510","7511","7512","7513","7514","7701","7702","7703","7704","7705","7707","7708","7709","7710","7711","7712","7713","7714","7715","7716","7801","7802","7803","7804","7805","7806","7807","7808","7809","7811","7812","7813","7814","7815","7816","9101","9102","9103","9104","9105","9106","9107","9108","9109","9110","9111","9112","9113","9114","9201","9202","9203","9204","9205","9206","9207","9208","9209","9210","9211","9212","9302","9303","9304","9305","9306","9307","9308","9309","9310","9311","9312","9402","9403","9404","9405","9406","9407","9408","9409","9410","9411","9412","9413","9414","9501","9502","9503","9504","9505","9506","9507","9508","9509","9510","9511","9512","9513"
"min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"max",225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009,225070.429994009
"4am",0,0,0,6963.68667125913,0,0,0,4329.27046570509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11860.4408218464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15904.3459118664,0,4079.73967894251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5am",0,0,0,7335.44352514326,0,0,0,4329.27046570509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11860.4408218464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15904.3459118664,0,4213.99923020415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4082.46037784343,0,0,0,0,0,0,6938.08225107871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6am",0,4062.42361242603,4559.09831748167,7528.78535235441,0,4715.92215758686,8206.49143803727,4506.17061165377,0,0,0,0,0,0,3276.20784927874,0,6738.23255171452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12616.2919589674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3018.45465714927,0,15398.2524943039,0,5560.59362005457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5523.95650811117,0,0,4357.25209107213,0,0,0,8550.92235420922,0,0,0,0,0,0,0,0,0,0,0,0,0,4051.61472441087,0,0,0,0,0,0,0,0
"7am",6522.35796696533,12377.9554760995,14043.4959028218,13767.7618928593,0,14750.1413998226,13859.2549021781,8407.48084244087,7139.59407864324,6632.08022773609,5584.79521621481,5059.91798072178,4825.63532239522,0,8456.40582675501,3891.29971321402,6854.69475223031,0,0,0,0,0,0,4496.80045794292,0,0,0,0,3432.39339253099,0,0,12627.2067557042,0,0,4377.42763445153,0,0,0,0,4884.04694039374,0,0,0,4776.45905988462,4313.00139418965,0,0,0,0,0,0,0,0,0,6253.01069119514,0,15285.8537843445,0,10451.6155844249,4210.15302873195,8175.7322411409,9654.29042157786,5100.62258773708,3651.25032768829,0,0,0,0,0,3656.48769711915,0,3558.10512444646,0,0,0,0,0,8761.03879093769,3389.99593899642,5642.22520357214,9026.26432410475,5266.12305690337,5859.67651115854,5310.85410900872,10200.2725577345,4787.43713206164,4461.70538504864,0,4176.46570710481,0,0,0,0,0,0,0,0,0,5770.08004758667,0,0,0,0,0,0,0,0
"8am",25060.2301201541,32201.210355073,37851.4540749548,24942.3874988578,9883.97057112471,27581.5680881739,24646.2106440647,13500.4752700298,25535.1010978138,17413.2891544969,19090.5010429501,12802.5104148568,16589.9992738156,9628.01181298884,16430.7018691434,11575.2696348187,12944.7283188949,3757.40988461835,3352.33098409899,0,2554.22776223311,6721.0165209605,4994.14349420733,10519.8018805651,4249.33827195612,0,2977.41206911367,0,7729.46826791951,0,3877.73236157407,16383.4563853672,0,5746.56924122115,7884.20129693287,4041.16083425972,0,4167.1231749351,5491.23532095888,28079.3549030088,3184.0350633747,0,0,16076.3632719983,8996.61937127352,4301.89619907497,0,2788.8715274252,7346.9883731675,8582.34665751546,2810.08923913784,2759.65572765665,7621.98532522734,3322.85940430484,11272.9263539634,4183.50366512506,21270.646051998,0,16733.0882884876,8386.11211325474,23393.6052445405,24075.8074881244,21598.7783969999,13916.3060140039,5873.41628465162,6951.44376086028,13838.5476899898,12814.4865246664,11749.4263845677,8459.25508252121,4813.22509259567,16530.8014661273,10952.3300335639,5038.09803811757,6416.45519168769,7299.54705359594,7228.25600580183,15448.3180585767,8711.90190229861,11359.6506178659,28986.1029341785,15600.9080000545,13802.7014826988,12003.1688361817,16396.8144003724,11198.3988134816,8759.35503530995,9403.6204249334,15861.8943570226,5161.14839106526,7063.12389817933,0,6656.36207892439,0,6566.32106289203,8507.2926286089,4096.02872332652,0,9260.17871542408,4462.61280586964,3329.44019471797,8497.11179691128,0,4193.43816052866,3749.73989183058,0,0
"9am",87381.3130510511,90396.1807523262,127398.347640307,45662.2928983541,30800.4320709739,56022.1872691367,60028.3283824582,31548.5041776626,65931.0376350802,45712.2842891009,47706.0034935075,25130.0896198026,32557.2036360771,24637.8764158808,37066.6562614274,36767.1894163298,21693.3955293841,9927.49646574749,5501.63882847711,2938.46805369046,5081.99002248775,11656.7877439677,7154.55998225164,18657.8434526943,6934.43125147845,2641.97552418412,7385.44929765655,0,21923.6191945022,6025.86685637657,8200.1721480996,22033.9269213646,6231.65654966861,12210.887906838,12992.0889239486,6219.39915764363,5650.55735634591,8109.10882493334,9486.67431518825,51759.8673988001,6020.1711958827,2975.11021950654,5325.6889218018,39321.2495749118,26147.7168491411,6887.34568309626,5679.49935543854,4400.76528187074,15497.7101130054,15396.4698766751,6896.60180652989,7312.65098874378,13867.2695858819,7084.52406385375,27285.0543079685,10506.9742411759,37857.2460151173,7859.61963023134,29196.623316108,17673.218430133,52117.1711166256,58159.5486524402,73681.055770209,33039.4656185584,18832.4288537877,20666.2455636633,37667.9986340016,27619.4183748275,20423.5373998377,18519.4593350138,6266.11439931371,31786.584667848,30604.4413227802,10800.5247129779,15508.3692610161,10747.519188046,10844.194360696,30161.1515681314,14630.2405151781,21116.9375778241,58795.5929657591,27228.4243271402,35399.9156391323,18416.0309952277,29283.2013995674,27833.1115990761,18591.3129449804,16755.8241677748,31251.4520421104,9743.70774528345,12046.7164227204,5007.00014880599,10090.8919358044,5693.41811427755,17951.0472009512,20595.1636411487,8052.4026249406,4317.57354091672,16088.2146285096,10370.7764614165,8481.52301366025,14716.7957986484,5384.02818592542,8593.84032951069,10056.0775030597,5626.67007276479,3922.47506291673
"10am",145303.650887879,141263.579480218,206688.165139624,73542.3675048608,46162.1714257779,80305.0282873737,85794.4675845541,50818.4542802287,98055.5127409008,73594.9952342622,75383.9673060789,41417.810932484,50390.9165561296,35118.2636604243,46673.2990633291,47318.0023130918,27105.6116530312,11271.9011735089,5265.55837818925,4103.94340051062,8648.95127235714,12826.1105980076,8556.89190931139,21199.9303453874,9549.44491255134,2611.58444902285,8708.14087299279,0,24817.9030706805,7220.76673349761,10492.2325510232,26105.0277181105,5237.81143224452,17570.1405077206,15482.7846147858,9002.88286003766,5857.88002168416,9891.18663004203,12473.8975572389,71668.2253010749,6417.85189174945,4456.36267052797,6483.07052764521,54446.4459611005,38997.6747576767,8325.83095920936,6241.15988367219,6809.48045122328,20069.9877200988,17908.3572723721,9003.57133474393,10438.1030925595,17695.4633125147,8653.82489013191,31854.0573473823,13238.2091004377,49523.3260351756,10548.7513466459,38765.1292300202,24307.0232805023,80262.9860654311,82410.0602335964,127670.432463114,46602.7504610855,30911.6193861151,31665.7712632079,57072.8550762278,41176.9808665049,25045.5335794282,23083.9526169888,7639.18991193045,41099.5752742015,46732.3059067804,13841.8551371979,19720.3764393622,13131.2414968301,13004.0793103572,36822.3278616551,15616.24246401,31528.3148282672,94949.4971145897,34560.8805427617,47070.2974747355,20590.7769457782,32697.2284276357,37994.4948740858,28895.2327454536,22257.5876549835,39695.8878564202,12220.0859765599,12774.8860197968,7558.31335042695,10189.0526376989,7824.03781186699,22492.6393282418,26519.7355448949,9778.86921419121,7013.82420927779,18519.4476086684,13490.614600796,14088.2126158441,20150.1764174152,7214.19558731457,13265.7815649866,15199.4127433555,7587.09329803647,6236.80230863394
