"district","hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"003","5am",523.62905,1308.6332,2887.8087,3360.9014,2510.81366
"004","5am",1056.51596,310.2358,1306.602,1541.3697,697.75319
"005","5am",199.75416,513.0249,910.3404,1833.9281,1216.98955
"006","5am",548.03928,775.3588,1936.913,2702.153,2031.62846
"007","5am",528.81817,466.0298,1506.6405,2338.599,1399.33994
"008","5am",386.80413,350.1763,1098.5558,907.1225,343.25424
"009","5am",247.46151,1416.1057,2026.0132,2849.7667,1487.82799
"010","5am",332.99858,1263.6767,1849.8841,1370.5313,716.82474
"011","5am",990.03041,2211.0194,2333.8516,1652.0104,386.8708
"012","5am",1005.4549,1599.251,2803.784,2441.9821,752.93616
"013","5am",667.06458,1388.2637,2445.799,1938.2005,696.47582
"014","5am",978.86168,1970.3294,4310.5041,2518.0136,770.56294
"015","5am",509.63101,413.4434,1550.3401,1466.6581,776.53701
"016","5am",154.67796,825.6703,1551.0529,1230.1073,1254.85533
"017","5am",863.05524,799.5378,1679.914,1877.1629,1177.11406
"018","5am",1769.09703,3239.7478,2358.261,1608.5301,811.02954
"019","5am",1542.54143,1867.6838,1473.7398,624.9316,282.31529
"020","5am",3066.01347,1992.5155,1669.348,100.8415,0
"021","5am",404.49797,774.056,1208.7366,1418.5941,590.25952
"022","5am",935.08178,443.6169,2206.5267,1782.9258,541.0596
"023","5am",509.68512,657.0362,2114.4624,1751.9768,539.62612
"024","5am",1465.50588,1419.0545,2314.1047,722.775,465.40631
"025","5am",264.98879,376.7759,1100.2252,757.8431,971.00308
"026","5am",168.47128,707.1159,1852.3414,2603.0235,1540.8523
"027","5am",560.64521,1259.3723,1462.4263,1825.1676,947.96126
"028","5am",86.83722,459.3691,3203.8152,2349.0768,1071.86157
"029","5am",515.61498,1607.7533,2211.5552,2039.8661,803.57253
"030","5am",437.08141,623.6033,1298.8168,1334.6176,878.26978
"031","5am",518.51537,1509.1959,3152.7792,1774.1965,1119.57399
"032","5am",811.32984,1003.1678,2499.041,1989.5243,836.59193
"033","5am",874.09554,2093.7696,3669.4783,2172.3349,1913.54935
"034","5am",228.73019,364.4777,1209.0141,359.2643,331.87194
"035","5am",713.75128,1056.2824,2591.9163,1371.234,1340.57821
"036","5am",815.71503,1228.5411,2377.7072,1406.435,728.9631
"037","5am",440.92754,1996.1727,3067.4382,2275.9623,1126.94842
"038","5am",545.50747,347.9968,2766.0799,1642.5903,568.64121
"039","5am",341.30584,493.7496,1893.1984,1308.1337,1010.20625
"040","5am",1171.72791,1590.8612,2667.6721,3394.3791,1744.74582
"041","5am",765.75149,1036.9921,1472.4589,1493.6459,1129.44766
"042","5am",305.89387,352.8835,1807.6044,682.0591,577.27971
"043","5am",229.66095,803.1229,2660.788,2291.2413,737.27725
"044","5am",303.84087,1058.9154,1607.9184,1440.2302,429.7433
"045","5am",471.37244,1097.1535,2619.0958,1523.3442,491.99139
"046","5am",291.60736,1044.1991,2514.2951,1422.6396,933.87816
"047","5am",235.30456,983.3282,2278.9396,2550.676,626.37036
"048","5am",873.9231,1261.1311,1933.5897,1654.6824,301.25497
"049","5am",314.37719,638.8979,2165.9145,1968.3345,294.28229
"050","5am",178.26722,669.7762,1271.1571,732.9466,221.71893
"051","5am",233.95037,487.0706,1177.1676,713.7328,755.6789
"052","5am",435.785,736.0408,1390.956,2404.3611,919.70561
"053","5am",1026.75191,1659.8868,2523.5134,1778.0585,655.25015
"054","5am",613.86131,1688.8705,2519.802,1596.2106,649.65215
"055","5am",270.50961,687.9946,2481.604,800.1854,767.76863
"056","5am",320.45236,770.7478,3028.482,2293.4661,786.44171
"057","5am",433.78711,261.7303,1111.799,1432.5375,685.30059
"058","5am",1126.00155,1939.1713,1611.5657,1866.7522,642.52076
"059","5am",1223.53612,3238.2611,4196.1628,2518.0281,655.99537
"060","5am",742.71292,1913.9358,2750.6357,1125.8477,375.73058
"061","5am",589.44834,2410.5105,4428.0518,1713.1973,981.23579
"062","5am",697.47445,1213.9009,2904.2813,3559.2708,1279.20788
"063","5am",85.38505,860.7055,1297.8646,947.5173,488.10374
"064","5am",608.23713,1436.8057,2705.979,2534.9433,332.80575
"065","5am",422.94136,2311.046,2481.4605,2300.5794,290.30085
"066","5am",648.44825,1622.0451,2359.5705,2180.3199,620.85219
"067","5am",501.33691,4000.7943,2037.5998,3574.856,529.63932
"068","5am",1052.63066,1499.0209,3349.0826,1907.2691,86.93186
"069","5am",290.36692,1046.4799,1433.2363,1435.5767,330.12581
"070","5am",857.03726,2950.4563,3422.5041,3480.5026,671.51346
"071","5am",1961.51764,3068.4334,3645.2475,1143.1589,338.27296
