"district","hour","cleduc1","cleduc2","cleduc3","cleduc4"
"037","10am",0,1075.622,0,0
"038","10am",0,0,0,543.9429
"039","10am",0,0,0,636.0414
"040","10am",0,806.2151,1558.4151,1536.6818
"041","10am",0,0,0,996.0604
"042","10am",0,0,472.2507,0
"043","10am",0,876.6688,1594.3369,1058.5148
"044","10am",0,0,0,0
"045","10am",0,0,0,0
"046","10am",0,0,0,0
"047","10am",0,0,1329.8168,749.1229
"048","10am",0,0,0,0
"049","10am",0,0,0,0
"050","10am",0,0,0,0
"051","10am",0,0,0,0
"052","10am",0,0,0,0
"053","10am",0,0,0,0
"054","10am",0,0,0,0
"055","10am",0,0,0,0
"056","10am",0,0,0,0
"057","10am",0,0,0,0
"058","10am",0,0,0,0
"059","10am",0,1133.203,683.3413,0
"060","10am",0,948.7387,0,764.8039
"061","10am",0,0,0,0
"062","10am",0,0,0,0
"063","10am",0,0,0,0
"064","10am",0,0,0,0
"065","10am",0,0,0,0
"066","10am",0,0,0,0
"067","10am",0,0,0,0
"068","10am",0,0,0,0
"069","10am",0,0,0,0
"070","10am",0,1354.0971,1155.5605,0
"071","10am",0,0,0,0
"072","10am",0,0,1240.444,0
"073","10am",0,1372.739,1386.4026,0
"074","10am",0,0,0,0
"075","10am",0,2118.344,1415.8242,1059.136
"076","10am",0,0,0,0
"077","10am",0,0,0,0
"078","10am",0,1188.3357,1089.4757,1116.7275
"079","10am",0,0,0,0
"080","10am",0,0,0,0
"001","11am",0,0,1332.9298,2306.2779
"002","11am",0,1080.7763,1925.8394,1530.8296
"003","11am",0,1365.0889,2325.6928,1581.1197
"004","11am",0,0,0,0
"005","11am",0,0,662.3315,0
"006","11am",0,793.7179,1192.8436,1859.4233
"007","11am",0,504.655,0,594.3514
"008","11am",0,0,0,0
"009","11am",0,1487.0674,2826.2121,3170.4549
"010","11am",0,0,0,848.2003
"011","11am",0,841.2505,1581.9645,1060.7265
"012","11am",0,0,0,0
"013","11am",0,1221.6349,1354.3162,1099.7015
"014","11am",0,708.3901,803.2033,642.3971
"015","11am",0,0,0,0
"016","11am",0,0,0,0
"017","11am",0,1310.4535,1163.3746,1420.0311
"018","11am",0,739.8692,714.7893,1133.409
"019","11am",0,879.8842,1561.5421,2398.3599
"020","11am",0,0,0,0
"021","11am",0,0,0,0
"022","11am",0,1431.6287,1865.8643,4134.9654
"023","11am",0,1207.8302,1810.2267,2526.2348
"024","11am",0,898.4547,0,0
"025","11am",0,0,835.0823,3292.6829
"026","11am",0,0,0,1065.8245
"027","11am",0,1665.9126,3096.7305,4421.0261
"028","11am",0,1221.0274,2923.9087,2742.1211
"029","11am",0,566.7795,894.9116,1723.7424
"030","11am",0,0,0,0
"031","11am",0,0,0,0
"032","11am",0,1480.5726,2616.6862,1183.9246
"033","11am",0,1148.1535,1765.8037,1003.0515
"034","11am",0,0,0,705.1452
"035","11am",0,1445.288,1347.1891,1401.4468
"036","11am",0,0,653.2478,0
"037","11am",0,1007.3832,0,0
"038","11am",0,0,0,0
"039","11am",0,0,0,714.7408
"040","11am",0,570.9826,1273.7636,1830.9956
"041","11am",0,0,0,1047.4957
"042","11am",0,0,0,0
"043","11am",0,743.451,1185.6323,1061.0974
"044","11am",0,0,0,0
"045","11am",0,0,0,0
"046","11am",0,0,0,0
"047","11am",0,677.323,1109.0779,831.355
"048","11am",0,0,0,0
"049","11am",0,0,0,0
"050","11am",0,0,0,0
"051","11am",0,0,0,0
"052","11am",0,0,0,0
"053","11am",0,0,0,0
"054","11am",0,0,0,596.4086
"055","11am",0,0,0,0
"056","11am",0,0,0,0
"057","11am",0,0,0,0
"058","11am",0,0,0,0
"059","11am",0,850.9438,640.7862,0
"060","11am",0,0,0,0
"061","11am",0,0,0,0
"062","11am",0,0,0,0
"063","11am",0,0,0,0
"064","11am",0,0,0,0
"065","11am",0,0,0,0
"066","11am",0,0,0,0
"067","11am",0,0,0,0
"068","11am",0,0,0,0
"069","11am",0,0,0,0
"070","11am",0,1540.999,748.943,0
"071","11am",0,0,0,0
"072","11am",0,0,0,0
"073","11am",0,881.4877,1279.4393,0
"074","11am",0,1053.9326,0,0
"075","11am",0,1663.8499,1249.688,1170.1267
"076","11am",0,0,0,0
"077","11am",0,0,0,0
"078","11am",0,744.3705,927.6727,986.0146
"079","11am",0,0,0,0
"080","11am",0,0,0,0
"001","12am",0,0,1063.2401,2098.4569
"002","12am",0,1277.7094,2072.2024,1656.7497
"003","12am",0,1104.4912,2012.0378,1485.0528
"004","12am",0,0,577.8827,0
"005","12am",0,0,0,0
"006","12am",0,0,941.2778,1480.365
"007","12am",0,0,0,0
"008","12am",0,0,0,0
"009","12am",0,1572.7256,2471.7656,3287.0293
"010","12am",0,0,0,0
"011","12am",0,564.7548,1495.7615,691.9735
"012","12am",0,0,0,0
"013","12am",0,1141.4373,1100.146,819.9985
"014","12am",0,0,0,732.0499
"015","12am",0,0,0,0
"016","12am",0,0,0,0
"017","12am",0,985.9168,729.5863,1119.4277
"018","12am",0,710.9107,645.4148,808.4316
"019","12am",0,619.2948,1251.9394,1936.737
"020","12am",0,0,0,0
"021","12am",0,0,0,0
"022","12am",0,1178.3483,1451.0836,3905.0177
"023","12am",0,941.4434,1620.8685,2201.7617
"024","12am",0,0,0,0
"025","12am",0,0,622.4737,2824.9527
"026","12am",0,0,0,863.9073
"027","12am",0,1665.9126,2681.563,3504.4754
"028","12am",0,1206.0618,2272.5479,2431.9819
"029","12am",0,0,651.1045,1222.9219
"030","12am",0,0,0,0
"031","12am",0,0,0,0
"032","12am",0,1188.6648,1816.2211,729.2444
"033","12am",0,991.6474,1677.3868,1256.4474
"034","12am",0,0,0,804.4427
"035","12am",0,999.5306,929.6704,761.9834
"036","12am",0,0,0,0
"037","12am",0,674.7702,0,0
"038","12am",0,0,0,0
"039","12am",0,0,0,0
"040","12am",0,540.5098,734.8703,1559.7006
"041","12am",0,0,0,824.2262
"042","12am",0,0,0,0
"043","12am",0,720.0217,1275.8436,963.8466
"044","12am",0,0,0,0
"045","12am",0,0,0,0
"046","12am",0,0,0,0
"047","12am",0,0,0,0
"048","12am",0,0,0,0
"049","12am",0,0,0,0
"050","12am",0,0,0,0
"051","12am",0,0,0,0
"052","12am",0,0,0,0
"053","12am",0,0,0,0
"054","12am",0,0,0,0
"055","12am",0,0,0,0
"056","12am",0,0,0,0
"057","12am",0,0,0,0
"058","12am",0,0,0,0
"059","12am",0,0,0,0
"060","12am",0,0,0,0
"061","12am",0,0,0,0
"062","12am",0,0,0,0
"063","12am",0,0,0,0
"064","12am",0,0,0,0
"065","12am",0,0,0,0
"066","12am",0,0,0,0
"067","12am",0,0,0,0
"068","12am",0,0,0,0
"069","12am",0,0,0,0
"070","12am",0,1153.1499,0,0
"071","12am",0,0,0,0
"072","12am",0,0,0,0
"073","12am",0,0,0,0
"074","12am",0,0,1070.2379,0
"075","12am",0,0,0,0
"076","12am",0,0,0,0
"077","12am",0,0,0,0
"078","12am",0,0,0,0
"079","12am",0,0,0,0
"080","12am",0,0,0,0
"001","1pm",0,0,1106.9449,1969.7321
"002","1pm",0,1372.9975,2087.1097,1964.4344
"003","1pm",0,1408.8464,2602.2065,1490.2329
"004","1pm",0,0,585.2156,0
"005","1pm",0,0,0,0
"006","1pm",0,0,782.8028,1368.5777
"007","1pm",0,0,0,0
"008","1pm",0,0,0,0
"009","1pm",0,1557.997,2812.7609,3190.2949
"010","1pm",0,0,0,0
"011","1pm",0,860.5925,1678.864,1012.3971
"012","1pm",0,0,0,0
"013","1pm",0,1154.7523,1370.6086,1110.7315
"014","1pm",0,0,0,619.0046
"015","1pm",0,0,0,0
"016","1pm",0,0,0,0
"017","1pm",0,870.2534,801.7791,1491.9645
"018","1pm",0,853.3036,684.273,1096.9156
"019","1pm",0,694.7833,1418.4096,1946.2704
"020","1pm",0,0,0,0
"021","1pm",0,0,0,0
"022","1pm",0,1441.2611,1619.9284,4245.2545
"023","1pm",0,863.3795,1661.7644,2695.0273
"024","1pm",0,665.356,0,0
"025","1pm",0,0,809.1856,2862.322
"026","1pm",0,0,636.7361,910.8149
"027","1pm",0,1322.3465,3307.3894,4455.5937
"028","1pm",0,1560.483,2703.1551,2251.4621
"029","1pm",0,0,1140.9542,1665.0578
"030","1pm",0,0,0,0
"031","1pm",0,0,0,0
"032","1pm",0,1155.3132,2213.5875,1027.7796
"033","1pm",0,1020.7902,1383.6353,1344.6189
"034","1pm",0,0,0,705.1452
"035","1pm",0,1270.5817,1054.7326,1321.903
"036","1pm",0,685.8782,0,0
"037","1pm",0,784.385,0,521.0208
"038","1pm",0,0,0,0
"039","1pm",0,0,0,662.7207
"040","1pm",0,0,985.8555,1254.8537
"041","1pm",0,0,0,874.1052
"042","1pm",0,0,0,0
"043","1pm",0,713.8979,1799.6122,1175.0494
"044","1pm",0,540.1934,0,0
"045","1pm",0,0,0,0
"046","1pm",0,0,0,0
"047","1pm",0,0,0,686.1555
"048","1pm",0,0,0,0
"049","1pm",0,0,0,0
"050","1pm",0,0,0,0
"051","1pm",0,0,0,0
"052","1pm",0,0,0,0
"053","1pm",0,0,0,0
"054","1pm",0,0,0,0
"055","1pm",0,0,0,0
"056","1pm",0,0,0,0
"057","1pm",0,0,0,0
"058","1pm",0,0,0,0
"059","1pm",0,0,0,0
"060","1pm",0,0,0,0
