"hour";"7501";"7502";"7503";"7504";"7505";"7506";"7507";"7508";"7509";"7510";"7511";"7512";"7513";"7514";"7701";"7702";"7703";"7704";"7705";"7706";"7707";"7708";"7709";"7710";"7711";"7712";"7713";"7714";"7715";"7716";"7801";"7802";"7803";"7804";"7805";"7806";"7807";"7808";"7809";"7810";"7811";"7812";"7813";"7814";"7815";"7816";"9101";"9102";"9103";"9104";"9105";"9106";"9107";"9108";"9109";"9110";"9111";"9112";"9113";"9114";"9201";"9202";"9203";"9204";"9205";"9206";"9207";"9208";"9209";"9210";"9211";"9212";"9302";"9303";"9304";"9305";"9306";"9307";"9308";"9309";"9310";"9311";"9312";"9402";"9403";"9404";"9405";"9406";"9407";"9408";"9409";"9410";"9411";"9412";"9413";"9414";"9501";"9502";"9503";"9504";"9505";"9506";"9507";"9508";"9509";"9510";"9511";"9512";"9513"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732"
"4am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0"
"5am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0"
"6am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0"
"7am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0"
"8am";"   0.000";"8373.987";"4915.773";"   0.000";"   0.000";"   0.000";"4137.975";"   0.000";"5125.928";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"5602.848";"   0.000";"   0.000";"   0.000";"2574.567";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"9107.891";"   0.000";"   0.000";"   0.000";"4661.896";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"3539.954";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"9am";"21657.177";"25757.051";"35336.744";"    0.000";"    0.000";" 8354.589";"10948.555";" 5595.605";"18107.228";"10615.042";" 7738.080";"    0.000";" 4854.566";" 4023.817";"    0.000";" 6873.278";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"12570.415";"    0.000";"    0.000";"    0.000";"11630.828";" 3905.229";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 3693.710";"    0.000";" 4978.564";"    0.000";" 5260.676";"    0.000";"    0.000";" 6796.502";" 9026.078";"12328.743";"27640.356";" 9101.880";" 7781.329";" 5179.654";"13169.015";" 3766.010";" 4723.478";" 5131.145";"    0.000";"    0.000";" 5878.593";"    0.000";"    0.000";"    0.000";"    0.000";" 5130.582";"    0.000";"    0.000";"13336.241";"    0.000";" 4736.954";"    0.000";" 6555.638";" 5309.794";"    0.000";"    0.000";" 4138.572";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 3461.049";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000"
"10am";"37640.704";"38341.265";"61333.437";"11706.508";" 9542.979";"14522.236";"18743.292";"11366.560";"27656.765";"20927.682";"14940.527";"    0.000";" 7605.229";" 6149.343";"    0.000";" 9147.568";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 4030.212";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"18343.282";"    0.000";"    0.000";"    0.000";"15187.751";" 7877.869";"    0.000";"    0.000";"    0.000";" 3534.077";"    0.000";"    0.000";"    0.000";" 4796.786";"    0.000";" 6544.753";"    0.000";" 9479.590";"    0.000";" 7684.776";"10949.990";"17337.345";"17888.321";"51189.785";"11869.681";"12042.738";" 7405.668";"18354.944";" 6101.692";" 5827.310";" 6154.565";"    0.000";"    0.000";" 9158.013";"    0.000";"    0.000";"    0.000";"    0.000";" 6062.571";"    0.000";"    0.000";"22455.187";" 4957.645";" 7102.413";"    0.000";" 8604.550";" 8196.357";" 5022.996";"    0.000";" 6445.779";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 3908.810";" 3730.418";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 4113.803";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000"
