"district","hour","act1","act2","act3","act4","act5"
"038","6am",0,0,0,0,0
"039","6am",0,0,0,0,0
"040","6am",0,0,0,0,0
"041","6am",0,0,0,0,0
"042","6am",0,0,0,0,0
"043","6am",0,0,0,0,0
"044","6am",0,0,0,0,0
"045","6am",0,0,0,0,0
"046","6am",0,0,0,0,0
"047","6am",0,0,0,0,0
"048","6am",0,0,0,0,0
"049","6am",0,0,0,0,0
"050","6am",0,0,0,0,0
"051","6am",0,0,0,0,0
"052","6am",0,0,0,0,0
"053","6am",0,0,0,0,0
"054","6am",0,0,0,0,0
"055","6am",0,0,0,0,0
"056","6am",0,0,0,0,0
"057","6am",0,0,0,0,0
"058","6am",0,0,0,0,0
"059","6am",0,0,0,0,0
"060","6am",0,0,0,0,0
"061","6am",0,0,0,0,0
"062","6am",0,0,0,0,0
"063","6am",0,0,0,0,0
"064","6am",0,0,0,0,0
"065","6am",0,0,0,0,0
"066","6am",0,0,0,0,0
"067","6am",0,0,0,0,0
"068","6am",0,0,0,0,0
"069","6am",0,0,0,0,0
"070","6am",0,0,0,0,0
"071","6am",0,0,0,0,0
"072","6am",0,0,0,0,0
"073","6am",0,0,0,0,0
"074","6am",0,0,0,0,0
"075","6am",0,0,0,0,0
"076","6am",0,0,0,0,0
"077","6am",0,0,0,0,0
"078","6am",0,0,0,0,0
"079","6am",0,0,0,0,0
"080","6am",0,0,0,0,0
"001","7am",0,562.1804,858.4479,0,0
"002","7am",0,0,0,0,0
"003","7am",0,1844.2714,0,0,0
"004","7am",0,0,0,0,0
"005","7am",0,0,871.1498,0,0
"006","7am",0,757.9027,1182.6803,0,0
"007","7am",0,0,0,0,0
"008","7am",0,0,0,0,0
"009","7am",0,2198.6007,2257.7266,0,0
"010","7am",0,0,0,0,0
"011","7am",0,1488.0997,0,0,0
"012","7am",0,0,0,0,0
"013","7am",0,1895.5789,0,0,0
"014","7am",0,620.7024,0,0,0
"015","7am",0,0,0,0,0
"016","7am",0,0,0,0,0
"017","7am",0,1081.5433,1253.6633,0,0
"018","7am",0,712.2502,0,0,0
"019","7am",0,1309.5456,955.8824,0,0
"020","7am",0,0,0,0,0
"021","7am",0,0,0,0,0
"022","7am",0,2772.3828,665.082,0,0
"023","7am",0,1495.8234,753.4357,0,0
"024","7am",0,658.7671,0,0,0
"025","7am",0,1110.0901,4916.5115,0,0
"026","7am",0,690.8448,0,0,0
"027","7am",0,2402.3409,0,0,0
"028","7am",0,1896.8096,0,0,0
"029","7am",0,1350.4303,0,0,0
"030","7am",0,673.04,0,0,0
"031","7am",0,0,0,0,0
"032","7am",0,2269.902,0,0,0
"033","7am",0,674.8763,0,0,0
"034","7am",0,0,0,0,0
"035","7am",0,2154.0505,0,0,0
