"district","hour","sex1","sex2"
"040","6am",5323.39,5620.862
"041","6am",2623.909,3256.057
"042","6am",1705.436,1929.629
"043","6am",3391.482,3442.711
"044","6am",1822.731,2803.033
"045","6am",2965.143,3052.23
"046","6am",2428.31,3490.339
"047","6am",3194.761,3392.315
"048","6am",2123.003,3363.653
"049","6am",2156.037,3002.251
"050","6am",1524.932,1516.499
"051","6am",1568.505,1656.287
"052","6am",2379.811,3065.816
"053","6am",2957.329,4130.857
"054","6am",3718.637,3258.515
"055","6am",2307.834,2469.449
"056","6am",2960.316,4283.795
"057","6am",1738.498,2112.824
"058","6am",3465.018,3788.526
"059","6am",4571.473,6225.157
"060","6am",2893.863,3823.116
"061","6am",3903.53,5580.702
"062","6am",4669.174,4430.478
"063","6am",1752.52,1778.077
"064","6am",3588.649,3819.367
"065","6am",3548.267,3933.411
"066","6am",3538.37,3424.807
"067","6am",4971.215,5754.576
"068","6am",3695.444,4090.495
"069","6am",1959.323,2405.788
"070","6am",6064.739,5659.158
"071","6am",4460.646,5387.522
"072","6am",3497.935,3769.456
"073","6am",5670.361,6192.089
"074","6am",4052.824,6124.157
"075","6am",6263.754,6107.826
"076","6am",2844.85,2925.542
"077","6am",3975.777,4844.685
"078","6am",3458.051,5713.232
"079","6am",5153.249,5551.562
"080","6am",3528.893,3828.816
"001","7am",3467.586,3750.506
"002","7am",1646.357,2070.987
"003","7am",6019.92,7197.116
"004","7am",2047.101,3131.88
"005","7am",2878.057,2670.855
"006","7am",5583.723,5920.722
"007","7am",2903.542,3594.756
"008","7am",1004.053,1822.743
"009","7am",4947.495,7045.02
"010","7am",2402.65,2958.775
"011","7am",3552.832,4299.665
"012","7am",3657.408,4046.446
"013","7am",3885.015,3372.987
"014","7am",3730.66,4686.939
"015","7am",1403.104,2426.629
"016","7am",1906.734,2761.54
"017","7am",3422.907,4559.304
"018","7am",4839.579,5585.307
"019","7am",3510.755,3539.448
"020","7am",2740.685,3439.346
"021","7am",2550.792,2058.797
"022","7am",7066.851,8383.55
"023","7am",3671.783,4047.015
"024","7am",2475.352,3487.734
"025","7am",5951.772,6484.637
"026","7am",3039.054,3708.777
"027","7am",3589.355,3606.787
"028","7am",4144.636,5790.818
"029","7am",3936.03,3317.088
"030","7am",2250.638,2742.33
"031","7am",3139.148,3755.342
"032","7am",4636.038,3650.911
"033","7am",4674.013,5617.874
"034","7am",1222.684,1478.626
"035","7am",4314.662,3832.447
"036","7am",3108.574,2910.949
"037","7am",4039.229,3987.239
"038","7am",2063.732,2309.65
"039","7am",2056.65,2287.359
"040","7am",4732.223,5220.296
"041","7am",2014.223,3232.049
"042","7am",1473.648,1538.812
"043","7am",3707.856,2913.061
"044","7am",1587.518,2526.008
"045","7am",2474.103,2808.251
"046","7am",2085.185,2689.314
"047","7am",2798.935,3302.477
"048","7am",1913.626,3166.631
"049","7am",1858.864,2514.177
"050","7am",1325.533,1309.807
"051","7am",1292.242,1423.144
"052","7am",1915.397,2436.403
"053","7am",2306.557,3077.325
"054","7am",3424.348,2489.048
"055","7am",2070.961,2225.051
"056","7am",2754.114,3986.416
"057","7am",1338.004,1733.811
"058","7am",2888.52,3668.239
"059","7am",4556.738,6036.534
"060","7am",3180.77,4363.625
"061","7am",3498.054,4566.206
"062","7am",3494.37,3802.624
"063","7am",1363.37,1664.254
"064","7am",2555.904,3609.503
"065","7am",3553.767,3454.523
"066","7am",2911.536,2785.225
"067","7am",4195.054,4929.142
"068","7am",3398.338,3939.677
"069","7am",1811.58,2164.047
"070","7am",5200.871,5261.897
"071","7am",4190.591,5168.863
"072","7am",2893.595,3439.51
"073","7am",5881.296,6541.484
"074","7am",4213.844,6013.313
"075","7am",6910.297,5920.221
"076","7am",2992.838,2831.52
"077","7am",3132.162,4368.075
"078","7am",3229.045,6009.45
"079","7am",4828.848,5714.057
"080","7am",3277.34,3356.124
"001","8am",4055.779,4689.743
"002","8am",1809.896,2757.385
"003","8am",5837.495,7728.306
"004","8am",1753.152,3103.107
"005","8am",2808.666,2703.992
"006","8am",4613.32,6020.102
"007","8am",2463.261,2976.768
"008","8am",971.78,1560.081
"009","8am",5836.521,8672.732
"010","8am",2405.26,2969.923
"011","8am",4342.193,4322.292
"012","8am",3012.445,3381.929
"013","8am",4461.867,3351.348
"014","8am",3864.984,4388.924
"015","8am",1348.663,2037.156
"016","8am",1758.392,2258.008
"017","8am",3835.161,5028.38
"018","8am",4276.808,5937.98
"019","8am",4630.988,5459.554
"020","8am",2535.637,3291.513
"021","8am",2131.092,1308.862
"022","8am",7242.182,9181.538
"023","8am",4302.54,5474.247
"024","8am",2451.458,3255.864
"025","8am",7984.918,8974.955
"026","8am",2483.314,3146.419
"027","8am",6573.716,5249.32
"028","8am",4633.72,7339.302
"029","8am",3984.052,3802.096
"030","8am",2177.244,2931.384
"031","8am",2872.758,3226.933
"032","8am",5243.391,4306.922
"033","8am",4193.304,5442.155
"034","8am",1626.986,1719.97
"035","8am",4531.091,3586.037
"036","8am",2542.678,2504.688
"037","8am",3648.094,3513.013
"038","8am",1995.436,1997.729
"039","8am",1814.67,1746.441
"040","8am",5445.925,5956.309
"041","8am",2277.444,2637.692
"042","8am",1141.932,1543.755
"043","8am",4078.356,2964.754
"044","8am",1782.239,2878.804
"045","8am",1924.079,2262.128
"046","8am",1777.265,2274.103
"047","8am",2679.307,3400.726
"048","8am",1645.601,2757.309
"049","8am",1581.396,2111.957
"050","8am",913.515,1144.735
"051","8am",1074.53,1142.33
"052","8am",1539.005,2333.507
"053","8am",1981.981,2581.693
"054","8am",2902.971,2394.765
"055","8am",1938.536,1891.572
"056","8am",2946.892,3691.42
"057","8am",1222.097,1616.424
"058","8am",2317.218,3035.937
"059","8am",4644.318,5595.28
"060","8am",3061.102,4468.366
"061","8am",3158.506,3727.086
"062","8am",2853.34,3005.537
"063","8am",1069.376,1304.306
"064","8am",1896.203,3039.496
"065","8am",3240.626,3086.361
"066","8am",2689.2,2724.314
"067","8am",3527.755,3905.734
"068","8am",3041.358,3798.694
"069","8am",1951.561,1935.201
"070","8am",5004.695,4704.189
"071","8am",3712.196,5525.177
"072","8am",3040.747,3420.604
"073","8am",5346.089,6957.178
"074","8am",4201.154,6043.126
"075","8am",7563.828,6079.801
"076","8am",2867.133,2551.159
"077","8am",2711.198,3690.644
"078","8am",3624.382,6582.794
"079","8am",4755.422,5714.46
"080","8am",2720.795,3016.097
"001","9am",4611.8492,6316.0183
"002","9am",2386.4918,3661.81
"003","9am",6171.0232,7698.8887
"004","9am",1458.5095,2897.4829
"005","9am",2701.5359,2586.0039
"006","9am",4561.2473,6139.8527
"007","9am",2228.5784,2916.3491
"008","9am",940.9192,1429.924
"009","9am",6016.8418,9286.338
"010","9am",2512.4537,2968.6615
"011","9am",4547.7839,4471.3495
"012","9am",2890.8637,3176.5635
"013","9am",4337.6706,3483.7983
"014","9am",3743.808,4302.3936
"015","9am",1050.6266,1758.0546
