"district","hour","mode1","mode2","mode3"
"066","5am",0.751647,76.104069,23.144284
"067","5am",3.791409,76.449131,19.75946
"068","5am",1.6145316,69.502606,28.882862
"069","5am",2.9999557,76.482098,20.517946
"070","5am",1.5041407,71.797049,26.69881
"071","5am",6.0661081,74.363018,19.570874
"072","5am",0.9991273,78.650777,20.350096
"073","5am",6.780563,39.608582,53.610855
"074","5am",4.0905872,62.869808,33.039605
"075","5am",10.5361346,74.319013,15.144852
"076","5am",5.328438,66.451517,28.220045
"077","5am",0.9702422,68.962743,30.067014
"078","5am",0,73.529607,26.470393
"079","5am",0,71.070062,28.929938
"080","5am",3.5050238,63.939706,32.55527
"001","6am",19.2708913,11.409038,69.320071
"002","6am",17.9351504,9.591763,72.473087
"003","6am",16.671167,18.005096,65.323737
"004","6am",13.2247608,40.602658,46.172582
"005","6am",13.5456066,33.416586,53.037807
"006","6am",21.5673385,29.172334,49.260328
"007","6am",13.3149091,41.40646,45.278631
"008","6am",14.5049938,56.5877,28.907306
"009","6am",21.5747597,32.821794,45.603447
"010","6am",18.6494962,47.450843,33.899661
"011","6am",18.4455661,62.642508,18.911926
"012","6am",25.4131944,43.526369,31.060436
"013","6am",14.8175614,59.800043,25.382395
"014","6am",20.0284248,55.164919,24.806657
"015","6am",16.9183364,59.162781,23.918883
"016","6am",12.0194631,72.629384,15.351153
"017","6am",25.5664844,51.279918,23.153598
"018","6am",28.1105605,38.464459,33.424981
"019","6am",19.7823468,46.755269,33.462385
"020","6am",28.8474634,28.939849,42.212687
"021","6am",22.0545259,55.00986,22.935614
"022","6am",29.80114,41.463299,28.735561
"023","6am",9.0846483,65.23711,25.678242
"024","6am",15.4939255,63.079703,21.426372
"025","6am",26.1365447,46.075543,27.787912
"026","6am",18.3689043,59.957345,21.673751
"027","6am",5.8925411,75.176674,18.930785
"028","6am",27.2324807,44.757798,28.009721
"029","6am",14.819814,68.753712,16.426474
"030","6am",11.311781,73.67328,15.014939
"031","6am",3.9071767,69.091226,27.001598
"032","6am",6.2301285,72.239806,21.530065
"033","6am",5.4981001,78.283771,16.218129
"034","6am",2.7066744,81.886569,15.406757
"035","6am",4.8725003,74.01312,21.11438
"036","6am",10.6293356,74.507293,14.863371
"037","6am",2.1001483,79.22429,18.675562
"038","6am",6.3408336,87.076189,6.582978
"039","6am",13.0529546,78.598291,8.348755
"040","6am",5.6749931,79.114989,15.210018
"041","6am",5.0924596,77.781154,17.126387
"042","6am",8.1855483,74.519105,17.295346
"043","6am",7.6115506,76.829453,15.558996
"044","6am",2.9202001,69.544624,27.535176
"045","6am",11.3789281,66.681247,21.939825
"046","6am",4.5256735,74.734561,20.739766
"047","6am",0.9951181,79.076392,19.92849
"048","6am",5.8814726,80.416446,13.702081
"049","6am",6.6475354,81.769553,11.582912
"050","6am",2.2465791,87.259852,10.493569
"051","6am",6.3711374,83.518398,10.110465
"052","6am",2.1414306,83.916473,13.942096
"053","6am",2.9444907,79.230079,17.825431
"054","6am",3.9269908,86.357939,9.71507
"055","6am",3.4663316,78.393198,18.140471
"056","6am",4.275894,59.938767,35.785339
"057","6am",3.9965003,84.413645,11.589854
"058","6am",4.819629,81.153477,14.026894
"059","6am",2.7282327,65.590168,31.681599
"060","6am",3.4146236,75.08127,21.504106
"061","6am",3.2944426,77.750441,18.955116
"062","6am",4.4920965,78.497833,17.01007
"063","6am",4.7688341,84.613666,10.6175
"064","6am",3.4379757,72.564086,23.997938
"065","6am",4.6291333,60.559291,34.811576
"066","6am",0,74.959901,25.040099
"067","6am",3.7586568,76.652576,19.588767
"068","6am",0.8567777,69.558288,29.584934
"069","6am",3.0518889,76.074973,20.873139
"070","6am",1.4516661,72.78096,25.767374
"071","6am",3.4003996,75.702313,20.897287
"072","6am",0.4303659,78.529808,21.039826
"073","6am",3.4673957,40.835133,55.697472
"074","6am",3.9796042,63.877199,32.143197
"075","6am",10.6140712,74.083519,15.302409
"076","6am",3.5324323,68.281071,28.186496
"077","6am",1.0102596,67.682621,31.307119
"078","6am",0,72.738418,27.261582
"079","6am",0,69.201717,30.798283
"080","6am",2.7350914,65.049223,32.215686
"001","7am",21.9038935,15.98845,62.107659
"002","7am",19.6174667,11.30984,69.072691
"003","7am",22.8843743,20.55177,56.563853
"004","7am",11.5735997,39.45448,48.971917
"005","7am",15.9448277,33.19692,50.858251
"006","7am",25.5853688,26.76784,47.646794
"007","7am",13.6500442,39.64111,46.708842
"008","7am",16.0033352,53.32968,30.666989
"009","7am",29.5419626,35.82519,34.632848
"010","7am",17.1378179,47.7362,35.12598
