"district","hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"007","5am",8.475428,7.469111,24.1471,37.480987,22.427378
"008","5am",12.5345122,11.347577,35.59905,29.395595,11.123264
"009","5am",3.0827969,17.641396,25.23943,35.501489,18.534889
"010","5am",6.0174136,22.835129,33.42812,24.766032,12.953301
"011","5am",13.0718092,29.193067,30.81487,21.812223,5.108026
"012","5am",11.6867046,18.588575,32.58922,28.383892,8.751603
"013","5am",9.3481353,19.454904,34.27503,27.161629,9.7603
"014","5am",9.27983,18.679168,40.86455,23.871338,7.305111
"015","5am",10.8050286,8.76569,32.8698,31.095601,16.463882
"016","5am",3.0834678,16.459539,30.91986,24.521891,25.015238
"017","5am",13.4920179,12.499059,26.26185,29.345416,18.401654
"018","5am",18.0766067,33.103694,24.09668,16.435936,8.287088
"019","5am",26.6359002,32.25031,25.44787,10.791033,4.874891
"020","5am",44.8988124,29.178469,24.44599,1.476726,0
"021","5am",9.201199,17.607611,27.49538,32.269054,13.426755
"022","5am",15.8241397,7.507211,37.34046,30.171979,9.156207
"023","5am",9.1459652,11.790084,37.94264,31.438074,9.683237
"024","5am",22.9456885,22.218391,36.23235,11.316618,7.28695
"025","5am",7.634725,10.855479,31.69914,21.834598,27.976057
"026","5am",2.4516309,10.290105,26.95568,37.879767,22.42282
"027","5am",9.258335,20.796915,24.15009,30.140297,15.654362
"028","5am",1.2109567,6.405964,44.67763,32.758192,14.947254
"029","5am",7.1829056,22.397217,30.80863,28.416874,11.194372
"030","5am",9.5591478,13.638456,28.40565,29.188629,19.208116
"031","5am",6.4218308,18.691443,39.04728,21.973485,13.865963
"032","5am",11.3637123,14.050649,35.00227,27.865832,11.71754
"033","5am",8.1514219,19.525554,34.21991,20.258219,17.844901
"034","5am",9.1735791,14.617944,48.48938,14.408853,13.310239
"035","5am",10.0901226,14.932399,36.64127,19.384791,18.951417
"036","5am",12.4396838,18.735297,36.26012,21.448184,11.116714
"037","5am",4.9500989,22.41015,34.43677,25.551224,12.651753
"038","5am",9.2918514,5.927572,47.11577,27.978912,9.685898
"039","5am",6.7630931,9.783819,37.51438,25.921122,20.017586
"040","5am",11.0860546,15.051595,25.23961,32.115196,16.507542
"041","5am",12.9825884,17.581214,24.96414,25.323345,19.148711
"042","5am",8.2103277,9.471551,48.51691,18.306771,15.494444
"043","5am",3.4165109,11.947517,39.58275,34.085249,10.967976
"044","5am",6.2768634,21.875488,33.21701,29.752837,8.877805
"045","5am",7.5991566,17.687588,42.22334,24.558353,7.931562
"046","5am",4.6983284,16.82396,40.5099,22.921329,15.046487
"047","5am",3.5253633,14.73235,34.14337,38.214558,9.384362
"048","5am",14.5059558,20.933092,32.09501,27.465517,5.00043
"049","5am",5.8414808,11.87144,40.24512,36.573863,5.468095
"050","5am",5.7994467,21.789374,41.35369,23.844456,7.213032
"051","5am",6.9470945,14.463433,34.95568,21.194106,22.439685
"052","5am",7.4026875,12.503138,23.62819,40.842924,15.623056
"053","5am",13.4330761,21.716429,33.01532,23.26248,8.572689
"054","5am",8.6845906,23.893262,35.64885,22.582358,9.190941
"055","5am",5.4014825,13.737741,49.55218,15.977945,15.330653
"056","5am",4.4509806,10.70544,42.06465,31.85551,10.923423
"057","5am",11.0514658,6.668026,28.32498,36.496333,17.4592
"058","5am",15.6693535,26.985362,22.42643,25.977585,8.941271
"059","5am",10.3409215,27.368709,35.46458,21.281538,5.544255
"060","5am",10.7501473,27.702617,39.81315,16.295703,5.438385
"061","5am",5.8231822,23.813523,43.74489,16.92474,9.693665
"062","5am",7.2246185,12.573896,30.08329,36.867836,13.250362
"063","5am",2.3205132,23.39143,35.27212,25.750719,13.265216
"064","5am",7.9834023,18.85876,35.51726,33.272339,4.368234
"065","5am",5.4179296,29.604776,31.78781,29.470699,3.718789
"066","5am",8.7259812,21.827394,31.75206,29.339936,8.354629
"067","5am",4.7099422,37.58652,19.14277,33.58493,4.975837
"068","5am",13.3329868,18.987121,42.42065,24.158135,1.101109
"069","5am",6.4016898,23.071634,31.59841,31.650012,7.27825
"070","5am",7.5297507,25.922094,30.06941,30.578971,5.899777
"071","5am",19.3126812,30.211136,35.89032,11.255297,3.330563
"072","5am",16.0851377,19.166704,41.81183,16.338193,6.598137
"073","5am",19.2525407,22.298404,28.17362,22.034839,8.240599
"074","5am",16.2973811,26.450868,31.26431,15.403076,10.584362
"075","5am",19.0928379,31.333335,26.6265,14.633499,8.313829
"076","5am",22.1307795,26.00981,25.83934,22.356226,3.66385
"077","5am",5.136428,13.235801,35.54635,27.868379,18.213045
"078","5am",7.431057,6.816619,53.29496,20.696178,11.761185
"079","5am",0.9896658,12.947351,53.8076,20.213099,12.042287
"080","5am",1.2610414,14.358083,47.56675,17.966553,18.847577
"001","6am",3.9411613,20.902821,15.39961,29.224577,30.531829
"002","6am",14.9173003,5.955518,10.45003,43.332136,25.34502
"003","6am",4.808279,13.241933,27.85244,31.041537,23.055812
"004","6am",21.8309537,6.410452,26.09718,31.24363,14.417783
"005","6am",4.3214123,10.349667,19.10752,39.893469,26.32793
"006","6am",7.5596351,10.007407,22.53079,34.062847,25.839323
"007","6am",8.5062996,7.496317,24.65598,37.617511,21.723896
"008","6am",12.682384,10.794111,35.52664,29.74238,11.254487
"009","6am",3.4154392,15.523353,26.75495,36.468455,17.837804
"010","6am",4.6393834,23.27087,34.2341,24.655171,13.200477
"011","6am",13.9694004,29.258288,30.99587,20.730818,5.045625
"012","6am",11.8357065,18.104993,32.45034,28.745778,8.863184
"013","6am",10.6680613,20.863221,33.47405,26.807564,8.187103
"014","6am",9.582003,18.177576,40.55336,24.286092,7.400973
"015","6am",11.1369274,8.698037,31.86413,31.331298,16.969604
"016","6am",5.3297571,15.881548,30.9911,23.660784,24.136807
"017","6am",13.2512221,12.8323,26.25228,28.771934,18.892267
"018","6am",18.1071486,33.159625,24.50478,15.927354,8.301089
"019","6am",26.6839914,30.143738,25.90199,12.353943,4.916339
"020","6am",44.7892691,28.15079,25.51843,1.541509,0
"021","6am",9.5238732,18.162939,27.49676,32.618336,12.198088
"022","6am",14.3448206,10.146978,36.64358,30.758641,8.105979
"023","6am",9.2023311,11.610785,38.40872,31.608319,9.169844
"024","6am",22.7585983,20.355092,37.40866,11.848327,7.629326
"025","6am",7.3571942,10.713483,31.36509,21.040886,29.523342
"026","6am",2.5067542,9.285666,28.13608,37.937994,22.133507
"027","6am",9.1185902,24.035982,23.79409,27.168099,15.883244
"028","6am",1.6769516,7.219237,44.40838,32.980244,13.715182
"029","6am",6.0156281,23.611358,31.04623,29.146884,10.179903
"030","6am",9.3604351,12.78036,29.32648,29.723903,18.808824
"031","6am",6.8322775,18.585792,38.49691,21.408507,14.676514
"032","6am",10.7563814,17.128575,36.14595,24.877796,11.091299
"033","6am",8.3481883,19.339517,35.56082,20.130373,16.6211
"034","6am",9.2369241,15.363211,48.82421,13.173506,13.402148
"035","6am",9.9083883,18.055848,35.05951,19.044103,17.932153
"036","6am",11.1503566,20.901672,35.40227,21.476122,11.069578
"037","6am",5.9575394,22.898848,33.35202,24.637735,13.153856
"038","6am",8.3347038,6.526289,46.63671,28.421941,10.080353
"039","6am",7.782036,10.080965,37.38997,23.999804,20.747222
"040","6am",11.0974196,15.308005,25.62071,31.449404,16.524465
"041","6am",13.2336207,18.019489,25.26413,24.746295,18.736463
"042","6am",7.7341833,10.100074,48.30856,17.976318,15.880864
"043","6am",3.4105692,11.073386,40.68544,33.445667,11.384935
"044","6am",6.5922222,16.479611,34.27962,33.324708,9.323839
"045","6am",7.8335252,15.996788,42.67774,25.315767,8.176182
"046","6am",4.9269237,15.708498,39.98496,23.601052,15.778567
"047","6am",3.572216,15.968556,34.59714,37.061886,8.800203
"048","6am",14.6069523,20.466029,33.43739,26.668342,4.821283
"049","6am",6.0946032,11.651488,38.35892,37.495473,6.399511
"050","6am",5.8612954,20.227341,41.79471,24.826697,7.289956
"051","6am",7.2547435,13.056758,35.92011,21.549112,22.219275
"052","6am",8.0024765,12.531828,23.60252,41.359934,14.503239
"053","6am",13.9736099,18.53431,34.39116,23.856661,9.244257
"054","6am",8.7981645,24.208825,35.91599,23.070941,8.006082
"055","6am",5.6624149,13.750642,49.11965,15.396059,16.071239
"056","6am",4.4509806,10.70544,42.06465,31.85551,10.923423
"057","6am",10.2867699,7.523616,28.86799,35.527723,17.793906
"058","6am",15.0114422,27.683734,22.21763,26.229165,8.858026
"059","6am",11.8027319,22.067322,38.11919,21.862967,6.147785
"060","6am",11.0572467,24.792113,41.14332,17.413578,5.593744
"061","6am",6.2150355,23.743825,43.08873,16.606438,10.345971
"062","6am",7.6648467,12.388803,29.77184,36.116749,14.057766
"063","6am",2.4184311,23.807556,33.98003,25.969016,13.824964
"064","6am",7.528883,17.295802,36.88554,34.393863,3.895915
"065","6am",3.9111681,28.161038,31.70815,30.08166,6.137987
"066","6am",9.3125345,20.62166,32.12349,29.026093,8.91622
"067","6am",4.6741256,37.658869,18.9972,33.731808,4.937998
"068","6am",13.0291254,18.530856,42.6305,24.684427,1.125097
"069","6am",6.6519926,23.973724,31.27386,30.537597,7.562826
"070","6am",7.3101741,26.974241,29.33996,30.457096,5.918531
"071","6am",19.9175897,29.356345,35.68335,11.607833,3.434882
"072","6am",16.1597474,19.834819,39.84602,17.530673,6.628742
"073","6am",18.8578936,21.032866,30.14328,23.57533,6.39063
"074","6am",17.7591811,25.836594,31.0203,15.045367,10.338559
"075","6am",18.7598838,32.614918,26.78473,13.477231,8.363236
"076","6am",18.7460851,26.459905,26.27305,24.504968,4.015996
"077","6am",5.3178771,14.011445,34.79535,28.852856,17.022476
"078","6am",7.6835052,7.457479,53.17675,19.521533,12.160736
"079","6am",0.9936021,12.998849,54.68334,19.835658,11.488553
"080","6am",1.3395279,10.748523,48.69795,19.193362,20.020639
"001","7am",5.2351048,22.134677,14.90533,30.174391,27.550493
"002","7am",14.9702381,8.782802,15.49101,38.111006,22.644947
"003","7am",5.2696595,11.681801,30.37491,31.703775,20.969856
"004","7am",20.1380659,7.91975,25.84583,32.275609,13.820749
"005","7am",4.0953142,6.569449,18.10708,40.16868,31.059475
"006","7am",7.526262,12.595916,25.76185,32.337097,21.778872
"007","7am",9.3704987,6.446758,25.44146,36.944218,21.797065
"008","7am",13.8794788,8.699653,37.16503,33.285621,6.970215
"009","7am",4.3156059,12.457669,29.14725,33.819748,20.25973
"010","7am",4.9480918,23.358781,33.60434,25.000181,13.088607
"011","7am",12.6833911,27.824677,33.04805,22.968659,3.475225
