"district","hour","sex1","sex2"
"040","6am",48.64097,51.35903
"041","6am",44.62456,55.37544
"042","6am",46.91625,53.08375
"043","6am",49.6252,50.3748
"044","6am",39.4039,60.5961
"045","6am",49.27637,50.72363
"046","6am",41.02811,58.97189
"047","6am",48.50044,51.49956
"048","6am",38.69393,61.30607
"049","6am",41.79753,58.20247
"050","6am",50.13863,49.86137
"051","6am",48.63894,51.36106
"052","6am",43.70132,56.29868
"053","6am",41.72194,58.27806
"054","6am",53.29735,46.70265
"055","6am",48.3085,51.6915
"056","6am",40.86514,59.13486
"057","6am",45.1403,54.8597
"058","6am",47.77,52.23
"059","6am",42.34167,57.65833
"060","6am",43.0828,56.9172
"061","6am",41.1581,58.8419
"062","6am",51.31157,48.68843
"063","6am",49.63807,50.36193
"064","6am",48.44278,51.55722
"065","6am",47.42609,52.57391
"066","6am",50.81545,49.18455
"067","6am",46.34824,53.65176
"068","6am",47.46305,52.53695
"069","6am",44.88598,55.11402
"070","6am",51.72972,48.27028
"071","6am",45.29417,54.70583
"072","6am",48.13192,51.86808
"073","6am",47.80093,52.19907
"074","6am",39.82344,60.17656
"075","6am",50.63019,49.36981
"076","6am",49.30081,50.69919
"077","6am",45.07448,54.92552
"078","6am",37.70521,62.29479
"079","6am",48.13956,51.86044
"080","6am",47.96184,52.03816
"001","7am",48.0402,51.9598
"002","7am",44.28854,55.71146
"003","7am",45.54667,54.45333
"004","7am",39.52711,60.47289
"005","7am",51.86705,48.13295
"006","7am",48.53535,51.46465
"007","7am",44.68158,55.31842
"008","7am",35.51911,64.48089
"009","7am",41.25486,58.74514
"010","7am",44.81364,55.18636
"011","7am",45.24462,54.75538
"012","7am",47.47504,52.52496
"013","7am",53.52733,46.47267
"014","7am",44.31976,55.68024
"015","7am",36.63713,63.36287
"016","7am",40.84452,59.15548
"017","7am",42.88169,57.11831
"018","7am",46.42333,53.57667
"019","7am",49.79651,50.20349
"020","7am",44.34743,55.65257
"021","7am",55.33664,44.66336
"022","7am",45.73895,54.26105
"023","7am",47.56936,52.43064
"024","7am",41.51126,58.48874
"025","7am",47.85764,52.14236
"026","7am",45.0375,54.9625
"027","7am",49.87888,50.12112
"028","7am",41.71562,58.28438
"029","7am",54.26673,45.73327
"030","7am",45.07616,54.92384
"031","7am",45.53126,54.46874
"032","7am",55.94384,44.05616
"033","7am",45.41454,54.58546
"034","7am",45.26264,54.73736
"035","7am",52.95943,47.04057
"036","7am",51.64153,48.35847
"037","7am",50.32386,49.67614
"038","7am",47.18847,52.81153
"039","7am",47.34451,52.65549
"040","7am",47.548,52.452
"041","7am",38.39342,61.60658
"042","7am",48.91843,51.08157
"043","7am",56.00215,43.99785
"044","7am",38.59263,61.40737
"045","7am",46.83714,53.16286
"046","7am",43.67338,56.32662
"047","7am",45.87356,54.12644
"048","7am",37.66789,62.33211
"049","7am",42.50735,57.49265
"050","7am",50.29838,49.70162
"051","7am",47.58961,52.41039
"052","7am",44.01391,55.98609
"053","7am",42.84189,57.15811
"054","7am",57.90832,42.09168
"055","7am",48.20659,51.79341
"056","7am",40.85901,59.14099
"057","7am",43.55744,56.44256
"058","7am",44.05408,55.94592
"059","7am",43.0154,56.9846
"060","7am",42.1607,57.8393
"061","7am",43.37725,56.62275
"062","7am",47.8878,52.1122
"063","7am",45.03102,54.96898
"064","7am",41.45556,58.54444
"065","7am",50.70804,49.29196
"066","7am",51.10863,48.89137
"067","7am",45.97724,54.02276
"068","7am",46.31141,53.68859
"069","7am",45.56716,54.43284
"070","7am",49.70836,50.29164
"071","7am",44.77388,55.22612
"072","7am",45.68999,54.31001
"073","7am",47.34283,52.65717
"074","7am",41.2025,58.7975
"075","7am",53.85829,46.14171
"076","7am",51.38486,48.61514
"077","7am",41.76083,58.23917
"078","7am",34.95207,65.04793
"079","7am",45.80187,54.19813
"080","7am",49.40616,50.59384
"001","8am",46.3755,53.6245
"002","8am",39.62742,60.37258
"003","8am",43.03096,56.96904
"004","8am",36.10087,63.89913
"005","8am",50.9494,49.0506
"006","8am",43.38509,56.61491
"007","8am",45.28029,54.71971
"008","8am",38.38204,61.61796
"009","8am",40.2262,59.7738
"010","8am",44.74749,55.25251
"011","8am",50.11484,49.88516
"012","8am",47.11086,52.88914
"013","8am",57.10667,42.89333
"014","8am",46.82611,53.17389
"015","8am",39.83269,60.16731
"016","8am",43.7803,56.2197
"017","8am",43.26895,56.73105
"018","8am",41.86879,58.13121
"019","8am",45.89434,54.10566
"020","8am",43.51419,56.48581
"021","8am",61.95118,38.04882
"022","8am",44.09587,55.90413
"023","8am",44.00771,55.99229
"024","8am",42.95286,57.04714
"025","8am",47.08124,52.91876
"026","8am",44.11069,55.88931
"027","8am",55.60092,44.39908
"028","8am",38.70134,61.29866
"029","8am",51.16846,48.83154
"030","8am",42.61895,57.38105
"031","8am",47.09678,52.90322
"032","8am",54.90282,45.09718
"033","8am",43.5195,56.4805
"034","8am",48.61092,51.38908
"035","8am",55.82136,44.17864
"036","8am",50.37633,49.62367
"037","8am",50.94316,49.05684
"038","8am",49.97129,50.02871
"039","8am",50.95797,49.04203
"040","8am",47.76191,52.23809
"041","8am",46.33531,53.66469
"042","8am",42.51919,57.48081
"043","8am",57.90562,42.09438
"044","8am",38.2369,61.7631
"045","8am",45.96235,54.03765
"046","8am",43.86827,56.13173
"047","8am",44.06731,55.93269
"048","8am",37.3753,62.6247
"049","8am",42.81735,57.18265
"050","8am",44.3831,55.6169
"051","8am",48.4708,51.5292
"052","8am",39.74178,60.25822
"053","8am",43.42951,56.57049
"054","8am",54.79644,45.20356
"055","8am",50.61309,49.38691
"056","8am",44.39218,55.60782
"057","8am",43.054,56.946
"058","8am",43.28696,56.71304
"059","8am",45.35645,54.64355
"060","8am",40.65496,59.34504
"061","8am",45.87124,54.12876
"062","8am",48.70115,51.29885
"063","8am",45.05136,54.94864
"064","8am",38.41812,61.58188
"065","8am",51.2191,48.7809
"066","8am",49.67568,50.32432
"067","8am",47.45759,52.54241
"068","8am",44.46396,55.53604
"069","8am",50.21045,49.78955
"070","8am",51.54758,48.45242
"071","8am",40.18671,59.81329
"072","8am",47.06055,52.93945
"073","8am",43.4526,56.5474
"074","8am",41.00976,58.99024
"075","8am",55.43854,44.56146
"076","8am",52.91581,47.08419
"077","8am",42.35028,57.64972
"078","8am",35.50818,64.49182
"079","8am",45.42002,54.57998
"080","8am",47.42629,52.57371
"001","9am",42.20265,57.79735
"002","9am",39.45722,60.54278
"003","9am",44.49216,55.50784
"004","9am",33.48283,66.51717
"005","9am",51.09249,48.90751
"006","9am",42.6241,57.3759
"007","9am",43.31603,56.68397
"008","9am",39.68711,60.31289
"009","9am",39.31759,60.68241
"010","9am",45.83837,54.16163
"011","9am",50.42373,49.57627
"012","9am",47.64563,52.35437
"013","9am",55.45852,44.54148
"014","9am",46.52889,53.47111
"015","9am",37.4064,62.5936
"016","9am",39.53585,60.46415
"017","9am",43.73581,56.26419
"018","9am",42.79037,57.20963
"019","9am",43.2931,56.7069
"020","9am",40.94173,59.05827
"021","9am",52.59987,47.40013
"022","9am",44.27685,55.72315
"023","9am",46.80428,53.19572
"024","9am",43.61748,56.38252
"025","9am",47.29138,52.70862
"026","9am",41.84298,58.15702
"027","9am",56.38381,43.61619
"028","9am",42.30492,57.69508
"029","9am",51.44666,48.55334
"030","9am",45.50568,54.49432
"031","9am",47.4277,52.5723
"032","9am",52.76774,47.23226
"033","9am",45.97049,54.02951
"034","9am",45.77276,54.22724
"035","9am",55.15522,44.84478
"036","9am",43.96069,56.03931
"037","9am",52.54124,47.45876
"038","9am",51.23665,48.76335
"039","9am",52.39709,47.60291
"040","9am",45.62112,54.37888
"041","9am",47.80741,52.19259
"042","9am",39.60231,60.39769
"043","9am",54.52263,45.47737
"044","9am",36.89593,63.10407
"045","9am",46.16085,53.83915
"046","9am",43.87297,56.12703
"047","9am",42.84657,57.15343
"048","9am",34.48628,65.51372
"049","9am",45.52196,54.47804
"050","9am",46.51968,53.48032
"051","9am",48.24671,51.75329
"052","9am",42.01589,57.98411
"053","9am",44.30529,55.69471
"054","9am",58.81245,41.18755
"055","9am",50.77253,49.22747
"056","9am",45.00116,54.99884
"057","9am",46.78817,53.21183
"058","9am",45.92224,54.07776
"059","9am",42.83041,57.16959
"060","9am",41.67013,58.32987
"061","9am",45.16115,54.83885
"062","9am",50.49951,49.50049
"063","9am",47.81843,52.18157
