"district","hour","educmen1","educmen2","educmen3","educmen4"
"025","5am",0,25.312,21.6862,53.0018066
"026","5am",4.939561,20.44771,22.36425,52.2484784
"027","5am",1.328151,51.10107,23.81991,23.7508627
"028","5am",2.669386,28.1855,42.57973,26.5653877
"029","5am",5.121069,40.70951,34.51355,19.655875
"030","5am",3.28368,29.83779,36.08553,30.7930011
"031","5am",17.503159,42.2927,28.91656,11.2875751
"032","5am",4.160644,40.72381,35.40891,19.7066359
"033","5am",4.631652,50.82375,27.00375,17.5408491
"034","5am",6.77699,36.56048,36.84478,19.8177507
"035","5am",1.663645,49.49689,25.85364,22.9858225
"036","5am",4.74309,36.26194,38.19047,20.8044981
"037","5am",5.371244,43.88047,32.33939,18.4089023
"038","5am",7.436384,34.56362,36.84955,21.1504505
"039","5am",1.763169,29.91226,45.61696,22.7076044
"040","5am",6.374135,28.43451,32.49239,32.6989632
"041","5am",5.920668,40.76222,27.11329,26.2038314
"042","5am",6.1818,37.54139,35.82603,20.4507705
"043","5am",20.481057,31.69781,30.99203,16.8291009
"044","5am",11.332993,50.96906,28.35958,9.3383621
"045","5am",1.875562,63.0315,20.90551,14.1874292
"046","5am",3.855943,54.54542,25.34897,16.2496686
"047","5am",6.986931,39.93543,39.57442,13.5032177
"048","5am",13.87456,39.7139,31.25074,15.160797
"049","5am",4.000558,47.6775,29.8547,18.4672332
"050","5am",7.677713,46.58749,33.92469,11.8101138
"051","5am",9.647645,41.99554,26.90042,21.4563929
"052","5am",6.92992,36.32875,27.48744,29.253887
"053","5am",14.702038,38.79247,25.94372,20.5617766
"054","5am",8.701775,52.92255,27.35368,11.0219922
"055","5am",6.62124,45.27994,35.10173,12.9970907
"056","5am",9.598999,43.99745,36.61289,9.7906647
"057","5am",2.210223,29.86901,38.26248,29.6582946
"058","5am",9.604944,65.20313,15.36379,9.8281388
"059","5am",12.380931,57.60364,22.59356,7.4218702
"060","5am",23.476255,45.6403,28.50644,2.3770076
"061","5am",10.910635,51.61953,26.23242,11.2374125
"062","5am",1.838388,50.84581,24.55692,22.7588869
"063","5am",4.247753,41.56768,35.48255,18.7020193
"064","5am",5.56443,48.53656,29.73929,16.1597219
"065","5am",14.297034,47.77127,26.15492,11.7767729
"066","5am",5.811477,50.0075,22.71698,21.4640487
"067","5am",11.43606,48.60535,28.60764,11.3509542
"068","5am",9.027758,51.76877,33.76209,5.4413791
"069","5am",9.237248,47.27089,32.41242,11.0794484
"070","5am",10.333669,47.83641,33.59615,8.2337721
"071","5am",16.992119,65.73575,14.60436,2.6677808
"072","5am",16.209006,56.69451,19.84576,7.250721
"073","5am",10.305965,55.14941,18.2363,16.3083327
"074","5am",12.789638,56.4749,19.89547,10.8399913
"075","5am",13.835005,58.70912,18.76314,8.692737
"076","5am",21.620563,58.54994,15.29784,4.5316619
"077","5am",15.682379,27.34959,41.33712,15.6309159
"078","5am",16.382739,36.60718,30.77941,16.2306771
"079","5am",16.285536,44.48375,24.84048,14.390228
"080","5am",22.654853,32.36264,26.42029,18.5622176
"001","6am",0,24.77983,23.74158,51.478585
"002","6am",0,17.28973,40.20013,42.510137
"003","6am",5.241942,25.86241,33.36307,35.532584
"004","6am",6.917666,37.14157,31.59515,24.34561
"005","6am",3.165471,26.18197,31.07778,39.574776
"006","6am",10.512888,19.19148,30.03934,40.256301
"007","6am",0,19.85194,33.40953,46.73853
"008","6am",11.495148,27.35206,29.95051,31.202285
"009","6am",4.277818,33.85119,27.75815,34.112844
