"district","hour","resarea1","resarea2","resarea3"
"012","6am",0,28.54069,8535.18852
"013","6am",54.15303,596.16888,7046.60624
"014","6am",176.02698,18.7823,10560.4072
"015","6am",21.85929,0,4651.06168
"016","6am",0,122.4123,5330.91592
"017","6am",53.33701,40.25747,7185.04882
"018","6am",0,43.50838,11019.9679
"019","6am",182.9961,24.75129,5843.97259
"020","6am",0,0,6712.20036
"021","6am",59.7954,0,5304.47114
"022","6am",349.71485,639.42291,14897.86268
"023","6am",296.61506,113.63079,6244.60882
"024","6am",0,65.01489,6035.2137
"025","6am",88.21586,46.69436,7448.87461
"026","6am",121.68968,71.22445,7879.69371
"027","6am",159.57636,82.09505,5962.53085
"028","6am",0,102.2578,9425.28873
"029","6am",59.305,6769.62495,271.32702
"030","6am",0,4522.09915,239.00075
"031","6am",8047.97666,0,72.1823
"032","6am",7511.59391,144.32789,20.96324
"033","6am",0,10242.77776,282.63037
"034","6am",43.98354,2381.85761,50.41814
"035","6am",369.27646,6737.54379,369.01517
"036","6am",194.90512,6154.139,236.23963
"037","6am",78.09452,8158.54947,330.79346
"038","6am",20.15669,5575.58397,45.3437
"039","6am",0,4950.57354,81.81852
"040","6am",0,10729.41867,214.83271
"041","6am",0,5666.2531,213.71307
"042","6am",0,3635.06489,0
"043","6am",106.0917,6728.10123,0
"044","6am",4625.76412,0,0
"045","6am",43.14698,5974.22612,0
"046","6am",0,5918.64984,0
"047","6am",59.7954,6323.62561,203.65436
"048","6am",5486.65598,0,0
"049","6am",5128.96384,0,29.32423
"050","6am",2985.63526,55.79515,0
"051","6am",0,3224.79173,0
"052","6am",5427.07001,0,18.55674
"053","6am",7088.18623,0,0
"054","6am",6803.61999,46.5271,127.00492
"055","6am",4777.28345,0,0
"056","6am",0,7190.75344,53.35661
"057","6am",114.84797,3736.47391,0
"058","6am",232.42856,7021.11501,0
"059","6am",102.38093,10694.24915,0
"060","6am",0,6716.97881,0
"061","6am",9484.23133,0,0
"062","6am",9014.57914,85.07377,0
"063","6am",3530.59678,0,0
"064","6am",7408.01533,0,0
"065","6am",7428.48703,0,53.19088
