"district","hour","resarea1","resarea2","resarea3"
"001","4am",0,1.6105082,98.3894918
"002","4am",0,0,100
"003","4am",0,1.2023446,98.7976554
"004","4am",1.6334685,0,98.3665315
"005","4am",0.8074026,4.0642685,95.1283288
"006","4am",0.2548876,0.4571565,99.2879559
"007","4am",0,1.3490481,98.6509519
"008","4am",0,0,100
"009","4am",1.2022382,0,98.7977618
"010","4am",0.5404964,0,99.4595036
"011","4am",0,0.3609003,99.6390997
"012","4am",0,0.3241081,99.6758919
"013","4am",0.7571278,2.4962125,96.7466597
"014","4am",0.324626,0,99.675374
"015","4am",0.4500342,0,99.5499658
"016","4am",0,0,100
"017","4am",0,0,100
"018","4am",0,0,100
"019","4am",1.6977834,0,98.3022166
"020","4am",0,0,100
"021","4am",0,0,100
"022","4am",0.8540434,1.1102703,98.0356863
"023","4am",0,0,100
"024","4am",0,0,100
"025","4am",0.5701551,0,99.4298449
"026","4am",0.7381681,0.4898507,98.7719813
"027","4am",1.885964,0.8602899,97.2537461
"028","4am",0,0,100
"029","4am",0,99.1825816,0.8174184
"030","4am",0,98.1423404,1.8576596
"031","4am",100,0,0
"032","4am",99.3485363,0,0.6514637
"033","4am",0,98.2297248,1.7702752
"034","4am",0,100,0
"035","4am",1.2086064,98.7913936,0
"036","4am",0,97.6419939,2.3580061
"037","4am",0,98.1762593,1.8237407
"038","4am",0,100,0
"039","4am",0,99.2743213,0.7256787
"040","4am",0,98.7656737,1.2343263
"041","4am",0,98.2408461,1.7591539
"042","4am",0,100,0
"043","4am",0.7084736,99.2915264,0
"044","4am",100,0,0
"045","4am",0.6863426,99.3136574,0
"046","4am",0,100,0
"047","4am",0.5434946,96.5345574,2.9219479
"048","4am",100,0,0
"049","4am",100,0,0
"050","4am",98.1952082,1.8047918,0
"051","4am",0,100,0
"052","4am",99.686826,0,0.313174
"053","4am",100,0,0
"054","4am",99.3188009,0,0.6811991
"055","4am",100,0,0
"056","4am",0,99.2744423,0.7255577
"057","4am",1.1779734,98.8220266,0
"058","4am",0,100,0
"059","4am",0,100,0
"060","4am",0,100,0
"061","4am",100,0,0
"062","4am",99.1210953,0.8789047,0
"063","4am",100,0,0
"064","4am",100,0,0
"065","4am",99.3350241,0,0.6649759
"066","4am",98.3757972,1.0001035,0.6240993
"067","4am",98.4163272,1.2406164,0.3430564
"068","4am",99.1944093,0.8055907,0
"069","4am",100,0,0
"070","4am",0,100,0
"071","4am",0,100,0
"072","4am",0.8535446,99.1464554,0
"073","4am",0,99.1593298,0.8406702
"074","4am",1.1803249,98.0438465,0.7758287
"075","4am",1.3316755,98.6683245,0
"076","4am",0,100,0
"077","4am",100,0,0
"078","4am",100,0,0
"079","4am",100,0,0
"080","4am",99.4070561,0,0.5929439
"001","5am",1.2048251,1.5869822,97.2081927
"002","5am",0,0.988467,99.011533
"003","5am",0,1.6073146,98.3926854
"004","5am",1.6422136,0,98.3577864
"005","5am",0.8074026,4.0642685,95.1283288
"006","5am",0.2548876,0.4571565,99.2879559
"007","5am",0,1.6537446,98.3462554
"008","5am",0,0,100
"009","5am",1.1535785,2.6043534,96.242068
"010","5am",0.5521154,0,99.4478846
"011","5am",0.2955969,1.7958652,97.9085379
"012","5am",0,0.3291116,99.6708884
"013","5am",0.7350141,4.1174103,95.1475756
"014","5am",0,0,100
"015","5am",0.4541262,0,99.5458738
"016","5am",0,0,100
"017","5am",0.7164368,0,99.2835632
"018","5am",0,0,100
"019","5am",1.6977834,0,98.3022166
"020","5am",0,0,100
"021","5am",0,0,100
"022","5am",0.8442441,1.4539741,97.7017818
"023","5am",3.7148409,0.4697445,95.8154145
"024","5am",0,1.0179498,98.9820502
"025","5am",0.5668507,0,99.4331493
"026","5am",0.7381681,0.4898507,98.7719813
"027","5am",1.9189305,0.8753277,97.2057417
"028","5am",0,0,100
"029","5am",0.2394825,96.4997851,3.2607324
"030","5am",0,98.1423404,1.8576596
"031","5am",100,0,0
"032","5am",98.3719429,0.9805818,0.6474753
"033","5am",0,97.8779362,2.1220638
"034","5am",0,97.9779023,2.0220977
"035","5am",1.6755186,96.690993,1.6334885
"036","5am",0.9300207,96.7339031,2.3360762
"037","5am",0.4018172,96.6645423,2.9336406
"038","5am",0,99.2276423,0.7723577
"039","5am",0,98.4295479,1.5704521
"040","5am",0,98.2712233,1.7287767
"041","5am",0,98.2408461,1.7591539
"042","5am",0,100,0
"043","5am",0.7054582,99.2945418,0
"044","5am",100,0,0
"045","5am",0.6955872,99.3044128,0
"046","5am",0,100,0
"047","5am",0,96.948824,3.051176
"048","5am",100,0,0
"049","5am",99.4551229,0,0.5448771
"050","5am",98.1848542,1.8151458,0
"051","5am",0,100,0
"052","5am",99.6847763,0,0.3152237
"053","5am",100,0,0
"054","5am",98.8436607,0.4674757,0.6888636
"055","5am",100,0,0
"056","5am",0,99.2634484,0.7365516
"057","5am",2.9259477,97.0740523,0
"058","5am",0,100,0
"059","5am",0.2599683,99.7400317,0
"060","5am",0,100,0
"061","5am",100,0,0
"062","5am",99.1187842,0.8812158,0
"063","5am",100,0,0
"064","5am",100,0,0
"065","5am",99.3305603,0,0.6694397
"066","5am",98.3757972,1.0001035,0.6240993
"067","5am",98.368911,1.2777612,0.3533278
"068","5am",99.1733579,0.8266421,0
"069","5am",100,0,0
"070","5am",0,100,0
"071","5am",0,100,0
"072","5am",0.8710214,99.1289786,0
"073","5am",0,99.6925576,0.3074424
"074","5am",1.2111673,97.9927313,0.7961014
"075","5am",1.9684148,97.5971972,0.434388
"076","5am",0,100,0
"077","5am",100,0,0
"078","5am",100,0,0
"079","5am",100,0,0
"080","5am",99.3982234,0,0.6017766
"001","6am",1.1886024,2.4571376,96.35426
"002","6am",0,0.9984811,99.0015189
"003","6am",0.2153679,2.7496173,97.0350148
"004","6am",1.6643791,0,98.3356209
"005","6am",0.8150442,4.8487075,94.3362482
"006","6am",0,1.1988253,98.8011747
"007","6am",0,2.0021612,97.9978388
"008","6am",0,0,100
"009","6am",2.3552267,3.5920143,94.0527589
"010","6am",0.5619236,0,99.4380764
"011","6am",0.6070177,1.5226178,97.8703645
"012","6am",0,0.3332741,99.6667259
"013","6am",0.7035668,7.745543,91.5508902
"014","6am",1.6366661,0.1746343,98.1886996
"015","6am",0.4677864,0,99.5322136
"016","6am",0,2.2447264,97.7552736
"017","6am",0.7327878,0.5530903,98.7141219
"018","6am",0,0.3932614,99.6067386
"019","6am",3.0238693,0.408996,96.5671348
"020","6am",0,0,100
"021","6am",1.1146985,0,98.8853015
"022","6am",2.2012642,4.0248184,93.7739175
"023","6am",4.457123,1.7074872,93.8353898
"024","6am",0,1.0657779,98.9342221
"025","6am",1.1632168,0.6157131,98.22107
"026","6am",1.5074395,0.8822979,97.6102626
"027","6am",2.572069,1.3232169,96.1047142
"028","6am",0,1.0732858,98.9267142
"029","6am",0.8352515,95.3433795,3.821369
"030","6am",0,94.9801358,5.0198642
"031","6am",99.1110728,0,0.8889272
"032","6am",97.8468985,1.8800319,0.2730696
"033","6am",0,97.3147799,2.6852201
"034","6am",1.776209,96.1877304,2.0360606
"035","6am",4.9396013,90.1242926,4.9361061
"036","6am",2.9597072,93.4529055,3.5873873
"037","6am",0.9115272,95.227418,3.8610549
"038","6am",0.3573194,98.8388688,0.8038118
"039","6am",0,98.3741624,1.6258376
"040","6am",0,98.0370269,1.9629731
"041","6am",0,96.3654031,3.6345969
"042","6am",0,100,0
"043","6am",1.5523662,98.4476338,0
"044","6am",100,0,0
"045","6am",0.7170401,99.2829599,0
"046","6am",0,100,0
"047","6am",0.9077686,96.0005048,3.0917266
"048","6am",100,0,0
"049","6am",99.4315124,0,0.5684876
"050","6am",98.1654964,1.8345036,0
"051","6am",0,100,0
"052","6am",99.6592359,0,0.3407641
"053","6am",100,0,0
"054","6am",97.5128531,0.6668495,1.8202974
"055","6am",100,0,0
"056","6am",0,99.2634484,0.7365516
"057","6am",2.9820403,97.0179597,0
"058","6am",3.204345,96.795655,0
"059","6am",0.9482675,99.0517325,0
"060","6am",0,100,0
"061","6am",100,0,0
"062","6am",99.0650877,0.9349123,0
"063","6am",100,0,0
"064","6am",100,0,0
"065","6am",99.2890515,0,0.7109485
"066","6am",98.7148392,0.6191101,0.6660507
"067","6am",97.6166274,2.0327317,0.3506409
"068","6am",99.1554865,0.8445135,0
"069","6am",99.4095006,0.5904994,0
"070","6am",0.6491774,99.200673,0.1501496
"071","6am",0,100,0
"072","6am",0.8750615,99.1249385,0
"073","6am",0,99.6710989,0.3289011
"074","6am",3.0887749,96.1333744,0.7778507
"075","6am",1.9801125,97.6473335,0.3725541
"076","6am",0,100,0
"077","6am",100,0,0
