"hour","Duncan","Moran"
"min",0.1124,0.132840314736957
"max",0.314,0.641533561968454
"4am",0.2371,0.401120049218883
"5am",0.2371,0.400212053249498
"6am",0.2374,0.408172192841968
"7am",0.231,0.408133757819671
"8am",0.2226,0.407848093252301
"9am",0.2136,0.438271213400221
"10am",0.2205,0.446997967679137
"11am",0.2159,0.452234505543084
"12am",0.2151,0.42662828855249
"1pm",0.2189,0.418850904779533
"2pm",0.2146,0.439284603782685
"3pm",0.2181,0.423712621159579
"4pm",0.2207,0.432171008901139
"5pm",0.2244,0.431799359364916
"6pm",0.2334,0.417580781694423
"7pm",0.2338,0.400554018761404
"8pm",0.2405,0.408367152271232
"9pm",0.2379,0.39618477117411
"10pm",0.2393,0.39743496244004
"11pm",0.2346,0.39845952250679
"12pm",0.2358,0.394844194692649
"1am",0.235,0.396809480918479
"2am",0.2358,0.396429553004324
"3am",0.2367,0.395527864209435
