SECT_EGT;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9
7501;41330.287411368;48607.647054705;47631.723838804;47975.7342916054;50746.8686895238;52458.6308137284;48770.1382146327;45212.6046773811;34293.241393163;25874.8843503026;17428.8640804516;16976.9797335303;16259.3642190342;15810.7613074581;15471.6328471304;13853.7157545136;13533.6960172588;13057.9694194652;12919.1190666151;12919.1190666151;14277.531717986;15599.4906451535;17837.9295484282;28782.9422208058
7502;38574.6532891789;39086.9199878286;41189.8645805106;39971.8597660967;41017.169514588;44874.9275226617;43219.3187361358;40263.01762312;26469.3429789228;22991.552316042;19229.0278052068;16859.7156818994;16773.3332385934;13626.1359343221;11438.7194083009;10715.2522895821;12689.6637075949;12689.6637075949;11894.9157585646;12232.1078307431;12232.1078307431;11847.2133473833;15676.1170491803;27961.746742845
7503;53499.4310439945;58836.810536466;59104.8401938659;57309.4714867446;58650.475359837;60212.2356061023;54007.2312062921;53712.2972169428;35051.2795318457;23020.7811765919;17683.9806829288;15472.8437494663;14895.2894371421;14088.476310524;11075.2840558165;11130.8411758606;11130.8411758606;11130.8411758606;10124.7739200551;10124.7739200551;10124.7739200551;13259.0589027388;17307.5036358181;37036.0251912854
7504;22105.3019241234;21195.3761966661;19891.927997192;21576.2984707289;21368.3753908544;22767.4945541055;21944.2917756209;24389.0312771067;19369.6527347683;15729.9735926529;15035.1283167149;16205.2796674163;15248.9335461688;14348.3176038709;12909.5877380723;12909.5877380723;12909.5877380723;12909.5877380723;11996.2244826161;12367.9813365002;11411.3804991016;11543.5617283982;11974.5667459291;17789.4190432656
7505;16710.6041553753;18129.9845225129;18512.5613887116;18922.7262089527;16358.9347877489;17571.1125758979;19208.2555532841;15339.1983980578;14012.946581908;14817.3044961932;16628.2884203094;17326.8049762221;16828.8678625835;16410.4454518949;15042.3518975579;15524.5435690774;16828.2657109784;16828.2657109784;15501.5462518915;15501.5462518915;15501.5462518915;14861.6088686045;14231.3006389161;15536.0108892409
7506;33776.8732294229;34130.4600778619;33929.8550510079;30915.6354601746;29892.8993875361;28570.2411612518;27170.1935433807;24300.7310965283;24539.9757283184;25913.4130210483;29831.0825178984;30099.9439257979;29406.0465449798;24720.4070374755;26050.3365353347;25307.5438360635;25307.5438360635;25307.5438360635;25457.7544262671;25457.7544262671;25175.0437855129;27669.0142213538;28296.1003836916;31052.3487854217
7507;29903.167403201;31536.9994352537;28993.406721245;28470.30565651;27440.4873002064;27508.4117222857;24879.3488532856;24603.277202854;20891.0477808058;19355.1919039647;24133.4590766489;25722.4028192596;25802.6493468766;24297.5803497408;25352.9303277967;26489.8692947255;26489.8692947255;26489.8692947255;27126.2479733487;27340.3407493874;27275.6249961884;28253.5309687623;28866.3622141448;28559.1298190685
7508;19449.0319345827;18077.3108407709;18811.8615049676;20902.7592421771;21106.7119195876;20626.1734504363;20675.6136676144;18152.9027135129;17166.1528133781;18671.763238268;18496.2585692245;16484.2912747952;17164.5298736883;18503.0717066376;19781.3845102647;17888.4745696497;17888.4745696497;18364.2011674433;19638.3556389689;19638.3556389689;19638.3556389689;20866.754705159;20298.5460583314;20876.1650060515
7509;32579.9357424358;34262.8575160354;36726.6803871177;34514.2713823106;31848.3795106451;32740.6131181124;33443.468628985;33263.7140883987;30975.5215507844;27447.3811849623;27609.3372242043;26191.405170455;23768.1879805299;23378.9518316843;24825.1287791965;22566.3400557291;22566.3400557291;22720.954701538;20332.4874832307;21541.2783054689;21541.2783054689;20972.296246321;25307.4547191629;28506.5458452784
7510;16333.3097642929;17241.6857289623;17693.0095242733;19114.243571172;21442.80093156;18745.8326164555;18128.8459325406;17311.7322314759;15846.8157223928;13659.4968411941;12657.4374222597;12337.3715501177;11381.0170615154;11421.5381865184;13092.8885255235;13092.8885255235;12938.2738797147;12938.2738797147;11931.1939679274;11931.1939679274;11931.1939679274;10861.4192659745;12284.631069905;13334.7049788654
7511;23021.2422529833;23556.5319040825;24737.5329927716;22777.4128283133;24623.2779145157;24538.568323049;18209.622396073;16797.9548326226;16181.1531228611;17534.5079215098;17251.1484524473;17197.6133379715;16225.0034614577;15395.1299414972;15025.5684367051;14504.8545979797;14269.5507187058;14269.5507187058;13761.2332827112;13267.9564935815;13522.5150575044;13718.9748350961;17447.1168037246;19825.4502965469
