"ID_SEC";"ZONAGE_SEC"
"SANTIAGO_2012_211";2
"SANTIAGO_2012_229";2
"SANTIAGO_2012_220";2
"SANTIAGO_2012_244";3
"SANTIAGO_2012_243";3
"SANTIAGO_2012_248";3
"SANTIAGO_2012_247";3
"SANTIAGO_2012_250";2
"SANTIAGO_2012_253";2
"SANTIAGO_2012_261";2
"SANTIAGO_2012_260";2
"SANTIAGO_2012_264";2
"SANTIAGO_2012_282";2
"SANTIAGO_2012_279";2
"SANTIAGO_2012_274";2
"SANTIAGO_2012_287";2
"SANTIAGO_2012_288";2
"SANTIAGO_2012_296";2
"SANTIAGO_2012_293";2
"SANTIAGO_2012_294";2
"SANTIAGO_2012_297";2
"SANTIAGO_2012_302";2
"SANTIAGO_2012_305";2
"SANTIAGO_2012_312";2
"SANTIAGO_2012_327";1
"SANTIAGO_2012_325";1
"SANTIAGO_2012_339";3
"SANTIAGO_2012_346";3
"SANTIAGO_2012_351";3
"SANTIAGO_2012_356";3
"SANTIAGO_2012_367";3
"SANTIAGO_2012_363";3
"SANTIAGO_2012_364";3
"SANTIAGO_2012_370";3
"SANTIAGO_2012_417";2
"SANTIAGO_2012_380";2
"SANTIAGO_2012_391";2
"SANTIAGO_2012_399";2
"SANTIAGO_2012_402";2
"SANTIAGO_2012_385";2
"SANTIAGO_2012_386";2
"SANTIAGO_2012_387";2
"SANTIAGO_2012_388";2
"SANTIAGO_2012_389";2
"SANTIAGO_2012_398";2
"SANTIAGO_2012_407";2
"SANTIAGO_2012_414";2
"SANTIAGO_2012_415";2
"SANTIAGO_2012_418";2
"SANTIAGO_2012_423";3
"SANTIAGO_2012_422";3
"SANTIAGO_2012_424";3
"SANTIAGO_2012_437";3
"SANTIAGO_2012_436";3
"SANTIAGO_2012_434";3
"SANTIAGO_2012_459";3
"SANTIAGO_2012_463";3
"SANTIAGO_2012_461";3
"SANTIAGO_2012_491";2
"SANTIAGO_2012_486";2
"SANTIAGO_2012_474";2
"SANTIAGO_2012_472";2
"SANTIAGO_2012_489";2
"SANTIAGO_2012_478";2
"SANTIAGO_2012_495";3
"SANTIAGO_2012_496";3
"SANTIAGO_2012_497";3
"SANTIAGO_2012_502";3
"SANTIAGO_2012_514";3
"SANTIAGO_2012_540";2
"SANTIAGO_2012_535";2
"SANTIAGO_2012_523";2
"SANTIAGO_2012_522";2
"SANTIAGO_2012_525";2
"SANTIAGO_2012_534";2
"SANTIAGO_2012_529";2
"SANTIAGO_2012_543";2
"SANTIAGO_2012_544";2
"SANTIAGO_2012_545";2
"SANTIAGO_2012_547";2
"SANTIAGO_2012_552";2
"SANTIAGO_2012_556";2
"SANTIAGO_2012_557";3
"SANTIAGO_2012_563";3
"SANTIAGO_2012_577";3
