"hour","sex1","sex2"
"4am",0.0619,0.0619
"5am",0.0636,0.0636
"6am",0.0667,0.0667
"7am",0.0699,0.0699
"8am",0.0835,0.0835
"9am",0.0848,0.0848
"10am",0.0778,0.0778
"11am",0.0779,0.0779
"12am",0.077,0.077
"1pm",0.0803,0.0803
"2pm",0.0774,0.0774
"3pm",0.0776,0.0776
"4pm",0.0768,0.0768
"5pm",0.0686,0.0686
"6pm",0.0703,0.0703
"7pm",0.0701,0.0701
"8pm",0.0663,0.0663
"9pm",0.0641,0.0641
"10pm",0.0666,0.0666
"11pm",0.064,0.064
"12pm",0.0624,0.0624
"1am",0.0621,0.0621
"2am",0.0619,0.0619
"3am",0.0619,0.0619
