"hour","age1","age2","age3","age4"
"4am",0.504860003252879,0.411526687673849,0.598286429293871,0.296150970889902
"5am",0.506400053816228,0.431245644895741,0.598982086919985,0.296659020454149
"6am",0.532631132950472,0.412552907709341,0.604072010919563,0.301913047137218
"7am",0.485566830756187,0.268470752329156,0.549496011229465,0.232645592928348
"8am",0.476974284493563,0.202256848358344,0.356105257033717,0.244840875329674
"9am",0.419629890371629,0.122838442521776,0.269040833645444,0.243917497050438
"10am",0.371453053455654,0.123089604276877,0.195348133833996,0.245672081905213
"11am",0.386797199598626,0.10872225546935,0.185047687764375,0.225599207415139
"12am",0.412797502497499,0.12113530715839,0.271872815142561,0.271255682425725
"1pm",0.394853903084998,0.0952915814628283,0.260906091136911,0.245103386879129
"2pm",0.394058462148236,0.18180197979963,0.273894593917861,0.234117073445191
"3pm",0.40462017302747,0.240137644681094,0.311292265384751,0.246524516567653
"4pm",0.469873631372482,0.264091731772679,0.39392910778804,0.214441454148315
"5pm",0.50887020739953,0.241136586563195,0.458874302736468,0.257738660142543
"6pm",0.523384448372296,0.368659932369799,0.520462243276385,0.286640637314344
"7pm",0.52285504635507,0.389980742983196,0.60328889464568,0.30660978643166
"8pm",0.528246361277076,0.386938522272951,0.626025796195302,0.285817869584052
"9pm",0.508478107677314,0.41549333912038,0.603091809943586,0.272202122750666
"10pm",0.49951280303494,0.405345910064307,0.598809225887868,0.290965549775949
"11pm",0.512981788106592,0.430706636360103,0.60272632494523,0.294903757112962
"12pm",0.514684091028964,0.432752375330972,0.590814648328015,0.307098877197875
"1am",0.5149223446171,0.428277094550459,0.590272773446773,0.300511015279177
"2am",0.510338541943119,0.423632010472736,0.58547517295219,0.303337015881862
"3am",0.506280977618157,0.421770047309893,0.582115894306592,0.304082375937138
