"hour","act1","act2","act3","act4","act5"
"4am",0.0965439491435892,0.210526533245077,-0.0346161303752499,0,0.270692414924392
"5am",0.0456795536096566,0.106756737635319,-0.0635304976163103,0,0.245128932245837
"6am",0.102180456518027,0.153398545887645,-0.0702700310718882,0.0215267690810635,0.23668962399863
"7am",0.0345187673969486,0.104662895314698,0.0640725453735203,-0.00279657778821639,0.0877449812122424
"8am",0.0911703227652456,0.157782295848852,0.167080812333037,0.149549990080526,0.110738199275903
"9am",0.148132239844264,0.0915371594344678,0.190711190609632,0.0495758146565722,-0.102098889445852
"10am",0.193560146863899,0.117385860820226,0.195024088237433,0.0754535621623195,-0.0124609898049537
"11am",0.213486167491984,0.153043940239,0.181691571346283,0.0173806976759095,0.136415775563973
"12am",0.313403136098818,0.147497442794024,0.139206205739291,0.0660796948352075,0.301995086367565
"1pm",0.263947930073386,0.167946104534863,0.177641776514477,0.0720388540286707,0.156918110249182
"2pm",0.220378393410319,0.164015427094319,0.193516878647394,0.0686820107007206,0.0785846333200455
"3pm",0.240835798970146,0.157243613782411,0.170176179721165,0.169726132493411,0.0268093007532291
"4pm",0.214551794403094,0.196160469487263,0.187060137631426,0.0475608641610523,0.117188662432736
"5pm",0.305418753489721,0.184156613000215,0.154914891263951,0.0468865785516758,0.200623101985642
"6pm",0.357043468835535,0.221102780024738,0.0638852098264598,0.0879935262226145,0.33408557145522
"7pm",0.33979884679423,0.166296214287714,0.0734745648405186,0.123913881680021,0.303977143342549
"8pm",0.306488786305346,0.112076739657918,0.162104968284981,0.21091467806042,0.305462760116469
"9pm",0.312825973082838,0.0272634342971084,0.0857515896633589,0.0238612707448633,0.324880790183273
"10pm",0.30523297112372,0.00842379550848407,0.0400417077232608,-0.0313748040682976,0.337077985895665
"11pm",0.336935988952934,0.000424314944278228,-0.0299531897218692,-0.0158316243210271,0.364187285317322
"12pm",0.328416372830677,-0.0409579279649429,-0.00961422543701025,-0.00602772754671489,0.396200398959939
"1am",0.165191303189834,-0.0324652802147055,0,-0.00602772754671489,0.266869356159772
"2am",0.0925363660339782,0.00149065929708998,0,-0.00602772754671489,0.190490464247582
"3am",0.0682939951936537,-0.00410168680556102,0,-0.00602772754671489,0.168420478457141
