SECT_EGT;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9
7501;27.1357940459083;25.8687070550509;25.5240727951473;26.5027822152943;26.924879427489;28.7586748287594;30.6609102261691;32.4228250638003;35.5569962353095;34.0824195736732;36.5449322376034;34.4653883333519;32.1703208175082;30.2158309663116;29.182281804512;29.7573538740587;30.0335900104942;30.2350999543917;30.7361194446978;30.7361194446978;30.1090628099842;30.2805046348261;29.4252030145679;27.4768621173513
7502;25.5523106935977;27.5050407708059;28.9906092985042;28.1061923070193;26.2137527087133;25.7686094092371;25.4845850906581;25.5922495727575;26.9110586160506;26.0238393201324;25.584634621779;26.72558330889;26.5112511384273;27.2541142622319;26.9310935883193;26.0068923032324;25.6534498336295;26.2992436913749;26.3541697662303;26.2826012424306;26.1642108810444;25.5872209193901;27.0794380854357;26.8367498395606
7503;26.4919174025776;26.1246685013222;27.0097533635019;28.2487289529496;27.728662457405;28.5439991669543;29.9565772257745;30.2707402783601;29.762137941618;29.434574691444;29.6845620125193;26.0703402275527;26.841497040805;23.1628880949918;23.7697089066502;24.7222962100508;23.6948875745196;23.3718491764999;24.8554555865835;24.8554555865835;24.1396440956665;21.3596928129701;21.0932853390323;24.9502755481571
7504;31.2478382762346;28.183240984059;27.590334760291;28.0783792487812;29.0602290037403;28.1894674742833;27.9640220571091;28.2431781835827;26.6491881993106;28.9057073793086;27.2145167852581;28.2087872270448;27.5242130836381;28.0939991154208;26.5912481818732;28.7726761136326;28.2301471125115;28.7413465208598;29.9365038271421;29.7967519847567;30.3035150083234;30.3005891253399;29.778613986579;29.8924397592802
7505;23.4474107241553;24.1170132054983;25.828694837143;25.9067973923106;26.9536846670284;28.3148333674974;29.4869775247478;27.9712357234831;25.0455641858208;26.3621439913429;26.4364377685163;28.3748430864919;28.7759831695;28.6184786266328;29.1876363261975;27.7751346723173;27.3163053338425;27.2268544228501;25.7024936928136;25.7024936928136;25.7183705815249;26.1100799458709;25.2443564318363;25.9090690350623
7506;24.8330142167039;25.495957069462;26.583684106154;28.5996522177149;29.8756940237373;28.1075496638275;29.9295915719537;31.8365601070211;26.704421104249;22.3843931967209;19.2333242772107;18.0847040176589;17.8279542036453;18.024975510133;16.9405077343676;17.4236822109484;18.0280679198819;17.9916736339127;19.3014555918494;19.3014555918494;19.3912228513784;18.640932536357;21.5285283066164;21.359652563207
7507;27.564213663317;28.1219266898807;28.0305025530345;28.4167776215622;28.9999655940068;30.2586670354012;29.3010616185681;26.4275007313987;24.6121849087614;24.7243125656563;25.0801488708593;23.7412565798648;23.8218185203282;23.7990509053535;23.5830971670664;23.4982710140972;24.1358831484224;23.6768315396458;24.5769180713935;24.5395330216115;24.0500583882841;24.0834479905181;25.4385123574813;27.1262673325059
7508;28.6704629937105;29.2606786285238;30.8814649693834;30.6449663357294;29.1187003053895;27.3212698112435;26.975872826545;29.3591681758073;29.4403518121529;31.4452263538729;29.5558573185872;27.6917041648029;26.3933865794606;25.3929606610151;24.6658091559892;26.1171432052008;25.6496114747323;25.5299304346397;25.8708548755144;25.9768431918335;25.9324250009923;25.1363861828588;24.6094194464086;25.794506590538
7509;32.5952075897761;31.6900055259271;31.1906076445915;31.6140729958891;33.4038935359848;33.7388667737608;33.1914949896042;32.6091265116434;30.9283010183465;27.7726447853429;28.0464483033867;32.1468868355785;33.0552040014938;33.2157078392294;33.2155247408576;32.7808575038461;32.5089188808784;32.4812907609185;31.7081381372782;31.4857275772816;31.0732394861677;30.9490597287824;30.5127461481946;29.191203946235
7510;33.453496014153;31.4402484635335;32.1586554018891;31.1214117998717;29.9666995340047;30.3573799037573;30.142426745348;30.6970108407156;30.6879545511136;26.9085696423077;29.0353787293338;29.7333918074433;28.7600261856892;29.4851241497857;29.4897234709177;29.6387519726413;29.5789293883478;29.2554894709345;29.7970019772447;28.9695091100281;28.5084600709402;27.6499220571653;27.8587365670238;27.8748544493737
7511;26.6617772390678;26.7267946507379;25.573601484366;28.3422332645481;26.5647011375882;28.2966621368532;26.4580567336166;25.7695875215299;26.1930338441151;26.8245176647793;23.9201082513768;23.4207811375106;22.0359458581061;23.0913885027087;23.5600917157961;25.1883968935933;25.3995515567258;25.503726733489;25.9339677417829;25.9900842079309;25.5618847561098;25.1341444313733;25.3587183758797;22.5342797029253
7512;22.2325609136383;23.0241907610671;22.9120161715515;20.872737251548;21.973606196167;21.0580991206045;23.389079192724;19.4434521977298;23.5242391818758;26.2717919266226;26.3260473483616;27.7942737303408;27.6708255315461;28.0197096965664;28.5867427556965;28.7659229566005;28.6617909839279;28.0013801385908;28.8087980358591;28.8737801506835;28.8898032298441;28.065538370964;25.3314545231258;23.483192706501
7513;23.0881871945127;22.5699784445034;23.3606066624187;23.250481866061;22.9044883558935;20.3917274162813;19.6519959200661;20.2449317510148;18.4811413173381;22.6261326731948;20.6506380593713;20.3748109141801;22.278107866033;22.4485635464512;22.0098000300708;21.7378076205291;21.6060796172516;21.6060796172516;21.9487205183134;21.9487205183134;21.8560989393801;20.8144036804396;21.3953638210818;21.9145814824741
7514;22.1850485970942;23.4994064801733;24.3958869721235;21.7949313089101;20.8950879995989;21.7434101940995;20.2316972012021;22.2553263646106;25.2221881026626;22.8604047781557;26.3272437526436;28.5745998071771;29.911489934287;29.4954482251259;29.0668883476998;29.5005559387492;29.7552986058403;29.3355922544303;29.6271038706177;29.7015478021426;29.6646591649397;28.8054435329793;27.8364778903149;25.2648704152705
