"hour","Duncan","Moran"
"min",0.0686,0.0590409547707315
"max",0.1898,0.41472251787493
"4am",0.0838,0.164705245488824
"5am",0.0837,0.168908046748493
"6am",0.0831,0.185970362887056
"7am",0.0905,0.230030844169605
"8am",0.1116,0.308166712359584
"9am",0.1506,0.265115180002556
"10am",0.1736,0.257580820324798
"11am",0.1671,0.246663871918798
"12am",0.1718,0.214827651528901
"1pm",0.1684,0.23986031668235
"2pm",0.167,0.261358156654694
"3pm",0.1608,0.27277050025443
"4pm",0.1608,0.255588394253413
"5pm",0.1512,0.211510523654167
"6pm",0.1323,0.239470459788555
"7pm",0.109,0.195074827944501
"8pm",0.0958,0.176442142644779
"9pm",0.0892,0.190620990785116
"10pm",0.084,0.202431358435136
"11pm",0.0837,0.196905044590698
"12pm",0.0839,0.182023346132004
"1am",0.0813,0.191677570282817
"2am",0.0805,0.183772387258768
"3am",0.0807,0.179839914377704
