"district","hour","cs1","cs2","cs3","cs4","cs5"
"9501","4am",10.012195,26.590211,29.861415,26.667889,6.868291
"9502","4am",16.745704,35.672762,17.36901,23.18453,7.027994
"9503","4am",12.015752,34.897908,16.290147,29.904846,6.8913471
"9504","4am",12.307309,26.595291,23.998985,24.51848,12.5799357
"9505","4am",16.683434,28.898735,34.633582,16.39279,3.3914585
"9506","4am",23.986079,38.085797,21.097808,10.950876,5.8794389
"9507","4am",26.816893,44.549927,18.283266,8.249621,2.1002934
"9508","4am",25.3216,27.780409,28.310252,12.799908,5.7878307
"9509","4am",13.916304,24.681421,24.306774,31.470913,5.6245874
"9510","4am",13.243774,21.748574,28.586115,26.296601,10.1249354
"9511","4am",6.845114,19.50155,27.51204,29.967752,16.1735434
"9512","4am",15.525598,17.381589,27.195973,24.867019,15.0298222
"9513","4am",17.36175,26.443651,11.775598,32.811881,11.607121
"7501","5am",2.291142,6.715654,16.473935,31.029262,43.4900079
"7502","5am",14.492139,7.406328,10.317624,26.146666,41.6372431
"7503","5am",10.953381,9.647891,13.293359,24.855456,41.2499129
"7504","5am",11.117538,12.381464,15.530888,29.796752,31.1733575
"7505","5am",11.209839,13.761103,13.454173,25.702494,35.8723913
"7506","5am",10.260148,11.775421,22.521301,19.301456,36.1416734
"7507","5am",10.919477,12.373143,19.707539,24.45364,32.5462025
"7508","5am",9.713028,8.036676,19.193627,25.919523,37.1371457
"7509","5am",11.617582,12.269149,12.499855,31.485728,32.127687
"7510","5am",15.808934,9.522714,9.437049,28.824908,36.4063948
"7511","5am",14.225991,12.152629,10.276543,25.857215,37.4876222
"7512","5am",13.324701,20.801138,8.172267,28.763855,28.9380388
"7513","5am",19.356081,20.912264,17.137596,21.948721,20.645339
"7514","5am",14.765641,15.419067,13.887701,29.701548,26.2260433
"7701","5am",7.314127,23.418251,38.530424,21.272356,9.4648413
"7702","5am",11.688361,26.467143,17.61527,33.787498,10.4417269
"7703","5am",10.726467,27.759816,29.714152,27.225386,4.5741798
