"district","hour","act1","act2","act3","act4","act5"
"9504","4am",0,0,0,0,0
"9505","4am",0,0,0,0,0
"9506","4am",0,0,0,0,0
"9507","4am",0,0,0,0,0
"9508","4am",0,0,0,0,0
"9509","4am",0,0,0,0,0
"9510","4am",0,0,0,0,0
"9511","4am",0,0,0,0,0
"9512","4am",0,0,0,0,0
"9513","4am",0,0,0,0,0
"7501","5am",0,0,0,0,0
"7502","5am",0,0,0,0,0
"7503","5am",0,0,0,0,0
"7504","5am",0,0,0,0,0
"7505","5am",0,0,0,0,0
"7506","5am",0,0,0,0,0
"7507","5am",0,0,0,0,0
"7508","5am",0,0,0,0,0
"7509","5am",0,0,0,0,0
"7510","5am",0,0,0,0,0
"7511","5am",0,0,0,0,0
"7512","5am",0,0,0,0,0
"7513","5am",0,0,0,0,0
"7514","5am",0,0,0,0,0
"7701","5am",0,0,0,0,0
"7702","5am",0,0,0,0,0
"7703","5am",0,0,0,0,0
"7704","5am",0,0,0,0,0
"7705","5am",0,0,0,0,0
"7706","5am",0,0,0,0,0
"7707","5am",0,0,0,0,0
"7708","5am",0,0,0,0,0
"7709","5am",0,0,0,0,0
"7710","5am",0,0,0,0,0
"7711","5am",0,0,0,0,0
"7712","5am",0,0,0,0,0
"7713","5am",0,0,0,0,0
"7714","5am",0,0,0,0,0
"7715","5am",0,0,0,0,0
"7716","5am",0,0,0,0,0
"7801","5am",0,0,0,0,0
"7802","5am",0,0,0,0,0
"7803","5am",0,0,0,0,0
"7804","5am",0,0,0,0,0
"7805","5am",0,0,0,0,0
"7806","5am",0,0,0,0,0
"7807","5am",0,0,0,0,0
"7808","5am",0,0,0,0,0
"7809","5am",0,0,0,0,0
"7810","5am",0,0,0,0,0
"7811","5am",0,0,0,0,0
"7812","5am",0,0,0,0,0
"7813","5am",0,0,0,0,0
"7814","5am",0,0,0,0,0
"7815","5am",0,0,0,0,0
"7816","5am",0,0,0,0,0
"9101","5am",0,0,0,0,0
"9102","5am",0,0,0,0,0
"9103","5am",0,0,0,0,0
"9104","5am",0,0,0,0,0
"9105","5am",0,0,0,0,0
"9106","5am",0,0,0,0,0
"9107","5am",0,0,0,0,0
"9108","5am",0,0,0,0,0
"9109","5am",0,0,0,0,0
"9110","5am",0,0,0,0,0
"9111","5am",0,0,0,0,0
"9112","5am",0,0,0,0,0
"9113","5am",0,0,0,0,0
"9114","5am",0,0,0,0,0
"9201","5am",0,0,0,0,0
"9202","5am",0,0,0,0,0
"9203","5am",0,0,0,0,0
"9204","5am",0,0,0,0,0
"9205","5am",0,0,0,0,0
"9206","5am",0,0,0,0,0
"9207","5am",0,0,0,0,0
"9208","5am",0,0,0,0,0
"9209","5am",0,0,0,0,0
"9210","5am",0,0,0,0,0
"9211","5am",0,0,0,0,0
"9212","5am",0,0,0,0,0
"9302","5am",0,0,0,0,0
"9303","5am",0,0,0,0,0
"9304","5am",0,0,0,0,0
"9305","5am",0,0,0,0,0
"9306","5am",0,0,0,0,0
"9307","5am",0,0,0,0,0
"9308","5am",0,0,0,0,0
"9309","5am",0,0,0,0,0
"9310","5am",0,0,0,0,0
"9311","5am",0,0,0,0,0
"9312","5am",0,0,0,0,0
"9402","5am",0,0,0,0,0
"9403","5am",0,0,0,0,0
"9404","5am",0,0,0,0,0
"9405","5am",0,6479.811,0,0,0
