"district","hour","dep1","dep2","dep3","dep4","dep5"
"7505","5am",99.4547685,0,0,0.4357232,0.1095083
"7506","5am",98.771104,0.5120975,0,0,0.7167985
"7507","5am",96.9324679,0.6356549,0.9578813,0.6596679,0.8143281
"7508","5am",97.2546134,0.4455017,0.5097577,0,1.7901272
"7509","5am",98.2539197,0,0,0.8075166,0.9385637
"7510","5am",99.3893085,0,0.292721,0,0.3179705
"7511","5am",98.7519315,0.9759748,0,0.2720937,0
"7512","5am",99.356595,0.5291122,0,0,0.1142928
"7513","5am",99.2710769,0,0.1703747,0,0.5585483
"7514","5am",99.2463006,0,0,0.2405458,0.5131536
"7701","5am",0,0.5247467,0.2340779,0,99.2411755
"7702","5am",0.6063326,40.9492011,32.6585918,0,25.7858745
"7703","5am",0.5983511,0,0.3440718,0.9180832,98.1394939
"7704","5am",0,0,0,0,100
"7705","5am",0,0.3052939,0,0,99.6947061
"7706","5am",0,0,0,0,100
"7707","5am",0,0,0,0,100
"7708","5am",0,0.8275403,0,0,99.1724597
"7709","5am",0,0,0.3665652,0,99.6334348
"7710","5am",0,0,0,0,100
"7711","5am",0,0,0,0,100
"7712","5am",0.840407,0,0,0,99.159593
"7713","5am",0,0,0,1.1511885,98.8488115
"7714","5am",0,0,0,0,100
"7715","5am",0,0,0,0,100
"7716","5am",0,0,0,0,100
"7801","5am",0,0.713779,0,0,99.286221
"7802","5am",0,0.5746361,0,0,99.4253639
"7803","5am",0.6692221,0.4623391,0.1446535,0.1706466,98.5531388
"7804","5am",0.8783093,0,0,0,99.1216907
"7805","5am",0,0,0,0,100
"7806","5am",0,0,0.121588,0,99.878412
"7807","5am",0,0.4015024,0,1.2933482,98.3051495
"7808","5am",0,0,0,0,100
"7809","5am",2.3087416,0,0,0,97.6912584
"7810","5am",0,0,0,0,100
"7811","5am",1.084276,0,0,0,98.915724
"7812","5am",0,0.4354457,0,0,99.5645543
"7813","5am",0,0,0,0,100
"7814","5am",0,0,0,0,100
"7815","5am",0,0,5.2537807,0.3808031,94.3654162
"7816","5am",0,0,0,0,100
"9101","5am",0,0,0,0,100
"9102","5am",0.8260727,0,0.6040262,0,98.5699011
"9103","5am",0,0,0,0.3901025,99.6098975
"9104","5am",0,0,0,0,100
"9105","5am",0,0,0,0,100
"9106","5am",0,0,0,0,100
"9107","5am",0.4348886,0,0,0,99.5651114
"9108","5am",0,0,0,0,100
"9109","5am",1.3082874,0,0.4429201,0.393977,97.8548155
"9110","5am",0,0,0,0,100
"9111","5am",0.8505641,0,0.1641576,0,98.9852783
"9112","5am",0,0,0,0,100
"9113","5am",0,0,0,0,100
"9114","5am",0,0,0,0,100
"9201","5am",0,2.025492,0.3441838,97.0868512,0.543473
"9202","5am",0,0.7118313,0,98.6552724,0.6328963
"9203","5am",0.2899542,0.2216582,0.2258123,98.9014503,0.361125
"9204","5am",0,0,0,99.3877801,0.6122199
"9205","5am",0.4122949,0,0,99.3136759,0.2740292
"9206","5am",0,0,0,99.1699436,0.8300564
"9207","5am",0,0.3467827,0,99.1057785,0.5474388
"9208","5am",0,0,0,99.5537605,0.4462395
"9209","5am",0,0,0.4128961,98.2024925,1.3846115
"9210","5am",0.4802049,0,0,99.4049065,0.1148886
"9211","5am",1.4117157,0,0,98.5882843,0
"9212","5am",0,0,0,99.3531143,0.6468857
"9302","5am",0,96.8636242,1.5138641,0,1.6225117
"9303","5am",0.3844402,99.6155598,0,0,0
"9304","5am",0,100,0,0,0
"9305","5am",0,100,0,0,0
"9306","5am",0,99.3071817,0.351268,0,0.3415502
"9307","5am",4.6096063,94.9638208,0,0,0.4265728
"9308","5am",1.3755567,97.6884553,0.935988,0,0
"9309","5am",1.3515322,95.8347611,0,0,2.8137067
"9310","5am",0.6564781,98.936645,0,0,0.4068769
"9311","5am",0,98.8985018,0,0.1412149,0.9602834
"9312","5am",0.200592,98.2747084,0,0,1.5246996
"9402","5am",0.347526,0,98.502741,0,1.149733
"9403","5am",0,0,99.5615097,0,0.4384903
"9404","5am",0,0.5741305,98.2630162,0.3689162,0.7939371
"9405","5am",2.1791444,0.7376282,90.9856534,0.4768789,5.6206951
"9406","5am",0.6319991,0.1371669,98.304205,0.926629,0
"9407","5am",0,0,99.5047416,0.1857333,0.309525
"9408","5am",0,1.0971559,98.1118429,0,0.7910012
"9409","5am",0,0.373583,99.626417,0,0
"9410","5am",0,1.0933818,98.9066182,0,0
"9411","5am",0,0,100,0,0
"9412","5am",1.8363763,0,97.4132627,0,0.7503609
"9413","5am",0,0,100,0,0
"9414","5am",0,1.2277885,98.7722115,0,0
"9501","5am",0.6292569,0,0,0.2757925,99.0949506
"9502","5am",0,0,0,0,100
"9503","5am",0,0,0.7570208,0,99.2429792
"9504","5am",0,0,0,0,100
"9505","5am",0.7999755,0.2444869,0,0,98.9555376
"9506","5am",0.4394038,0,0,0,99.5605962
"9507","5am",0,0,0.4164088,0,99.5835912
"9508","5am",0,0,0,0,100
"9509","5am",0,0,0,0,100
"9510","5am",0,0.6511288,0,0,99.3488712
"9511","5am",0,0,0,0,100
"9512","5am",0,0,0,0.876627,99.123373
"9513","5am",0.8056089,0,0.3976665,0,98.7967246
"7501","6am",96.5643123,0.9289758,0.33811751,0.4444918,1.72410262
"7502","6am",97.2200575,0,0.72861492,1.2909561,0.7603714
"7503","6am",95.7419953,0.5011066,1.42502666,0.710662,1.62120939
"7504","6am",96.6987869,0.5650822,0,1.1564288,1.57970207
"7505","6am",99.4555303,0,0,0.4351144,0.10935531
"7506","6am",98.0982176,0.633682,0,0.1252435,1.14285688
"7507","6am",96.1280714,0.8737144,0.96522933,0.6647283,1.36825662
"7508","6am",97.0976961,0.4447829,0.50893524,0,1.94858582
"7509","6am",97.9478561,0.1874014,0.05352799,0.807006,1.00420847
"7510","6am",97.8617293,0,0.51231499,0.4210739,1.2048818
"7511","6am",97.8922505,0.9605913,0,0.2678049,0.8793533
"7512","6am",98.9914948,0.6774307,0,0.1563272,0.17474732
"7513","6am",98.0586574,0.8401549,0.16966457,0,0.93152316
"7514","6am",98.786963,0,0.21653974,0.2452254,0.75127185
"7701","6am",0,0.5421118,0.54461472,0,98.91327348
"7702","6am",0.6153118,40.3876819,32.7177383,0,26.27926793
"7703","6am",0.5936734,1.9436866,0.34138195,0.9109059,96.21035212
"7704","6am",0,0,0,0,100
"7705","6am",0,0.3237766,0,0,99.67622338
"7706","6am",0,0,0,0,100
"7707","6am",0,0,0,0,100
"7708","6am",0,1.0743137,0,0,98.92568633
"7709","6am",0,0,0.36340823,0,99.63659177
"7710","6am",0,0.4347823,0.11070645,0,99.45451129
"7711","6am",1.4319312,0,0,0,98.56806884
"7712","6am",0.8578252,0,0,0,99.14217484
"7713","6am",0,0,0,1.1835906,98.81640943
"7714","6am",0,0,0,0,100
"7715","6am",0,0,0,0,100
"7716","6am",0,0,0,0,100
"7801","6am",0,0.731859,0,0,99.26814101
"7802","6am",0,0.5791031,0,0,99.42089689
"7803","6am",0.6697162,0.4626804,0.14476026,0.1707726,98.55207062
"7804","6am",0.8757813,0,0,0,99.12421866
"7805","6am",0,0,0,0,100
"7806","6am",0,0,0.12303903,0,99.87696097
"7807","6am",0,0.4158316,0,1.3395065,98.24466192
"7808","6am",0,0,0,0.5485487,99.45145126
"7809","6am",2.3743321,0,0,0,97.62566793
"7810","6am",0,0,0,0,100
"7811","6am",1.0804811,0,0,0,98.91951885
"7812","6am",0,0.4364329,0,0.2407033,99.32286377
"7813","6am",0,0,0,0,100
"7814","6am",0,0,0,0,100
"7815","6am",0,0,5.33982419,0.3870397,94.27313613
"7816","6am",0,0,0,0,100
"9101","6am",0,0,0.46916977,0,99.53083023
"9102","6am",0.8444614,0,0.61747204,0,98.53806656
"9103","6am",0,0,0,0.3983427,99.60165726
"9104","6am",0,0,0,0,100
"9105","6am",0,0,0,0,100
"9106","6am",0,0,0,0,100
"9107","6am",0.4468954,0,0,0,99.5531046
"9108","6am",0,0,0,0,100
"9109","6am",1.3313267,0,0.45072008,0.400915,97.8170382
"9110","6am",0,0,0,0,100
"9111","6am",1.5820754,0.3120694,0.16074043,0,97.94511479
"9112","6am",0,0,1.19580071,0,98.80419929
"9113","6am",0,0,0,0,100
"9114","6am",0,0,0,0,100
"9201","6am",0,2.729055,0.58659195,95.8615272,0.82282581
"9202","6am",0,0,0,98.1368001,1.86319988
"9203","6am",0.528422,0.5526136,0.22751864,98.4632514,0.22819438
"9204","6am",0,0,0.81288843,98.5714351,0.61567651
"9205","6am",0.4134158,0.8378243,0.39808991,98.0758957,0.27477427
"9206","6am",0,0,0,98.8532591,1.14674091
"9207","6am",0,0.3480059,0,98.928293,0.72370117
"9208","6am",0.7173801,0,0,98.836803,0.44581688
"9209","6am",0,0,0.41361474,98.038357,1.54802822
"9210","6am",0.7210101,0,0,99.0563164,0.22267355
"9211","6am",1.4184042,0,0.28825925,98.2933365,0
"9212","6am",0,0,0,99.3497102,0.65028978
"9302","6am",0,96.7164714,1.58489175,0,1.69863687
"9303","6am",0.3858783,99.4470956,0.16702615,0,0
"9304","6am",0,100,0,0,0
"9305","6am",0,99.9499743,0,0,0.05002572
"9306","6am",0,98.3948823,0.35532507,0,1.24979261
"9307","6am",4.7508758,94.8094784,0,0,0.43964588
"9308","6am",1.4054989,97.3156096,0,1.2788915,0
"9309","6am",2.1419,94.6436634,0.09492076,0,3.11951587
"9310","6am",0.6735479,98.1266105,0,0.7823851,0.4174565
"9311","6am",0,98.8506467,0,0.14735,1.00200325
"9312","6am",0.5376009,97.3525508,0,0.1504884,1.9593599
"9402","6am",0.8168252,0.2748452,97.72123576,0,1.1870938
"9403","6am",0,0,99.46441603,0,0.53558397
"9404","6am",0,0.5730813,97.65165747,0.368242,1.40701929
"9405","6am",2.1393485,0.7241576,90.1735252,0.4681701,6.49479867
"9406","6am",0.6554385,0.1422541,98.24131188,0.9609956,0
"9407","6am",0,0,98.99845495,0.1866473,0.81489772
"9408","6am",0,1.1180935,98.07581017,0,0.80609632
"9409","6am",0,0.5118991,99.48810086,0,0
"9410","6am",0,1.104408,98.89559196,0,0
"9411","6am",0,0,99.54483281,0,0.45516719
"9412","6am",3.885442,0,95.35250029,0,0.76205767
"9413","6am",0,0,100,0,0
"9414","6am",0,1.2436451,98.75635491,0,0
"9501","6am",0.6604916,0,0,0.2894822,99.05002623
"9502","6am",0,0,0,0,100
"9503","6am",0,0,0.78742565,0,99.21257435
"9504","6am",0,0,0,0,100
"9505","6am",1.2586897,0.6989153,1.70846085,0,96.33393411
"9506","6am",0.4468712,0.5413249,0,0,99.01180382
"9507","6am",0,0,0.42036014,0,99.57963986
"9508","6am",0,0,0,0,100
"9509","6am",0,0,0,0,100
"9510","6am",0,0.6486707,0,0,99.35132934
"9511","6am",0,0,0,0,100
"9512","6am",0,0,0,0.9005175,99.09948248
"9513","6am",0.804845,0,0.39728944,0,98.79786552
"7501","7am",95.34865,1.172297,1.06260342,0.4340397,1.9824099
"7502","7am",92.0634414,2.1226291,1.47153038,2.2572492,2.0851498
"7503","7am",89.6512358,2.6238482,1.50991429,1.0264032,5.1885985
"7504","7am",89.8321152,4.7599929,0.27578628,1.1063415,4.025764
"7505","7am",98.4875836,0.6727758,0,0.444234,0.3954067
"7506","7am",92.1736431,0.8876735,2.03802347,1.6636984,3.2369615
"7507","7am",92.4351239,1.2383454,1.81120298,1.2229912,3.2923365
"7508","7am",95.8222418,0.5857631,0.49792366,0.7230163,2.3710551
"7509","7am",96.2457169,0.1888526,0.2531221,1.8909837,1.4213248
"7510","7am",95.5262972,0.5526011,1.0340775,0.9009846,1.9860396
"7511","7am",96.3964961,1.4057422,0,0.3941635,1.8035982
"7512","7am",97.6179612,0.824864,0.28527282,0.1575545,1.1143475
"7513","7am",96.6658196,0.8938806,0.72445632,0,1.7158434
"7514","7am",95.8636518,0,0.96760333,0.245672,2.9230729
"7701","7am",0,2.268956,0.89375591,0,96.8372881
"7702","7am",0.9810017,39.3967343,32.61064669,0,27.0116172
"7703","7am",0.9907468,3.2077878,0,0.9791788,94.8222866
"7704","7am",0,0,0,0,100
"7705","7am",0,0.3456238,0,0,99.6543762
"7706","7am",0,0,0,0,100
"7707","7am",0,0,0,0,100
"7708","7am",0,1.3295425,0,0,98.6704575
"7709","7am",0,0,0.39568695,0,99.604313
"7710","7am",0,0.4603257,0.41692827,0,99.122746
"7711","7am",1.472896,0,0,0,98.527104
"7712","7am",0.9063838,0,0.09920969,0,98.9944065
"7713","7am",0,0,0,1.2819936,98.7180064
"7714","7am",0,0,0,0,100
"7715","7am",0,0,0,0,100
"7716","7am",0,0.1644589,0,0,99.8355411
"7801","7am",0,0.7608654,0.57498799,0,98.6641466
"7802","7am",0,0.6104469,0,0,99.3895531
"7803","7am",0.7106198,0.4909391,0,0.1812027,98.6172384
"7804","7am",0.9333439,0,0,0,99.0666561
"7805","7am",0,0,0,0,100
"7806","7am",0,0.8350311,0.12953186,0,99.035437
"7807","7am",0,0.4591415,0,1.4790195,98.061839
"7808","7am",0,0,0,0.6033585,99.3966415
"7809","7am",2.562496,0,0,0,97.437504
"7810","7am",0,0,0,0,100
"7811","7am",1.1109659,0,0,0,98.8890341
"7812","7am",0,0.4513575,0.12303927,0.8698265,98.5557768
"7813","7am",0,0,0.20919017,0,99.7908098
"7814","7am",0,0,0,0,100
"7815","7am",0,0,5.75683044,0.417265,93.8259046
"7816","7am",0,0,0,0.4685414,99.5314586
"9101","7am",0,0,0,0,100
"9102","7am",0.8556159,0,0.62562824,0,98.5187559
"9103","7am",0,0,0.26475043,0.432576,99.3026736
"9104","7am",0,0,0,0,100
"9105","7am",0,0.883782,0,0,99.116218
"9106","7am",0,0,0,0,100
"9107","7am",0.479828,0,0.25531535,0,99.2648567
"9108","7am",0,0,0,0,100
"9109","7am",1.3740264,0,0.46517604,0.4137736,97.747024
"9110","7am",0,0,0,0,100
"9111","7am",1.59772,0.6937395,0.16232993,0.3401162,97.2060945
"9112","7am",0,0,1.29016219,0,98.7098378
"9113","7am",0,0.3132401,0.1737679,0.4654157,99.0475764
"9114","7am",0,0,0,0,100
"9201","7am",0.194871,3.5911263,0.58711835,91.6840487,3.9428355
"9202","7am",0.9204835,0,0.25276791,95.0445017,3.7822469
"9203","7am",1.9522395,1.6469178,0.40713946,94.5610757,1.4326276
"9204","7am",1.2907464,0.734971,0.7677553,93.9771903,3.2293369
"9205","7am",0.4075348,1.1611794,0.39242693,95.5683758,2.4704831
"9206","7am",0,0.4570143,0.49369239,96.9432574,2.1060359
"9207","7am",0,0.3571324,0.20450716,98.6956799,0.7426805
"9208","7am",0.9936595,0,0,97.9042283,1.1021122
"9209","7am",0.5077673,0,0.42829729,97.3197241,1.7442113
"9210","7am",1.6178626,0,0.41248529,97.5344809,0.4351712
"9211","7am",1.443081,1.0927013,1.27200081,95.832874,0.359343
"9212","7am",0,0,0.38367904,96.8785333,2.7377876
"9302","7am",0,90.885987,1.62001424,1.2712367,6.2227621
"9303","7am",0.3903425,99.0416098,0.16895847,0,0.3990893
"9304","7am",0.8644032,98.2840083,0,0,0.8515885
"9305","7am",0,99.6540657,0,0,0.3459343
"9306","7am",0,98.3178985,0.37236699,0,1.3097345
"9307","7am",5.1060944,94.4213878,0,0,0.4725178
"9308","7am",0,97.8071075,0,1.3727155,0.820177
"9309","7am",3.3298038,92.516942,0.09919391,0,4.0540604
"9310","7am",0.727456,97.2823714,0,0.8450042,1.1451684
"9311","7am",0.403597,96.2625902,0.14750979,0.1550206,3.0312824
"9312","7am",0.782277,94.918951,0.22882737,0.1528805,3.9170641
"9402","7am",1.3930531,0.4636315,96.00826849,0.2991661,1.8358808
"9403","7am",0,0.9179634,97.06368899,0.6358676,1.3824801
