"district","hour","cleduc1","cleduc2","cleduc3","cleduc4"
"7509","5am",19745.614,20670.142,45742.988,99426.636
"7510","5am",7888.28,11813.728,38274.481,71726.226
"7511","5am",17813.867,15524.589,39631.775,60729.133
"7512","5am",27847.528,21836.338,36501.213,69024.517
"7513","5am",42537.264,31686.358,24606.062,43086.259
"7514","5am",36910.894,28170.805,39292.859,46129.842
"7701","5am",14771.441,35765.099,36552.504,14903.163
"7702","5am",21817.04,37510.873,25820.053,27071.093
"7703","5am",14954.488,34681.336,20045.251,9825.185
"7704","5am",26679.711,21322.743,17812.888,5466.912
"7705","5am",13320.351,21791.859,10252.865,3434.883
"7706","5am",14156.5,20721.31,9655.173,2362.231
"7707","5am",21269.668,20801.222,7102.358,2521.235
"7708","5am",11017.144,32385.65,18424.158,10973.323
"7709","5am",15067.522,15301.889,16872.824,3824.128
"7710","5am",9624.571,18294.063,27748.435,9408.817
"7711","5am",22980.227,24570.797,18327.201,12465.026
"7712","5am",12911.485,24107.357,9542.384,8238.844
"7713","5am",11706.902,9365.323,6425.749,1806.87
"7714","5am",14240.413,24345.183,18129.26,10067.574
"7715","5am",11615.299,15118.871,5637.782,1753.371
"7716","5am",17362.259,30779.526,21101.476,6054.104
"7801","5am",15422.955,20117.605,17437.372,25591.065
"7802","5am",6102.079,11922.703,19942.271,25851.909
"7803","5am",11821.67,21473.046,31225.967,25526.825
"7804","5am",10352.79,11243.777,13542.532,11195.794
"7805","5am",11110.907,30066.736,24418.452,15542.354
"7806","5am",21181.969,34639.927,18293.334,8381.673
"7807","5am",16024.608,18888.569,10167.204,2662.249
"7808","5am",17943.246,23222.439,10443.568,4236.668
"7809","5am",10876.452,21708.195,17011.675,13279.336
"7810","5am",2758.096,9059.53,7000.07,4841.252
"7811","5am",8419.848,17888.18,26362.894,23785.902
"7812","5am",10680.343,27702.721,35039.709,53104.206
"7813","5am",4703.779,13060.865,11313.739,7992.373
"7814","5am",1746.99,8257.479,7652.553,5006.593
"7815","5am",7622.075,11894.639,10872.854,5608.154
"7816","5am",15574.389,35312.884,33233.534,20001.692
"9101","5am",14114.617,19588.988,15429.666,8697.295
"9102","5am",10121.07,14675.271,12605.44,9193.791
"9103","5am",17182.497,21326.476,15345.068,8489.735
"9104","5am",10592.048,19015.663,11531.322,7991.159
"9105","5am",13301.375,28328.296,22838.252,10920.331
"9106","5am",22815.401,25505.218,23547.437,10236.04
"9107","5am",21481.354,30267.047,23624.513,9917.647
"9108","5am",8974.151,19853.484,14795.312,11727.707
"9109","5am",13747.555,17302.923,21758.485,11452.021
"9110","5am",17953.056,19441.217,15190.656,7613.168
"9111","5am",13576.824,14243.434,18840.543,11960.71
"9112","5am",8756.682,14179.488,15425.398,8919.416
"9113","5am",9665.011,20380.973,25914.513,21095.032
"9114","5am",3134.083,9247.378,15734.387,13902.898
"9201","5am",31043.148,19154.96,34577.47,25317.601
"9202","5am",15657.276,22656.731,23769.305,18821.417
"9203","5am",20129.414,22050.43,44515.389,51618.824
"9204","5am",16973.962,25898.232,25302.24,16294.162
"9205","5am",8416.048,23258.32,25210.074,43509.974
"9206","5am",6628.702,23801.499,23158.549,38677.157
"9207","5am",2972.456,8541.96,29562.571,41561.86
"9208","5am",8048.421,18876.452,24724.962,36485.263
"9209","5am",19430.85,23952.624,40547.648,45148.531
"9210","5am",14415.759,20518.763,30745.644,48232.558
"9211","5am",17425.755,17246.302,19202.784,18280.92
"9212","5am",8722.481,20167.905,24552.412,21045.05
"9302","5am",12773.176,18424.209,9625.471,5121.113
"9303","5am",27604.273,22888.896,31590.902,19150.373
"9304","5am",36201.981,38943.409,22269.614,18718.703
"9305","5am",26213.484,29092.193,16698.842,8041.181
"9306","5am",28034.805,25187.209,26276.705,14266.152
"9307","5am",23256.207,27402.499,19533.507,8558.93
"9308","5am",18911.679,18278.909,16428.563,5033.142
"9309","5am",34717.571,26196.006,21249.873,5464.713
"9310","5am",29361.505,39582.666,29087.934,5094.8
"9311","5am",53848.259,29696.718,23018.244,12183.313
"9312","5am",61445.706,51457.891,27285.126,20690.156
"9402","5am",25733.498,44198.11,17310.637,18562.036
"9403","5am",27186.251,31341.995,21757.263,27989.136
"9404","5am",19557.947,19663.776,18736.937,8303.155
"9405","5am",10990.206,20530.229,21820.167,10733.76
"9406","5am",20274.257,27972.807,16807.241,11217.321
"9407","5am",23340.164,26047.72,28582.881,29472.829
"9408","5am",10219.951,21168.395,17541.654,25572.783
"9409","5am",21899.14,20856.119,50242.962,47897.756
"9410","5am",13259.685,13644.366,13328.256,4789.343
"9411","5am",17501.263,16727.014,10543.612,3735.613
"9412","5am",12767.666,9617.427,5634.667,7027.883
"9413","5am",17257.058,18227.506,15911.852,4678.756
"9414","5am",5084.045,9599.709,10410.108,4511.173
"9501","5am",13721.692,25188.943,22906.463,11371.397
"9502","5am",20394.792,19062.672,13523.064,6903.732
"9503","5am",13223.795,17749.087,11589.684,7408.937
"9504","5am",13237.026,16660.571,12779.174,7688.074
"9505","5am",17702.494,20187.141,16947.734,1858.996
"9506","5am",20478.816,14979.463,12305.323,3458.725
"9507","5am",30262.524,22366.441,14646.396,2349.453
"9508","5am",22060.727,37539.466,21795.985,11590.9
"9509","5am",14218.603,17614.558,22088.346,9672.601
"9510","5am",13409.87,26783.646,23316.684,10881.561
"9511","5am",12131.551,25446.246,19926.243,20330.938
"9512","5am",14631.361,19730.469,21758.438,14510.074
"9513","5am",11749.887,14344.018,14613.275,10258.796
"7501","6am",7339.65,12618.755,19009.712,46314.183
"7502","6am",9404.877,6629.505,38037.677,79286.315
"7503","6am",8250.647,13518.354,19247.691,40866.435
"7504","6am",6505.25,12035.928,23412.262,38922.804
"7505","6am",15804.781,17279.012,24052.34,65113.033
"7506","6am",12804.681,16894.901,36753.555,50638.363
"7507","6am",18942.853,22172.017,40957.773,62396.843
