"district","hour","rev1","rev2","rev3","rev4"
"9507","4am",37.85886,55.62205,4.54894,1.970155
"9508","4am",29.117233,43.56683,20.98163,6.334304
"9509","4am",17.159542,33.23528,25.66433,23.940845
"9510","4am",20.82865,30.78519,32.06581,16.320352
"9511","4am",10.070796,36.95479,37.76502,15.209399
"9512","4am",18.741465,37.2296,27.91658,16.112353
"9513","4am",11.848826,44.89687,28.40338,14.850924
"7501","5am",13.320713,22.38383,29.670951,34.624509
"7502","5am",16.970175,19.49578,19.644799,43.889241
"7503","5am",19.918225,17.41273,31.544829,31.124213
"7504","5am",19.303502,30.27338,30.275827,20.147292
"7505","5am",15.807789,29.98128,31.627323,22.583603
"7506","5am",15.127369,31.10398,32.617508,21.151145
"7507","5am",23.946771,30.18592,24.733336,21.133977
"7508","5am",13.386245,24.99739,31.686118,29.930251
"7509","5am",12.875398,33.86697,22.686134,30.571497
"7510","5am",17.633602,17.27982,17.865592,47.22099
"7511","5am",19.582295,23.05333,17.808286,39.556091
"7512","5am",28.813136,29.38776,21.525735,20.273368
"7513","5am",30.462045,29.21866,25.842059,14.47724
"7514","5am",25.430299,32.14031,23.118292,19.3111
"7701","5am",14.102236,47.19315,32.464965,6.239649
"7702","5am",13.616597,46.1815,22.237438,17.964463
"7703","5am",17.993644,39.8297,30.339596,11.837064
"7704","5am",33.991655,42.51077,18.935799,4.561781
"7705","5am",18.593346,44.42882,28.780748,8.197085
"7706","5am",20.341497,50.91568,23.042671,5.700155
"7707","5am",17.897426,58.37451,19.042462,4.6856
"7708","5am",21.175792,34.5403,33.774641,10.509263
"7709","5am",12.025008,46.52649,33.637014,7.811486
"7710","5am",11.22965,53.61739,22.244327,12.908631
"7711","5am",25.598428,48.51157,13.828007,12.062
"7712","5am",34.222191,34.93314,22.233179,8.611492
"7713","5am",36.504387,33.49029,22.535435,7.469888
"7714","5am",23.397511,33.71074,32.909454,9.982299
"7715","5am",29.756643,48.55914,16.476564,5.207651
"7716","5am",20.287132,45.52944,26.963035,7.220394
"7801","5am",9.31875,33.59362,23.469868,33.617763
"7802","5am",11.693798,17.14654,30.492239,40.667426
"7803","5am",12.842156,20.66357,30.045221,36.449057
"7804","5am",16.659365,32.53191,28.785037,22.023688
"7805","5am",15.508483,34.6971,28.672547,21.121872
"7806","5am",20.273135,39.75922,26.937559,13.030082
"7807","5am",46.231517,24.01022,24.849672,4.908589
"7808","5am",27.039337,34.24583,28.565918,10.148918
"7809","5am",16.466761,32.65259,33.44619,17.434462
"7810","5am",10.110137,35.16974,31.716148,23.003977
"7811","5am",8.954051,23.93833,33.318326,33.789297
"7812","5am",9.643589,28.30253,26.91915,35.134727
"7813","5am",10.505484,27.55676,30.081125,31.856628
"7814","5am",9.966595,29.19335,35.806631,25.033428
"7815","5am",12.510477,38.03236,31.511257,17.94591
"7816","5am",14.612166,35.2709,31.366846,18.750092
"9101","5am",38.194516,31.65981,18.620735,11.52494
"9102","5am",13.638316,40.25135,25.949217,20.161117
"9103","5am",25.851697,35.94003,27.364136,10.844132
"9104","5am",17.472453,33.40523,30.879921,18.242392
"9105","5am",11.604346,41.90489,26.640952,19.849812
"9106","5am",25.444354,28.29916,30.72845,15.528039
"9107","5am",21.271963,33.22304,33.594591,11.91041
"9108","5am",18.478201,37.79655,26.376703,17.348548
"9109","5am",21.695145,36.3393,25.049217,16.916341
"9110","5am",37.368597,34.72535,18.151864,9.754188
"9111","5am",12.864822,36.88831,33.656966,16.589898
"9112","5am",12.739894,32.1887,38.913552,16.15785
"9113","5am",16.082102,34.72857,27.478241,21.71109
"9114","5am",9.256736,20.55338,38.753777,31.436102
"9201","5am",26.879292,36.42408,26.026126,10.670498
"9202","5am",26.533249,27.4764,29.52884,16.461508
"9203","5am",19.28811,24.58166,27.633055,28.497177
"9204","5am",22.301366,38.42883,24.785925,14.483875
"9205","5am",20.151449,17.82089,30.771679,31.255985
"9206","5am",16.187646,21.36624,29.593446,32.852666
"9207","5am",7.459518,19.57838,30.259199,42.702902
"9208","5am",10.384659,24.21442,29.529766,35.87115
"9209","5am",13.187356,34.63894,29.718665,22.455039
"9210","5am",11.499297,25.62862,30.471893,32.400189
"9211","5am",27.16271,41.03432,17.819568,13.983404
"9212","5am",17.505652,34.19344,25.946363,22.35454
"9302","5am",23.088762,40.97571,29.586125,6.349405
"9303","5am",41.694126,36.65676,17.956211,3.692907
"9304","5am",36.558894,40.18698,19.976222,3.277901
"9305","5am",43.390619,27.12234,18.64496,10.842084
"9306","5am",17.855046,42.41095,27.803068,11.93094
"9307","5am",35.075004,34.47868,19.795071,10.651243
"9308","5am",32.542418,41.79567,21.79726,3.864649
"9309","5am",42.126062,30.05499,19.026234,8.792713
"9310","5am",36.22926,42.89693,16.753981,4.119827
"9311","5am",48.248711,37.35288,10.082363,4.316049
"9312","5am",44.73844,37.87622,13.683825,3.701519
"9402","5am",31.38592,45.82923,17.842072,4.942781
"9403","5am",25.768751,37.82509,30.504614,5.901542
"9404","5am",28.420019,37.36171,25.408229,8.810044
"9405","5am",16.274503,46.1965,28.625755,8.90324
"9406","5am",30.566229,43.90163,18.470391,7.061746
"9407","5am",23.373944,30.1948,30.179991,16.251263
"9408","5am",6.372009,39.34806,35.999047,18.280886
"9409","5am",14.318531,35.93403,30.245136,19.502307
"9410","5am",15.873896,43.60226,25.566079,14.957765
"9411","5am",41.51692,37.6831,11.495915,9.30407
"9412","5am",25.71815,38.33036,17.8018,18.149693
"9413","5am",37.930299,39.43058,18.13841,4.500716
"9414","5am",10.600589,36.11285,33.217786,20.068776
"9501","5am",25.844113,40.48136,26.95268,6.721851
"9502","5am",29.522089,39.34844,22.764711,8.364756
"9503","5am",19.276233,40.13569,22.661801,17.926279
"9504","5am",17.151493,32.56169,37.017786,13.269031
"9505","5am",20.223886,45.64063,26.737068,7.398412
"9506","5am",33.871976,37.39843,22.287018,6.442576
"9507","5am",38.485084,55.30031,4.233983,1.980621
"9508","5am",29.386629,43.96992,20.822098,5.821354
"9509","5am",17.208959,33.331,25.450254,24.009792
"9510","5am",20.82865,30.78519,32.065809,16.320352
"9511","5am",10.070796,36.95479,37.765018,15.209399
"9512","5am",18.741465,37.2296,27.916579,16.112353
"9513","5am",11.80976,45.07855,28.30973,14.801959
"7501","6am",13.561961,23.55714,29.188841,33.692058
"7502","6am",16.893958,19.67247,19.741451,43.692125
"7503","6am",20.75196,18.39148,30.632505,30.224053
"7504","6am",18.811264,29.82337,30.816493,20.548875
"7505","6am",15.784651,30.32585,31.338948,22.550547
"7506","6am",15.385739,30.57565,32.734061,21.304547
"7507","6am",23.677313,31.01435,24.001599,21.306735
"7508","6am",12.935902,24.95281,32.056095,30.055189
"7509","6am",12.995233,33.712,22.742129,30.550641
"7510","6am",17.381693,18.40525,17.873708,46.339344
"7511","6am",19.317054,23.70334,17.959303,39.020308
"7512","6am",28.774408,29.04778,21.931689,20.246118
"7513","6am",30.233764,28.47018,26.191583,15.104474
"7514","6am",25.948534,31.0543,23.292528,19.704635
"7701","6am",14.608737,49.07809,29.849419,6.463755
"7702","6am",13.976451,45.08256,22.698366,18.242621
"7703","6am",17.374991,39.51491,31.648937,11.461163
"7704","6am",34.632813,41.00532,19.714042,4.647826
"7705","6am",18.768682,43.79361,29.563143,7.874565
"7706","6am",19.807571,52.11864,22.920292,5.153501
"7707","6am",17.912708,58.40293,18.879579,4.804779
"7708","6am",19.69839,34.08768,35.03969,11.174243
"7709","6am",11.605327,46.7912,34.303878,7.299594
"7710","6am",10.710787,54.12784,22.24965,12.91172
"7711","6am",25.185707,47.65472,15.360319,11.799252
"7712","6am",32.814935,35.6805,22.708838,8.795727
"7713","6am",36.642889,33.01744,22.901769,7.437906
"7714","6am",23.309622,33.56558,32.96826,10.156535
"7715","6am",30.075935,48.10226,16.481935,5.339873
"7716","6am",20.625151,45.85349,26.168228,7.353128
"7801","6am",9.567173,32.8111,23.107767,34.513956
"7802","6am",11.788012,16.80506,30.737908,40.669016
"7803","6am",11.898726,20.72198,30.902163,36.477128
"7804","6am",15.979626,32.13593,29.92593,21.95851
"7805","6am",15.969031,34.90077,27.723938,21.406256
"7806","6am",19.963468,38.92809,27.813937,13.294507
"7807","6am",47.456936,23.78076,24.415841,4.346466
"7808","6am",26.046367,34.0407,29.449937,10.462993
"7809","6am",16.044535,32.7946,33.17414,17.986725
"7810","6am",10.143686,35.28644,31.489561,23.080312
"7811","6am",8.961172,24.31976,33.34482,33.374244
"7812","6am",9.666981,28.62873,26.484339,35.219954
"7813","6am",9.522982,26.79719,31.973659,31.706165
"7814","6am",9.509856,29.03059,36.663136,24.796415
"7815","6am",12.728718,39.1298,30.869577,17.271903
"7816","6am",14.636202,35.8701,30.14484,19.34886
"9101","6am",37.887629,32.30817,18.409812,11.394393
"9102","6am",13.927172,40.07797,25.828451,20.166404
"9103","6am",26.190207,35.77438,27.049281,10.986128
"9104","6am",18.1946,32.6139,30.764263,18.427241
"9105","6am",11.758013,42.46471,26.597119,19.18016
"9106","6am",25.800095,27.74251,30.578785,15.878612
"9107","6am",21.059803,32.10589,34.575966,12.25834
"9108","6am",18.310325,37.67234,26.276768,17.740563
"9109","6am",21.837751,35.70311,25.5574,16.901741
"9110","6am",36.494628,34.21496,19.224546,10.065863
"9111","6am",12.729278,36.74106,34.298112,16.231553
"9112","6am",12.858399,33.45878,37.374675,16.308148
"9113","6am",15.613402,34.70178,27.755034,21.929789
"9114","6am",9.256736,20.55338,38.753777,31.436102
"9201","6am",27.205829,36.04654,26.134876,10.612756
"9202","6am",27.830016,26.72084,28.823069,16.626073
"9203","6am",18.022852,25.37373,27.866006,28.737412
"9204","6am",22.923846,37.5708,24.9346,14.570754
"9205","6am",19.058855,18.23885,30.606227,32.096071
"9206","6am",16.04488,21.72845,29.663746,32.562922
"9207","6am",7.487036,19.28171,30.370825,42.860433
"9208","6am",10.840615,24.19024,29.309104,35.660037
"9209","6am",13.013157,34.6372,29.895733,22.45391
