"district","hour","sex1","sex2"
"9308","5am",48.74726,51.25274
"9309","5am",46.70262,53.29738
"9310","5am",46.48963,53.51037
"9311","5am",47.57461,52.42539
"9312","5am",49.44873,50.55127
"9402","5am",45.4639,54.5361
"9403","5am",45.66389,54.33611
"9404","5am",43.15601,56.84399
"9405","5am",49.36979,50.63021
"9406","5am",45.84132,54.15868
"9407","5am",45.01005,54.98995
"9408","5am",44.90856,55.09144
"9409","5am",45.54203,54.45797
"9410","5am",46.3925,53.6075
"9411","5am",47.05935,52.94065
"9412","5am",49.96655,50.03345
"9413","5am",45.50813,54.49187
"9414","5am",48.04303,51.95697
"9501","5am",49.23996,50.76004
"9502","5am",44.75396,55.24604
"9503","5am",45.6163,54.3837
"9504","5am",51.71962,48.28038
"9505","5am",44.03186,55.96814
"9506","5am",43.89954,56.10046
"9507","5am",48.50001,51.49999
"9508","5am",47.03155,52.96845
"9509","5am",47.23026,52.76974
"9510","5am",46.49105,53.50895
"9511","5am",45.81727,54.18273
"9512","5am",43.04456,56.95544
"9513","5am",49.0457,50.9543
"7501","6am",51.68502,48.31498
"7502","6am",45.42628,54.57372
"7503","6am",48.61103,51.38897
"7504","6am",49.02589,50.97411
"7505","6am",48.98313,51.01687
"7506","6am",46.99208,53.00792
"7507","6am",44.56145,55.43855
"7508","6am",45.40528,54.59472
"7509","6am",44.47175,55.52825
"7510","6am",43.58865,56.41135
"7511","6am",44.60482,55.39518
"7512","6am",48.25177,51.74823
"7513","6am",49.0311,50.9689
"7514","6am",46.12618,53.87382
"7701","6am",47.35284,52.64716
"7702","6am",46.39119,53.60881
"7703","6am",48.54234,51.45766
"7704","6am",45.92492,54.07508
"7705","6am",42.40327,57.59673
"7706","6am",47.68958,52.31042
"7707","6am",49.38443,50.61557
"7708","6am",42.80474,57.19526
"7709","6am",49.15187,50.84813
"7710","6am",44.59344,55.40656
"7711","6am",44.08696,55.91304
"7712","6am",48.21389,51.78611
"7713","6am",46.00664,53.99336
"7714","6am",46.87215,53.12785
"7715","6am",45.49669,54.50331
"7716","6am",48.08335,51.91665
"7801","6am",49.58723,50.41277
"7802","6am",46.31028,53.68972
"7803","6am",43.92315,56.07685
"7804","6am",48.16817,51.83183
"7805","6am",48.79924,51.20076
"7806","6am",45.83757,54.16243
"7807","6am",41.99675,58.00325
"7808","6am",45.26234,54.73766
"7809","6am",46.32319,53.67681
"7810","6am",49.26137,50.73863
"7811","6am",45.09812,54.90188
"7812","6am",47.07119,52.92881
"7813","6am",50.11298,49.88702
"7814","6am",49.32796,50.67204
"7815","6am",43.91526,56.08474
"7816","6am",45.99607,54.00393
"9101","6am",46.9179,53.0821
"9102","6am",43.46428,56.53572
"9103","6am",49.40427,50.59573
"9104","6am",48.27476,51.72524
"9105","6am",48.60012,51.39988
"9106","6am",48.0269,51.9731
"9107","6am",45.24313,54.75687
"9108","6am",44.73378,55.26622
"9109","6am",49.07935,50.92065
"9110","6am",46.05267,53.94733
"9111","6am",50.70212,49.29788
"9112","6am",48.97792,51.02208
"9113","6am",47.63951,52.36049
"9114","6am",44.96819,55.03181
"9201","6am",48.60866,51.39134
"9202","6am",44.26996,55.73004
"9203","6am",44.50548,55.49452
"9204","6am",48.73217,51.26783
"9205","6am",46.32226,53.67774
"9206","6am",46.64398,53.35602
"9207","6am",45.39708,54.60292
"9208","6am",45.86649,54.13351
"9209","6am",48.10368,51.89632
"9210","6am",46.07712,53.92288
"9211","6am",42.39766,57.60234
"9212","6am",47.01192,52.98808
"9302","6am",45.91005,54.08995
"9303","6am",45.59398,54.40602
"9304","6am",47.37643,52.62357
"9305","6am",46.85257,53.14743
"9306","6am",46.09999,53.90001
"9307","6am",43.42807,56.57193
"9308","6am",48.95755,51.04245
"9309","6am",45.22707,54.77293
"9310","6am",45.75899,54.24101
"9311","6am",46.84537,53.15463
"9312","6am",49.53442,50.46558
"9402","6am",44.03435,55.96565
"9403","6am",45.15052,54.84948
"9404","6am",43.25989,56.74011
"9405","6am",50.09075,49.90925
"9406","6am",45.28406,54.71594
"9407","6am",44.37676,55.62324
"9408","6am",44.18422,55.81578
"9409","6am",45.70976,54.29024
"9410","6am",46.39756,53.60244
"9411","6am",46.07645,53.92355
"9412","6am",48.04377,51.95623
"9413","6am",46.53552,53.46448
"9414","6am",48.06777,51.93223
"9501","6am",47.14789,52.85211
"9502","6am",45.15731,54.84269
"9503","6am",43.8269,56.1731
"9504","6am",50.99295,49.00705
"9505","6am",45.20603,54.79397
"9506","6am",43.87374,56.12626
"9507","6am",48.59124,51.40876
"9508","6am",46.43812,53.56188
"9509","6am",47.24082,52.75918
"9510","6am",46.91041,53.08959
"9511","6am",45.47469,54.52531
"9512","6am",41.49237,58.50763
"9513","6am",49.09402,50.90598
"7501","7am",52.23048,47.76952
"7502","7am",47.59889,52.40111
"7503","7am",50.00705,49.99295
"7504","7am",48.24514,51.75486
"7505","7am",48.78011,51.21989
"7506","7am",48.05366,51.94634
"7507","7am",45.49924,54.50076
"7508","7am",43.98488,56.01512
"7509","7am",43.29739,56.70261
"7510","7am",43.93834,56.06166
"7511","7am",44.59515,55.40485
"7512","7am",47.01924,52.98076
"7513","7am",46.51659,53.48341
"7514","7am",46.48161,53.51839
"7701","7am",48.79719,51.20281
"7702","7am",46.88969,53.11031
"7703","7am",47.73352,52.26648
"7704","7am",45.88573,54.11427
"7705","7am",41.36145,58.63855
"7706","7am",45.54481,54.45519
"7707","7am",49.43839,50.56161
"7708","7am",43.73824,56.26176
"7709","7am",47.67229,52.32771
"7710","7am",45.32501,54.67499
"7711","7am",43.71008,56.28992
"7712","7am",46.29348,53.70652
"7713","7am",44.36467,55.63533
"7714","7am",44.46517,55.53483
"7715","7am",44.6768,55.3232
"7716","7am",47.20304,52.79696
"7801","7am",49.3023,50.6977
"7802","7am",45.96539,54.03461
"7803","7am",44.26635,55.73365
"7804","7am",47.85818,52.14182
"7805","7am",48.60579,51.39421
"7806","7am",45.63368,54.36632
"7807","7am",39.99823,60.00177
"7808","7am",42.07204,57.92796
"7809","7am",45.31376,54.68624
"7810","7am",45.67524,54.32476
"7811","7am",46.02936,53.97064
"7812","7am",45.50333,54.49667
"7813","7am",49.87647,50.12353
"7814","7am",49.17711,50.82289
"7815","7am",41.29706,58.70294
"7816","7am",45.56573,54.43427
"9101","7am",47.62835,52.37165
"9102","7am",40.99406,59.00594
"9103","7am",49.06439,50.93561
"9104","7am",48.12191,51.87809
"9105","7am",48.51794,51.48206
"9106","7am",44.5571,55.4429
"9107","7am",43.20797,56.79203
"9108","7am",42.28292,57.71708
"9109","7am",51.61131,48.38869
"9110","7am",44.87682,55.12318
"9111","7am",52.54133,47.45867
"9112","7am",48.06543,51.93457
"9113","7am",47.8082,52.1918
"9114","7am",42.84411,57.15589
"9201","7am",49.00286,50.99714
"9202","7am",44.08796,55.91204
"9203","7am",44.60335,55.39665
"9204","7am",49.73629,50.26371
"9205","7am",46.34619,53.65381
"9206","7am",46.83342,53.16658
"9207","7am",45.49204,54.50796
"9208","7am",46.0918,53.9082
"9209","7am",46.72916,53.27084
"9210","7am",46.23145,53.76855
"9211","7am",41.792,58.208
"9212","7am",46.31912,53.68088
"9302","7am",44.28372,55.71628
"9303","7am",45.28279,54.71721
"9304","7am",47.74393,52.25607
"9305","7am",46.21904,53.78096
"9306","7am",43.70842,56.29158
"9307","7am",41.28591,58.71409
"9308","7am",47.15263,52.84737
"9309","7am",43.60159,56.39841
"9310","7am",44.06767,55.93233
"9311","7am",46.85564,53.14436
"9312","7am",49.43715,50.56285
"9402","7am",43.69805,56.30195
"9403","7am",45.53314,54.46686
"9404","7am",43.54727,56.45273
"9405","7am",52.47124,47.52876
"9406","7am",44.2994,55.7006
"9407","7am",43.85568,56.14432
"9408","7am",41.46477,58.53523
"9409","7am",46.45951,53.54049
"9410","7am",45.12881,54.87119
"9411","7am",46.96577,53.03423
"9412","7am",46.15457,53.84543
"9413","7am",46.5361,53.4639
"9414","7am",45.66895,54.33105
"9501","7am",46.50329,53.49671
"9502","7am",44.41973,55.58027
"9503","7am",42.89898,57.10102
"9504","7am",49.64238,50.35762
"9505","7am",44.97574,55.02426
"9506","7am",43.47888,56.52112
"9507","7am",46.78916,53.21084
"9508","7am",45.95871,54.04129
"9509","7am",44.95282,55.04718
"9510","7am",46.24579,53.75421
"9511","7am",43.86277,56.13723
"9512","7am",38.83006,61.16994
"9513","7am",50.07625,49.92375
"7501","8am",55.85788,44.14212
"7502","8am",47.80197,52.19803
"7503","8am",52.7489,47.2511
"7504","8am",46.90674,53.09326
"7505","8am",48.03304,51.96696
"7506","8am",45.51551,54.48449
"7507","8am",44.9099,55.0901
"7508","8am",44.00969,55.99031
"7509","8am",43.14342,56.85658
"7510","8am",43.10291,56.89709
"7511","8am",44.48492,55.51508
"7512","8am",48.2662,51.7338
"7513","8am",47.29292,52.70708
"7514","8am",46.12912,53.87088
"7701","8am",48.59431,51.40569
"7702","8am",48.00199,51.99801
"7703","8am",50.79729,49.20271
"7704","8am",42.85761,57.14239
"7705","8am",41.58673,58.41327
"7706","8am",46.77016,53.22984
"7707","8am",45.89388,54.10612
"7708","8am",42.34028,57.65972
"7709","8am",52.96188,47.03812
"7710","8am",43.70109,56.29891
"7711","8am",43.0553,56.9447
"7712","8am",42.97504,57.02496
"7713","8am",45.32526,54.67474
"7714","8am",43.76573,56.23427
"7715","8am",44.74013,55.25987
"7716","8am",49.52376,50.47624
"7801","8am",47.35058,52.64942
"7802","8am",48.63579,51.36421
"7803","8am",40.95931,59.04069
"7804","8am",48.39069,51.60931
"7805","8am",48.59529,51.40471
"7806","8am",46.50948,53.49052
"7807","8am",40.19041,59.80959
"7808","8am",41.41152,58.58848
"7809","8am",45.86509,54.13491
"7810","8am",46.74212,53.25788
"7811","8am",43.0771,56.9229
"7812","8am",48.53435,51.46565
"7813","8am",49.2978,50.7022
"7814","8am",48.1016,51.8984
"7815","8am",43.53264,56.46736
"7816","8am",45.52297,54.47703
"9101","8am",47.76886,52.23114
"9102","8am",41.43304,58.56696
"9103","8am",46.49359,53.50641
"9104","8am",43.28195,56.71805
"9105","8am",48.4029,51.5971
"9106","8am",46.02721,53.97279
"9107","8am",44.1837,55.8163
"9108","8am",42.37188,57.62812
"9109","8am",50.37451,49.62549
"9110","8am",45.89662,54.10338
"9111","8am",54.23136,45.76864
"9112","8am",48.21132,51.78868
"9113","8am",47.49372,52.50628
"9114","8am",42.52061,57.47939
