"district","hour","age1","age2","age3","age4"
"9508","4am",9955.575,17164.843,54859.42,11855.198
"9509","4am",4861.432,9178.45,41874.26,7847.356
"9510","4am",6282.206,12332.901,43090.16,13124.301
"9511","4am",4904.371,13859.891,43721.93,15348.789
"9512","4am",7798.292,13437.784,38178.1,11998.565
"9513","4am",3728.924,5825.221,33720.65,7950.052
"7501","5am",8208.057,16426.898,46631.49,12236.626
"7502","5am",20014.668,18734.138,67876.26,26817.002
"7503","5am",8154.01,12651.951,46759.87,12058.81
"7504","5am",7051.891,19477.882,46300.33,9447.015
"7505","5am",11577.295,21006.905,72261.55,17232.613
"7506","5am",10869.302,26582.138,58965.71,20765.248
"7507","5am",23844.233,28414.49,70063.43,23753.735
"7508","5am",13222.352,24462.36,52484.51,19293.511
"7509","5am",23054.967,35651.196,92694.46,34184.757
"7510","5am",11305.106,21298.237,65969.69,31760.749
"7511","5am",16555.95,26061.621,68383.62,23358.215
"7512","5am",17096.587,48498.839,69759.53,20427.354
"7513","5am",15713.66,25512.165,79421.45,21268.666
"7514","5am",14614.266,33728.77,79053.65,23107.717
"7701","5am",10551.978,27060.397,56799.87,7579.964
"7702","5am",9565.349,19941.303,70779.15,11933.259
"7703","5am",9292.091,18050.17,42911.54,9252.463
"7704","5am",9728.803,7894.886,41837.96,11820.602
"7705","5am",6156.489,4353.053,32960.74,5329.679
"7706","5am",4059.416,7810.442,26564.28,8461.076
"7707","5am",4462.452,6610.159,31179.34,9442.537
"7708","5am",8644.031,8598.033,43922.67,11635.537
"7709","5am",4275.369,6440.872,33137.64,7212.479
"7710","5am",5978.774,10466.042,39620.34,9010.729
"7711","5am",10979.825,7659.77,49336.11,10367.543
"7712","5am",5351.841,11262.755,28300.98,9884.498
"7713","5am",3082.103,3885.638,16608.44,5728.661
"7714","5am",9270.949,11061.035,33130.22,13838.625
"7715","5am",2473.658,4770.294,19798.42,7082.947
"7716","5am",10606.26,14919.908,43931.44,5839.757
"7801","5am",9508.676,12336.208,45749.35,10974.763
"7802","5am",5323.863,8901.992,36513.01,13080.095
"7803","5am",10128.748,12075.337,51872.06,15971.362
"7804","5am",6023.709,5569.958,25642.83,9098.395
"7805","5am",7598.301,14673.864,45816.47,13049.81
"7806","5am",7189.419,13610.917,48375.8,13320.77
"7807","5am",7511.303,8196.699,22467.17,9567.456
"7808","5am",6031.531,6668.97,37156.13,5989.286
"7809","5am",8004.339,13342.911,33975.54,7552.867
"7810","5am",1772.452,4009.655,12786.72,5090.119
"7811","5am",5377.302,12593.381,40417.87,18068.267
"7812","5am",15274.287,21938.416,63013.66,26300.612
"7813","5am",4308.455,2847.396,24456.56,5458.347
"7814","5am",1821.275,3642.275,12812.71,4387.357
"7815","5am",2327.743,7017.945,21494.15,5369.556
"7816","5am",11553.306,22449.757,62907.07,7689.876
"9101","5am",9705.557,13219.412,29553.12,5352.479
"9102","5am",3679.106,6886.01,28684.15,7661.706
"9103","5am",3959.271,10650.938,36730.07,11003.498
"9104","5am",2957.26,8643.015,27951.67,10197.002
"9105","5am",7612.648,12266.646,46991.23,8836.143
"9106","5am",13363.138,16356.34,39817.58,12567.039
"9107","5am",7890.2,13142.061,49427.64,14830.656
"9108","5am",7396.557,10148.69,29536.56,9014.256
"9109","5am",6106.32,11004.422,36759.26,11967.749
"9110","5am",6996.207,12416.182,32293.84,8755.849
"9111","5am",6097.642,10619.917,32986.36,8917.59
"9112","5am",4222.616,7476.185,28066.22,7757.523
"9113","5am",7661.26,13512.912,42394.22,13642.255
"9114","5am",5816.203,5768.763,23385.51,7048.265
"9201","5am",12967.859,22974.725,59240.67,15415.476
"9202","5am",8786.42,15566.275,45043.99,11508.049
"9203","5am",13278.871,28557.08,71952.37,24800.75
"9204","5am",12711.406,15720.854,44624.14,11412.196
"9205","5am",11153.606,25091.301,50098.9,14050.606
"9206","5am",7772.744,12595.422,57199.02,14698.719
"9207","5am",7637.465,8790.833,50637.18,15797.287
"9208","5am",8291.931,16075.285,47410.75,16357.137
"9209","5am",14505.326,26973.365,68935.68,18665.279
"9210","5am",11619.086,17984.37,63987.69,22770.249
"9211","5am",8981.263,18542.447,31762.08,12869.966
"9212","5am",8672.91,11695.717,39396.55,15006.479
"9302","5am",5123.486,9258.691,22234.88,9326.908
"9303","5am",11071.514,18329.791,58844.47,13878.891
"9304","5am",7096.715,23140.195,69766.88,16129.915
"9305","5am",8762.606,12898.955,47117.43,12394.69
"9306","5am",9265.909,20940.024,46310.42,17248.513
"9307","5am",11087.105,12190.303,44241.03,11232.704
"9308","5am",6621.25,9283.001,34066.78,8681.26
"9309","5am",10887.702,15634.361,50487.04,10865.322
"9310","5am",12188.086,19342.578,56078.76,15517.484
"9311","5am",16673.467,23475.55,63184.47,15930.866
"9312","5am",18362.833,43124.766,80995.59,18395.69
"9402","5am",13734.684,22561.634,53856.26,15651.708
"9403","5am",11693.273,24137.465,57799.63,17201.486
"9404","5am",6745.511,8645.778,40484.74,10385.783
"9405","5am",4447.522,11283.513,38298.23,10045.096
"9406","5am",12856.841,13623.685,38950.57,10840.529
"9407","5am",9710.631,23225.127,57006.74,17501.1
"9408","5am",5678.855,14658.932,38578.24,15586.751
"9409","5am",9634.434,29401.754,76162.36,25697.424
"9410","5am",6835.634,8623.609,23312.94,6249.47
"9411","5am",4950.709,10021.571,25739.52,7795.697
"9412","5am",3237.148,6025.327,20307.56,5477.608
"9413","5am",6465.728,10432.519,30235.22,8941.703
"9414","5am",4128.645,3713.801,17625.92,4676.339
"9501","5am",12260.252,17437.465,39128.78,4361.996
"9502","5am",8087.001,13716.757,30862.94,7591.62
"9503","5am",5146.681,9930.17,26918.49,7976.159
"9504","5am",4208.361,8330.301,29563.12,8263.059
"9505","5am",4398.02,10269.128,33548.5,8706.001
"9506","5am",7957.338,10444.909,27386.02,5434.06
"9507","5am",8685.701,15990.583,35762.67,9185.86
"9508","5am",9955.575,16641.013,54535.29,11855.198
"9509","5am",4861.432,9178.45,41706.87,7847.356
"9510","5am",6282.206,12332.901,43090.16,13124.301
"9511","5am",4904.371,13859.891,43721.93,15348.789
"9512","5am",7798.292,13437.784,38178.1,11998.565
"9513","5am",3728.924,5825.221,33875.7,7950.052
"7501","6am",7883.059,16426.898,49067.62,12236.626
"7502","6am",20014.668,18734.138,68438.1,26817.002
"7503","6am",8412.741,12651.951,48759.63,12058.81
"7504","6am",6793.655,19165.91,45469.66,9447.015
"7505","6am",11577.295,21006.905,72432.35,17232.613
"7506","6am",10569.918,27151.902,58604.43,20765.248
"7507","6am",23844.233,28330.901,69034.98,23753.735
"7508","6am",13222.352,24462.36,52661.41,19293.511
"7509","6am",23154.37,35651.196,92712.47,34184.757
"7510","6am",11305.106,21816.897,67485.49,31760.749
"7511","6am",16555.95,26588.01,70008.95,23358.215
"7512","6am",17096.587,49064.57,69809.94,19728.102
"7513","6am",15713.66,25835.887,79691.75,21268.666
"7514","6am",14933.949,33031.522,76559.15,23107.717
"7701","6am",10551.978,25980.782,54612.43,7579.964
"7702","6am",9722.955,18902.713,70022.52,11933.259
"7703","6am",10354.262,18111.811,42414.18,9252.463
"7704","6am",9728.803,7894.886,40332.17,11820.602
"7705","6am",6013.7,4353.053,30317.79,5329.679
"7706","6am",3916.953,7201.974,25623.49,8461.076
"7707","6am",4462.452,6441.503,30147.68,9442.537
"7708","6am",8644.031,8732.788,39608.79,11635.537
"7709","6am",4275.369,6440.872,33581.27,7212.479
"7710","6am",6050.882,10452.424,39620.34,9010.729
"7711","6am",10979.825,7659.77,49361.27,10367.543
"7712","6am",5351.841,11262.755,27188.26,9884.498
"7713","6am",2937.915,3821.371,16014.65,5728.661
"7714","6am",9270.949,10906.196,31984.37,13838.625
"7715","6am",2340.803,4644.523,19283.79,7082.947
"7716","6am",10606.26,14332.973,42279.59,5839.757
"7801","6am",9508.676,11858.752,44285.82,10974.763
"7802","6am",5323.863,8702.768,36219.96,13080.095
"7803","6am",10128.748,12075.337,51805.63,15971.362
"7804","6am",6023.709,5434.513,25912.02,9098.395
"7805","6am",7598.301,14560.689,44883.65,13049.81
"7806","6am",7060.839,13107.668,48034.75,13320.77
"7807","6am",7639.883,8052.986,20837.13,9567.456
"7808","6am",6031.531,6668.97,35344.36,5989.286
"7809","6am",7460.102,13089.26,33036.5,7552.867
"7810","6am",1772.452,3939.201,12560.1,5090.119
"7811","6am",5377.302,12593.381,40686.4,18068.267
"7812","6am",15274.287,21938.416,62727.45,26300.612
"7813","6am",4471.552,2701.716,24797.71,5269.266
"7814","6am",1772.921,3499.66,12509.52,4387.357
"7815","6am",2327.743,7319.338,20609.3,5369.556
"7816","6am",10913.896,22148.365,60495.34,7689.876
"9101","6am",9705.557,13691.781,29715.31,5352.479
"9102","6am",3679.106,6886.01,28026.7,7297.638
"9103","6am",3411.649,10650.938,35988.03,11003.498
"9104","6am",2957.26,8803.966,27360.6,10197.002
"9105","6am",7612.648,11995.507,46357.1,8836.143
"9106","6am",12802.715,16523.297,38506.66,12567.039
"9107","6am",7890.2,12876.444,47401.75,14830.656
"9108","6am",7396.557,10148.69,28410.66,9014.256
"9109","6am",6106.32,10817.719,35806.61,11967.749
"9110","6am",6996.207,12046.921,30853.82,8755.849
"9111","6am",6097.642,10619.917,34232.6,8917.59
"9112","6am",3985.69,7111.529,28281.88,7757.523
"9113","6am",7402.469,13423.519,41782.7,13642.255
"9114","6am",5816.203,5768.763,23385.51,7048.265
"9201","6am",12967.859,22873.725,59133.9,15415.476
"9202","6am",9185.985,15056.97,44379.25,11508.049
"9203","6am",13603.869,28557.08,70587.98,24800.75
"9204","6am",12109.436,16156.047,44316.68,11412.196
"9205","6am",11551.038,24738.884,49781.67,14050.606
"9206","6am",7977.282,12595.422,57796.82,14698.719
"9207","6am",7637.465,8499.589,50637.18,15797.287
"9208","6am",8291.931,15928.635,47640.94,16357.137
"9209","6am",14505.326,26973.365,68711.4,18665.279
"9210","6am",11877.877,18263.554,63308.21,22770.249
"9211","6am",8981.263,18749.462,31214.82,12869.966
"9212","6am",8672.91,11695.717,39005.14,15006.479
"9302","6am",5123.486,8484.266,20950.31,9326.908
"9303","6am",11071.514,18678.376,58115.27,13878.891
"9304","6am",7096.715,23140.195,68453.11,16129.915
"9305","6am",8200.544,12322.013,45465.08,12394.69
"9306","6am",7747.095,21726.275,45972.39,17248.513
"9307","6am",10741.936,11787.105,42647.7,11232.704
"9308","6am",6451.937,9283.001,32986.59,8681.26
"9309","6am",10617.165,15592.312,50218.85,10865.322
"9310","6am",11694.925,18833.41,54467.53,15517.484
"9311","6am",16673.467,23256.061,58438.21,15930.866
"9312","6am",18058.778,42200.865,77637.1,18395.69
"9402","6am",13475.953,21481.806,52497.56,15019.043
"9403","6am",11693.273,23218.89,58175.82,17201.486
"9404","6am",6470.163,8645.778,40881.41,10385.783
"9405","6am",4447.522,11787.099,38986.55,10045.096
"9406","6am",12856.841,13672.594,36174.08,10840.529
"9407","6am",9845.126,23490.743,56080.48,17501.1
"9408","6am",5678.855,13689.277,38152.75,15586.751
"9409","6am",9634.434,29021.775,76450.64,25697.424
"9410","6am",6835.634,8522.477,22964.58,6249.47
"9411","6am",4950.709,9450.668,25831.65,7795.697
"9412","6am",3134.825,6722.575,19174.69,5477.608
"9413","6am",6077.953,10666.379,29653.68,8941.703
"9414","6am",3990.135,3615.983,17477.9,4676.339
"9501","6am",11459.805,17102.811,36802.79,4361.996
"9502","6am",8642.119,13690.01,30070.42,7591.62
"9503","6am",5146.681,9566.016,25500.48,7828.779
"9504","6am",4056.793,7760.615,28855.81,8263.059
"9505","6am",4913.886,9942.064,35057.85,8706.001
"9506","6am",7957.338,10444.909,26530.07,5434.06
"9507","6am",8685.701,15990.583,35108.21,9185.86
"9508","6am",9556.011,16639.427,51558.67,11855.198
"9509","6am",4861.432,9002.199,40530.55,7847.356
"9510","6am",6282.206,12602.172,43104.45,13124.301
"9511","6am",4904.371,13859.891,43567.67,15348.789
"9512","6am",7798.292,12625.981,37095.34,11998.565
"9513","6am",3542.189,5825.221,34111.2,7950.052
