secteur,hour,cleduc1,cleduc2,cleduc3,cleduc4
7501,4am,7.21642030145171,15.5344792,21.74116987,55.5079306301631
7502,4am,7.21867864339811,5.004067686,28.71531702,59.0619366493599
7503,4am,9.76571671473822,16.04034463,21.82312053,52.3708181232295
7504,4am,8.33040457753099,15.59686241,29.02912685,47.0436061686977
7505,4am,13.7173573521615,15.24205198,20.42851812,50.6120725524406
7506,4am,11.4838031197139,14.1409145,31.12321555,43.2520668388834
7507,4am,14.1285422606866,14.52294766,29.6387026,41.7098074761761
7508,4am,5.79920407372989,13.08434142,25.06686047,56.0495940423084
7509,4am,11.5388138465031,12.07908323,19.72211492,56.6599880000699
7510,4am,6.21170308753262,10.40234358,28.19599252,55.1899608079653
7511,4am,14.2405105328082,10.71210171,28.89783315,46.149554607616
7512,4am,18.5404218508602,14.53827124,22.46018165,44.4611252610637
7513,4am,30.3465713021516,22.60541053,17.22307846,29.8249397147267
7514,4am,24.8854671400154,19.24350517,25.09396379,30.7770638932994
7701,4am,14.9675570058688,35.0671891,35.32622768,14.6390262107602
7702,4am,20.1031181130642,33.64279364,22.89352087,23.3605673697184
7703,4am,18.8338534542766,43.67807211,25.4364018,12.0516726362999
7704,4am,37.1666788271589,29.94253462,25.21385665,7.67692990051958
7705,4am,26.827611442914,45.14677225,21.10765293,6.91796338018373
7706,4am,30.3412588860468,44.48282097,20.22715204,4.94876810727368
7707,4am,40.4601405380959,40.73709413,14.00675684,4.79600849102043
7708,4am,15.0968952208008,44.61946452,25.24679428,15.0368459750701
7709,4am,30.4941154467491,29.3450001,32.74045012,7.42043433583892
7710,4am,13.9190443676377,29.06324117,42.50473963,14.5129748306347
7711,4am,30.0261891883033,31.20464914,22.8971975,15.871964171801
7712,4am,23.7605761789971,43.51831912,17.84843942,14.8726652774519
7713,4am,40.1712833144177,32.10661481,21.7882952,5.93380667922137
7714,4am,20.8187180697638,36.78789506,26.91300845,15.4803784187317
7715,4am,33.748483636679,44.50791468,16.64914722,5.09445446392108
7716,4am,23.0916033974523,41.69513258,27.16308104,8.0501829824127
7801,4am,19.508670545569,26.06417395,22.05672849,32.3704270195453
7802,4am,9.6387468611144,18.32092627,31.50049215,40.5398347243696
7803,4am,13.2484940917136,23.14890039,34.99480413,28.6078013901978
7804,4am,22.2273124646361,24.6598055,29.07565003,24.0372319997808
7805,4am,13.7483952801844,37.20392581,30.21486204,18.8328168628165
7806,4am,26.0698586001065,42.40965752,21.20468101,10.3158028689219
7807,4am,34.4927122204379,40.20407646,19.74421777,5.55899354927526
7808,4am,31.8138998654699,41.725295,18.51675247,7.94405266622202
7809,4am,17.0161741095864,34.8205352,27.28718997,20.8761007196793
7810,4am,11.6577292459952,38.29219308,29.58740927,20.4626683990827
7811,4am,11.0125528258563,23.39644615,34.48076053,31.110240496775
7812,4am,8.64057249031013,22.41195493,27.01164753,41.935825050776
7813,4am,12.7221148419867,35.32517832,30.59980088,21.3529059593196
7814,4am,7.70834761967849,36.43495815,33.76580916,22.090885075511
7815,4am,21.5000737311087,32.90597348,30.07925184,15.5147009457944
7816,4am,15.2266722999455,33.94034622,31.60871382,19.2242676531616
9101,4am,25.3773390818012,33.69036223,26.27400376,14.6582949341227
9102,4am,21.7897670474062,31.27841746,27.1383979,19.7934175924922
9103,4am,27.2248173645314,34.63417167,24.68944642,13.4515645510312
9104,4am,22.1094737610464,38.53316469,23.24716793,16.110193622188
9105,4am,17.8548937979303,37.09408749,30.47777601,14.5732427071477
9106,4am,27.4109840932778,31.70567454,28.32588441,12.5574569623089
9107,4am,24.8752256101639,35.30234685,28.04784985,11.7745776898381
9108,4am,15.8935094231871,36.00545041,26.83216038,21.2688797895475
9109,4am,21.3251759392886,26.86726122,33.7015958,18.1059670407686
9110,4am,30.208706267855,32.36159671,24.93361013,12.4960868843507
9111,4am,23.2232441194944,23.93201292,32.40625857,20.4384843866154
9112,4am,18.520514978578,29.98983294,32.62495194,18.8647001399745
9113,4am,12.6898157017961,26.75949099,33.21874727,27.3319460424996
9114,4am,7.53736753017094,22.23964435,37.58129238,32.6416957422818
9201,4am,28.231586785958,17.29800635,31.44580717,23.024599696732
9202,4am,19.5305794684278,28.26156202,29.64936516,22.5584933544714
9203,4am,14.6670582799109,16.32051816,32.10437165,36.908051908347
9204,4am,20.4987412671169,30.6239465,29.60991474,19.2673974970915
9205,4am,8.68431079740847,23.56122688,24.69828254,43.0561797892179
9206,4am,6.85691676236453,25.48860471,25.33778054,42.3166979883652
9207,4am,3.5969231579987,10.33649511,35.77321316,50.2933685712007
9208,4am,9.31173896687504,21.83938774,26.63671409,42.2121592113123
9209,4am,15.5605676242921,18.63038686,30.71946276,35.0895827531023
9210,4am,12.6699607105077,18.03386952,26.90474305,42.3914267188695
9211,4am,23.9399805891163,24.00065822,26.41499171,25.644369477895
9212,4am,11.7826092263588,27.2434592,32.8439578,28.1299737738582
9302,4am,27.9004754147477,40.09176184,20.82170585,11.1860568991094
9303,4am,27.4096742170889,22.58935299,30.98560251,19.0153702778585
9304,4am,31.8101251105074,33.79017561,18.46208961,15.9376096683903
9305,4am,33.1043242434656,36.73977035,20.45228725,9.70361816437743
9306,4am,30.2826344722533,27.0286096,27.27874425,15.4100116856461
9307,4am,29.4953533369288,34.75514749,24.94510759,10.8043915741764
9308,4am,32.0921023548938,32.08514372,27.28178295,8.54097097152638
9309,4am,40.0196026120092,29.3124704,24.36864863,6.29927834858373
