"secteur","hour","cs1","cs2","cs3","cs4","cs5"
7501,"4am","2.30087992878831","6.74419677794939","16.5439529324746","30.7361194446978","43.6748509160901"
7502,"4am","14.6071502952635","7.46510543901912","9.60589264687256","26.3541697662303","41.9676818526144"
7503,"4am","10.9533811392357","9.64789116446089","13.2933592108573","24.8554555865835","41.2499128988625"
7504,"4am","11.1696812500085","12.4395351821915","15.1347139055374","29.9365038271421","31.3195658351206"
7505,"4am","11.2098391630401","13.7611032401064","13.45417257868","25.7024936928136","35.8723913253601"
7506,"4am","10.2601483124824","11.7754214898062","22.5213012183181","19.3014555918494","36.1416733875439"
7507,"4am","10.9745254368458","12.4355195036218","19.3027587727053","24.5769180713935","32.7102782154336"
7508,"4am","9.69479008510629","8.42959640902363","18.9373441408743","25.8708548755144","37.067414489481"
7509,"4am","11.6996465282092","12.3558161520341","11.881766947732","31.7081381372782","32.3546322347466"
7510,"4am","15.2421118552278","9.32008419724236","9.39533466836039","29.7970019772447","36.2454673019247"
7511,"4am","14.6702470231248","11.6193927483341","10.6902437473577","25.9339677417829","37.0861487394002"
7512,"4am","13.3455209768709","20.6773903075607","8.18503643237252","28.8087980358591","28.9832542473371"
7513,"4am","19.3560807261084","20.9122640397685","17.1375956705291","21.9487205183134","20.6453390452805"
7514,"4am","14.7286327349739","15.3804203981075","14.1035325940637","29.6271038706177","26.1603104022369"
7701,"4am","7.19683068441886","23.7288644672572","38.5119216484504","20.9362849016475","9.62609829822612"
7702,"4am","11.6257314911483","26.8611523955588","17.5208830510584","33.606455728234","10.3857773340009"
7703,"4am","10.7059595781884","27.8979276575263","29.657342936726","27.173335081236","4.56543474632332"
7704,"4am","21.0599307408888","29.9664291071774","29.4979178842453","14.6639248335576","4.81179743413072"
7705,"4am","6.04283442483113","39.6191756548308","29.8658127511898","23.5564474461429","0.915729723005412"
7706,"4am","15.9686506801705","34.1313793012255","25.2042173003451","22.0576138818806","2.63813883637848"
7707,"4am","22.1457830184949","30.766609957607","24.2659698427514","18.1377127953015","4.68392438584503"
7708,"4am","9.02116852018172","20.018772454946","28.4155615623089","31.4090039433286","11.1354935192348"
7709,"4am","13.883583285114","34.2766423271707","29.9172306848283","16.9109223852419","5.011621317645"
7710,"4am","8.81745378685642","34.7336518056333","22.305088747173","24.9763209264902","9.16748473384705"
7711,"4am","9.06012975560566","30.5517805254503","38.1635352353288","7.56243186006514","14.6621226235502"
7712,"4am","25.805710470214","24.0004106647219","23.2609621879841","20.9283264762482","6.00459020083195"
7713,"4am","20.2608887598453","30.7031521735103","23.7037741321248","18.7180961152317","6.61408881928779"
7714,"4am","16.3957491083116","22.5175490258506","24.5234703515147","24.409949691631","12.153281822692"
7715,"4am","20.4430364034459","36.2550077943138","22.8786407794773","14.9449011815789","5.47841384118415"
7716,"4am","13.3046906268893","28.603236542882","29.0187657783228","21.441043863511","7.63226318839486"
7801,"4am","5.24572608232191","31.2472818271514","16.5715986273324","31.287659925306","15.6477335378881"
7802,"4am","25.6745602084386","4.39489817834213","20.8045232392785","31.1295703785567","17.9964479953842"
7803,"4am","11.9448510929928","14.840282140332","28.4121629789799","25.6286839633986","19.1740198242967"
7804,"4am","16.8865632909589","20.7173414042996","20.3725320847068","29.3449641174191","12.6785991026156"
7805,"4am","16.4621518295227","20.8664575054852","25.8858411423352","19.1918438760573","17.5937056465995"
7806,"4am","13.9530097083113","33.1962301616482","24.3105564959223","21.7441569053906","6.79604672872755"
7807,"4am","27.6701234271646","23.6606943402613","23.9977660611955","19.7276457392924","4.94377043208631"
7808,"4am","16.2099124356328","30.7829902539108","23.9876328111188","22.127705943219","6.89175855611876"
7809,"4am","16.1162675473207","18.5993164489238","26.6778008752127","28.1980873600331","10.4085277685097"
7810,"4am","16.9901866484856","18.3273778314075","15.6101390172179","40.7878582509514","8.28443825193768"
7811,"4am","11.7044958313941","16.1854617359841","15.0893732371681","36.8821003759718","20.1385688194819"
7812,"4am","16.1485780609838","9.57837285926713","17.9372227760516","31.2081454073827","25.1276808963153"
7813,"4am","22.7528664181291","16.196138618118","23.7610146030249","22.1104788712818","15.1795014894462"
7814,"4am","13.7681052207407","10.8755179589201","27.9058475735036","32.1818843673724","15.2686448794633"
7815,"4am","16.6798372636031","22.5720493400077","23.808571024283","26.7631612501474","10.1763811219588"
7816,"4am","10.6391346845836","23.3898446182595","21.820955935915","26.4476653573262","17.7023994039153"
9101,"4am","18.4761233565679","26.6747210721437","20.5064622707816","25.8500967893983","8.49259651110872"
9102,"4am","12.5756338456439","24.9035765461384","22.9146186587542","31.0793219413847","8.52684900807893"
9103,"4am","13.5933978178596","30.0834804481813","19.9272002012028","25.4008822508343","10.9950392819218"
9104,"4am","10.4422411426442","18.4437688774371","33.7490916147051","27.2197469118013","10.1451514534122"
9105,"4am","11.0347587746221","29.7302242809911","23.1853842472338","23.6336524990987","12.4159801980542"
9106,"4am","17.823010702606","33.4197880931067","20.3737396174138","17.8870938444431","10.4963677424304"
9107,"4am","14.4898730562992","21.7812931730962","24.1962582640022","30.3806300331509","9.15194547345159"
9108,"4am","13.1426263970446","21.644886986697","23.3242518127473","27.4597399000809","14.4284949034303"
9109,"4am","6.39651495396626","29.9585095710088","30.9638203106489","21.4118530048605","11.2693021595155"
9110,"4am","20.2815184299923","36.1461078878632","22.2813633091198","16.9147275562756","4.37628281674917"
9111,"4am","18.3030727333705","25.3686643237173","22.1214697237045","20.6423151910529","13.5644780281547"
9112,"4am","10.7428510786835","21.3399871244998","24.9065368286537","29.6179252619587","13.3926997062044"
9113,"4am","7.88511228253117","19.4410426876803","20.816738818365","33.2220548741317","18.635051337292"
9114,"4am","13.9759111110191","18.9689328533377","10.3158128366686","28.1566749903566","28.5826682086179"
9201,"4am","13.2299074553929","22.0223893056616","26.9562126426928","24.0952535589103","13.6962370373429"
9202,"4am","13.5463504240492","24.9898604903116","24.2325781833679","23.5102033350827","13.7210075671886"
9203,"4am","16.7570234021243","17.2891557531295","13.0398557538318","26.7024038038514","26.2115612870631"
9204,"4am","16.3920726719236","17.3214943241709","29.1997387265425","19.0398619456444","18.0468323317187"
9205,"4am","6.17026317988261","14.3778178304711","21.4843219029453","24.2078178565365","33.7597792301645"
9206,"4am","12.1692207549816","19.3138739012228","14.6074262418974","28.7618554577035","25.1476236441947"
9207,"4am","15.8243064832187","7.50318591617634","17.777480229","28.254851517175","30.6401758544299"
9208,"4am","11.9488600806431","10.9085741223647","17.164550221399","30.1772790178651","29.800736557728"
9209,"4am","10.372561125454","12.3977126640816","22.9912168059257","30.5538339934583","23.6846754110803"
9210,"4am","10.8799615380106","16.3251595753248","13.2929506109606","26.9778343316389","32.5240939440652"
9211,"4am","13.0817765175088","20.4472783200688","28.207873219706","20.5807485685007","17.6823233742158"
9212,"4am","9.41719211002026","20.1576807402487","21.801173015563","26.4593244087572","22.1646297254107"
9302,"4am","9.5540375946867","29.387169483657","33.2292288405059","20.4930483135384","7.33651576761204"
9303,"4am","26.2159624063396","28.3939756030254","18.0185123919737","17.9722362094959","9.39931338916558"
9304,"4am","17.7185840824905","32.2066724056767","22.4384492419522","16.479350527958","11.1569437419223"
9305,"4am","18.3574775554857","36.8642907265076","19.8335382568381","16.163881899213","8.7808115619555"
9306,"4am","8.73280281990065","25.2962137545637","30.2542231872235","24.0892609663618","11.6274992719503"
9307,"4am","31.3311814012062","24.9728022591374","21.2405927594652","19.0047946913047","3.45062888888656"
9308,"4am","21.7148254371592","38.9435240005976","17.8920515151774","14.11820112238","7.33139792468571"
9309,"4am","22.0564668079088","30.1738210122112","23.4469459957491","17.4551562527683","6.8676099313626"
9310,"4am","22.0829273837387","34.7205849765945","22.7248870883277","15.9306877017634","4.54091284957566"
9311,"4am","25.5253640387903","31.1273103708282","24.0128223378607","14.6964985008465","4.63800475167456"
9312,"4am","27.3507098696926","33.1035256341867","18.7717826113882","15.0011065832369","5.77287530149583"
9402,"4am","13.6779273842823","34.127270356983","17.5652448098567","23.4624831144307","11.1670743344471"
